Achieve ID	Achieve Name	Achieve Desc
067	아름다운 선율을 연주	아름다운 선율을 연주하는 생물을 포획
068	수면 아래에 숨은 신비	수면 아래에 숨은 신비의 생물을 포획
069	하늘을 헤엄치는 환상	하늘을 헤엄치는 환상의 생물을 포획
070	대지에 구멍을 파고 사는	대지에 구멍을 파고 사는 생물을 포획
071	각지에 익숙해지고 구멍을 파고 사는	각지에 적응해서 구멍을 파고 사는 생물을처음으로 포획
072	그 무엇도 버텨내는 방어력	엄청나게 귀중한 방어구를 5종류 입수
073	모든 것을 쳐부수는 공격력	엄청나게 귀중한 무기를 5종류 입수
074	자랑스러운 일품	처음으로 치장품을 장착
075	첫 라이드	처음으로 몬스터 라이드를 함
076	숙련된 라이드	몬스터 라이드를 여러 번 실시
077	초보 수집가	처음으로 보배를 입수
078	베테랑 수집가	하나의 필드에서모든 보배를 입수
079	극한의 수집가	모든 보배를 입수
080	기분 전환	처음으로 리모델링 실시
081	애착 가는 컬렉션	선택할 수 있는 가구가 50종류를 넘음
082	자랑스러운 컬렉션	선택할 수 있는 가구가 120종류를 넘음
083	적극적으로 일하는 기술자	증기 기관 관리소를 20번 도움
084	의지가 되는 대단한 기술자	증기 기관 관리소에서증기력 한계 돌파를 일으킴
085	또 하나의 미니어처 크라운	마스터 랭크 퀘스트 또는 탐색으로가장 작은 왕관의 환경생물을 처음으로 포획
086	또 하나의 빅 크라운	마스터 랭크 퀘스트 또는 탐색으로금관의 환경생물을 처음으로 포획
087	관찰 기록 세계로의 입문	수인족 학자의 관찰 의뢰를처음으로 완수
088	일류 관찰 기록사	수인족 학자의 관찰 의뢰를 많이 완수
089	상부상조 정신	마스터 랭크 헌터로서하위, 상위 헌터의 퀘스트를10번 도움
090	마스터 오브 마스터	마스터 랭크 200 달성
091	몬스터 대박사	거의 모든 대형 몬스터의연구 레벨 MAX 달성
092	진정한 미니어처 크라운 수집가	사냥 기록에 기록되는 거의 모든몬스터에 가장 작은 왕관 달성
093	진정한 빅 크라운 수집가	사냥 기록에 기록되는거의 모든 몬스터에 금관 달성
094	사냥 심화 과정 시작	마스터 랭크 퀘스트에서처음으로 대형 몬스터를 사냥
095	사냥 신동	마스터 랭크 퀘스트에서대형 몬스터를 100마리 사냥
096	포획하기 좋아하는 책사	마스터 랭크 퀘스트에서대형 몬스터를 50마리 포획
097	토벌의 장인	마스터 랭크 퀘스트에서고룡을 50마리 토벌
098	이질적인 것과의 대치	처음으로 특수한 개체를 사냥
099	수많은 벽을 넘은 자	특수한 개체 30마리 사냥
