Achieve ID	Achieve Name	Achieve Desc
047	Cazadores unidos para siempre	Completa 100 misiones en multijugador.
048	La fama y la gloria	Recibe 50 tarjetas del gremio o más.
049	Cazador veterano	Alcanza el rango de cazador 100.
000doc3	Set de trofeos de Monster Hunter: World.	Invalid Message
050	Cazador de sangre fría	Desbloquea todas las medallas deMonster Hunter World: Iceborne.
051	El comienzo de una nueva expedición	Gana acceso a encargos maestros de 1<ICON STAR_1>.
052	Hora de ponerse serios	Gana acceso a encargos maestros de 2<ICON STAR_1>.
053	El elusivo dragón anciano	Gana acceso a encargos maestros de 3<ICON STAR_1>.
054	Espíritu indómito	Gana acceso a encargos maestros de 4<ICON STAR_1>.
055	El Omnidragón	Gana acceso a encargos maestros de 5<ICON STAR_1>.
056	Un final y un comienzo	Resuelve el misterio del Omnidragón.
057	La tierra de los descubrimientos	Alcanza las Tierras Destino.
058	Ecología evolutiva	Llega al nivel 7 de cualquier bioma.
059	Búsqueda de materiales raros	Consigue materiales en afloramientosmineros y pilas de huesos gigantes.
060	Investigador insaciable	Analiza 50 feromonas.
061	El final del destino	Abate a un Nergigante Regio en lasTierras Destino, eliminando el límitede rango maestro máximo.
062	Explorador experto	Establece todos los campamentosen el Arroyo de Escarcha.
063	Fuente de relajación	Quédate un rato en una fuentetermal natural.
064	Neófito de la garra retráctil	Estudia todas las posibilidadesde la garra retráctil.
065	Destello dorado	Captura a una criatura con un brillodorado en el Arroyo de Escarcha.
066	Indicación amable	Captura a una criatura que pareceque esté señalando algo.
067	Dulce melodía	Captura a una criatura que creauna melodía agradable.
068	Misterio sumergido	Captura a una misteriosa criaturaque acecha bajo el agua.
069	Ilusión celestial	Captura a una fantástica criaturaque surca los cielos.
070	Cavador hábil	Captura a una criaturaa la que le encanta hacer hoyos.
071	Criaturas de la tierra	Captura una criatura excavadora de hoyosen cada zona.
072	Defensa inquebrantable	Consigue cinco piezas de armadurade rareza extrema.
073	Ofensiva devastadora	Consigue cinco armas de rareza extrema.
074	Tesoro personal	Equipa tu primer colgante.
075	Primera cabalgada	Usa el cabalgatrufos por primera vez.
076	Jinete experto	Usa el cabalgatrufos muchas veces.
077	Coleccionista principiante	Encuentra tu primer tesoro.
078	Coleccionista veterano	Encuentra todos los tesorosde una misma zona.
079	Coleccionista definitivo	Encuentra todos los tesoros.
080	Remodelación	Cambia la decoración de tu hogarpor primera vez.
081	Decorador de interiores	Consigue 50 tipos diferentes de mobiliarioentre los que elegir.
082	Artista de la arquitectura	Consigue 120 tipos diferentesde mobiliario entre los que elegir.
083	Ingeniero ávido	Ayuda 20 veces en la fábrica de vapor.
084	Ingeniero de vapor hábil	Haz que la fábrica de vapor estallecon una vaporización.
085	Otra minicorona	Obtén una minicorona mientras capturasfauna local en rango maestro.
086	Otra corona	Obtén una corona de oro mientrascapturas fauna local en rango maestro.
087	Observador principiante	Completa tu primera peticióndel experto lynian.
088	Observador excepcional	Completa muchas peticionesdel experto lynian.
089	Cazador servicial	Ayuda a cazadores de rango alto o bajoen 10 misiones, siendo tú de rango maestro.
090	Maestro de maestros	Alcanza el rango maestro 200.
091	Maestro de monstruos	Sube al máximo el nivel de investigaciónpara casi todos los monstruos grandes.
092	Supercoleccionista de minicoronas	Consigue una minicorona para casi todoslos monstruos de tu registro de cazador.
093	Supercoleccionista de coronas	Consigue una corona de oro para casi todoslos monstruos de tu registro de cazador.
094	Comienza la verdadera cacería	Caza tu primer monstruo grandeen una misión de rango maestro.
095	Cazador prodigioso	Caza 100 monstruos grandesen misiones de rango maestro.
096	Maestro de la captura	Captura 50 monstruos grandesen misiones de rango maestro.
097	Maestro verdugo	Abate a 50 dragones ancianosen misiones de rango maestro.
098	Enfrentarse a lo desconocido	Caza tu primera variante de un monstruo.
099	Nada nuevo	Caza 30 variantes de monstruos.
