物品ID	物品名称	物品类型	稀有度	物品介绍
34	解毒草	物品	0	作为解毒药核心素材的草。
35	火药草	物品	1	秘藏发火作用的奇草。调和爆药所需，爆药的必要素材。
36	流水草	物品	0	草叶里蓄积大量水分的草。调和水冷弹的必要素材。
37	霜降草	物品	1	会释放寒气如冰的草。调和冰结弹的必要素材。
38	眠草	物品	0	秘藏睡眠作用的草。调和捕获用麻醉球的必要素材。
39	常春藤叶	物品	0	柔软度高且强韧的草。调和落穴陷阱所需网的必要素材。
40	烟果实	物品	0	能产生大量烟气的果实。只要与其他道具调和，就能将特性附加到烟上。
41	屠龙果实	物品	3	据说是龙厌恶忌讳的果实。调和灭龙弹的必要素材。
42	蓝蘑菇	物品	1	秘藏增强作用的蘑菇。调和各种回复道具的必要素材。
43	曼陀罗	物品	2	使用方式错误可能会致死的危险蘑菇。调和秘药的必要素材。
44	硝化伞菇	物品	1	秘藏高温的稀有蘑菇。调和爆药所需的必要素材。
45	鬼硝化伞菇	物品	1	秘藏灼热温度，非常稀有的蘑菇。与大桶爆弹调和即可爆炸性地提高威力。
46	麻痹菇	物品	2	秘藏麻痹作用的蘑菇。调和捕获用麻醉球的必要素材。
47	毒菇	物品	1	秘藏毒素的蘑菇。可把毒添加到飞刀上。
48	心跳加速菇	物品	2	发出奇妙味道的蘑菇。调和回归球的必要素材。
49	苦虫	物品	0	可促进自然治愈能力，秘藏苦味萃取液的虫。调和许多药物都会用到。
50	光虫	物品	1	丧命时会放出强烈闪光的虫。为投射器闪光弹的核心素材。
51	不死虫	物品	3	据说有一千年寿命的虫。只要和其他道具调和，就能将特性附加到粉尘上。
52	雷光虫	物品	3	受到冲击就会放电的昆虫。调和麻痹陷阱及电击弹的必要素材。
53	陆续上钩黄金饵	物品	2	作为钓鱼鱼饵的昆虫。鱼的最爱，会陆续上钩的饵。
54	羚鹿的角	物品	3	不适合作为武具的素材，但只要与各种素材调和，就可成为发挥惊人效果的药物。
55	狂奔萃取液	物品	3	可从部份怪物身上采集到，可增加持久力的神奇萃取液。
56	滋养萃取液	物品	3	可从部份大型怪物身上取得，可让特定药品的效果倍增的特殊萃取液。
57	鸣袋	物品	1	割开就会发出强烈声音的怪物内脏器官。为投射器音爆弹的核心素材。
58	增强剂	物品	1	可以将素材及药品的效力发挥到最大极限的药剂。无法单独使用。
59	捕获用麻醉球	物品	2	捕获中陷阱的怪物时专用的投掷式麻醉球。可通过敲打地面等方式使用。
60	投射器闪光弹	物品	1	以投射器发射，发出强烈的闪光，可在怪物眼前爆炸，让其头晕目眩。
61	投射器音爆弹	物品	1	以投射器发射，会发出高频率不舒服的扰人噪音，对听觉敏锐的怪物造成行动限制。
62	烟雾球	物品	1	从命中地点处散发大范围的烟雾，遮蔽怪物的视线。
63	毒烟雾球	物品	1	当场投掷出的烟雾球所喷出的烟，内含毒素。在害虫对策上大受主妇们欢迎。
64	回归球	物品	2	可呼叫翼龙，返回最靠近的营地。战斗状态也能使用。
65	生肉	物品	0	从怪物身上剥取的肉。从调和调理到设置作为陷阱，用途非常广泛。
66	毒生肉	物品	1	吃下后会中毒的生肉。可作为陷阱使用。
67	麻痹生肉	物品	1	吃下后会麻痹的生肉。可作为陷阱使用。
68	睡眠生肉	物品	1	吃下后会想睡的生肉。可作为陷阱使用。
69	爆药	物品	1	受到冲击及高温，就会引发爆炸的危险药品。
70	小桶	物品	0	里面什么都没有的小木桶。
71	小桶爆弹	物品	1	限时型的小爆弹。
72	木桶飞弹	物品	1	架设好就会飞向空中的改良型炸弹。需要一点技术才能成功命中。
73	木桶飞弹·大	物品	3	木桶飞弹的改良型。需要一点技术才能成功命中。
74	大桶	物品	1	里面什么都没有的大桶。与爆药调和就会变成炸弹。
75	大桶爆弹	物品	2	受到冲击就会爆炸的炸弹。威力甚大。
76	大桶爆弹·大	物品	3	大桶爆弹的改良强化版。对付怪物的可靠道具。「大」的名称可不是盖的。
77	蜘蛛网	物品	0	黏性强的蜘蛛网。调和落穴陷阱所需网的必要素材。
78	网	物品	1	能够承受相当程度重量的强韧网。调和落穴陷阱的必要素材。
79	陷阱工具	物品	2	制作落穴陷阱等等各种机关时的必要工具。
80	落穴陷阱	物品	2	使怪物掉落的陷阱。只要超过负荷重量就会发动。
81	麻痹陷阱	物品	2	能够阻止怪物行动的陷阱。亦可用于捕获。
82	转动过的粪	物品	0	怪物的粪的浓缩块。为投射器异臭弹的核心素材。
83	怪物的粪	物品	0	散发着强烈的臭味。为投射器异臭弹的核心素材。
84	投射器异臭弹	物品	1	命中后会发出使怪物厌恶逃跑的异臭的弹药。需装填到投射器后发射。
85	龙鱼团子	物品	1	龙鱼系的鱼喜爱食用，呈团子状的钓饵。
86	金鱼团子	物品	1	火药金鱼喜爱食用，呈团子状的钓饵。
87	黄金团子	物品	1	黄金系的鱼喜爱食用，呈团子状的钓饵。
88	回力标	物品	3	投掷后会折返回来，形状独特的外国武器。
89	望远镜	物品	0	可以眺望到远方。
90	力量之护符	物品	4	提升攻击力的护符。光持有就可获得如鬼人般的力量。
91	力量之爪	物品	4	提升攻击力的护符。加入了龙的素材，更加提高护符的效果。
92	守护之护符	物品	4	提升防御力的护符。光持有就可使皮肤硬质化得如岩石一般。
93	守护之爪	物品	4	提升防御力的护符。加入了龙的素材，更加提高护符的效果。
94	针果实	物品	0	像针一样锐利的树果。为散弹的核心素材。
95	爆裂果实	物品	0	作为穿甲榴弹核心素材的树果。
96	龙击果实	物品	1	受到冲击就会爆炸的树果。为龙击弹的核心素材。
97	斩裂果实	物品	0	作为斩裂弹核心素材的树果。
98	螺旋果实	物品	0	具有螺旋状沟槽的树果。为贯通弹的核心素材。
99	扩散果实	物品	1	受到冲击就会破裂的树果。为扩散弹的核心素材。
100	着火果实	物品	1	作为提高弹药威力的火药粉的核心素材的树果。
101	发火果实	物品	1	作为大幅提高弹药威力的火药粉的所需核心素材的树果。
102	等级2 火药粉	物品	1	粉末状的火药。与等级1的弹药调和即可提升弹药的等级。
103	等级3 火药粉	物品	1	优质的粉末状火药。与等级1的弹药调和即可提升弹药的等级。
104	磨刀鲹鱼的鳍	物品	1	可以研磨武器的背鳍。研磨所需次数比砥石更少，锐利度的回复量也较大。
105	磨刀鲹鱼的上等鳍	物品	3	可以研磨武器的背鳍。效果高过砥石，运气好的话可多次重复使用。
106	刺身鱼鳞片	物品	1	刺身鱼的鳞片。吃下即可少量回复体力。对裂伤状态也有效果。
107	大刺身鱼鳞片	物品	3	大刺身鱼的鳞片。吃下即可大量回复体力，并使自然回复力提升。对裂伤状态也有效果。
108	火药金鱼鳞片	物品	2	火药金鱼的鳞片。与大桶爆弹调和即可飞跃性地提高威力。
109	大火药金鱼鳞片	物品	3	大火药金鱼的鳞片。与大桶调和即可制作出大桶爆弹·大。
110	破裂鳞片	物品	1	破裂龙鱼的鳞片。与火药草调和即可精制出许多等级2 火药粉。
111	大破裂鳞片	物品	3	上等破裂龙鱼的鳞片。与火药草调和即可精制出大量的等级2 火药粉。
112	爆裂鳞片	物品	1	爆裂龙鱼的鳞片。与火药草调和即可精制出许多等级3 火药粉。
113	大爆裂鳞片	物品	3	上等爆裂龙鱼的鳞片。与火药草调和即可精制出大量的等级3 火药粉。
114	砥石	物品	3	标准尺寸的砥石。可以研磨武器，回复武器的锐利度。
115	捕获用网子	物品	3	装填到投射器后使用的道具。可以捕获小型生物。
116	钓竿	物品	3	钓鱼用的道具。
117	烤肉组合	物品	3	可以将生肉烧烤成可食用的肉，是猎人的必须用品。
118	隐身衣装	物品	3	可在怪物的视野范围内隐身一段时间。一旦进行攻击或受到伤害，隐身效果即失效。
119	转身衣装	物品	3	受到高威力的攻击时使伤害无效，并自动采取回避行动。
120	疗愈烟筒	物品	3	设置烟筒，放出使玩家体力缓慢回复的烟。
121	不动衣装	物品	3	消除受到伤害时的反应，可获得风压无效、听觉保护、耐震，以及减轻伤害的效果。
122	挑衅衣装	物品	3	容易成为怪物的目标，可利用此特性将怪物诱导至期望的地方。
123	体力衣装	物品	3	吸收一定量的伤害。一旦超过吸收量上限时即失效。
124	耐热衣装	物品	3	减轻火属性的伤害。此外，使火属性异常状态、爆破异常状态、以及炎热地形造成的伤害无效。
125	耐水衣装	物品	3	可减轻水属性伤害，使泥泞状态、水属性异常状态，及深水区影响减轻甚至无效。
126	耐寒衣装	物品	3	减轻冰属性的伤害。使冰属性异常状态无效。
127	耐雷衣装	物品	3	减轻雷属性的伤害。使雷属性异常状态和麻痹无效。
128	耐龙衣装	物品	3	减轻龙属性的伤害。使龙属性异常状态无效，并强化所持武器的龙属性。
129	解除烟筒	物品	3	设置烟筒，放出使玩家从状态异常恢复的烟。
130	滑空衣装	物品	3	跳跃时滞空时间变长，更容易骑上怪物。在强风吹拂的地方可以乘风移动。
131	回避衣装	物品	3	回避行动中的无敌时间变长。若于瞬间回避怪物的攻击，即可暂时提升攻击力。
132	强打衣装	物品	3	使大部分的攻击附带昏厥值。若原本的攻击已附带昏厥值，则提升其效果。
133	化合衣装	物品	3	以异常状态属性的武器攻击命中时，会提升给予属性值攻击的发动几率。
134	免疫衣装	物品	3	解除所有状态异常，免疫效果生效时不会陷入状态异常。
135	达人烟筒	物品	3	设置烟筒，放出能提升玩家会心率的烟。
136	掠夺衣装	物品	3	攻击大型怪物时，会掉落可换取高额金钱的道具。
137	等级1通常弹	弹药或瓶	3	可说是入门用的弹药。威力不太能期待。
138	等级2通常弹	弹药或瓶	1	通常弹。威力较等级1大增。最多携带99发。
139	等级3通常弹	弹药或瓶	2	使用优质火药，提升更多威力的弹药。即便是单发也能发挥足够的力量。最多携带99发。
140	等级1贯通弹	弹药或瓶	0	持续贯通飞行的弹药。视怪物不同甚至可命中多次。最多携带60发。
141	等级2贯通弹	弹药或瓶	1	持续贯通飞行的弹药。命中次数更胜等级1。最多携带60发。
142	等级3贯通弹	弹药或瓶	2	贯通飞行的弹药。命中次数为贯通弹系最高。最多携带60发。
143	等级1散弹	弹药或瓶	0	可攻击大范围的弹药。靠近可以复数次命中。最多携带80发。
144	等级2散弹	弹药或瓶	1	可攻击大范围的弹药。命中次数更胜等级1。最多携带70发。
145	等级3散弹	弹药或瓶	2	可攻击大范围的弹药。命中次数为散弹系最高。最多携带60发。
146	等级1穿甲榴弹	弹药或瓶	0	穿刺后会爆炸的弹药。具有高超的威力与昏厥效果。最多携带9发。
147	等级2穿甲榴弹	弹药或瓶	1	穿刺后会爆炸的弹药。具有相当高超的威力与昏厥效果。最多携带9发。
148	等级3穿甲榴弹	弹药或瓶	2	穿刺后会爆炸的弹药。具有惊人的威力与昏厥效果。最多携带9发。
149	等级1扩散弹	弹药或瓶	1	命中时会飞散出3颗炸弹的弹药。必须小心不要打中伙伴。最多3发。
150	等级2扩散弹	弹药或瓶	2	命中时会飞散出4颗炸弹的弹药。必须小心不要打中伙伴。最多3发。
151	等级3扩散弹	弹药或瓶	3	命中时会飞散出5颗炸弹的弹药。必须小心不要打中伙伴。最多3发。
152	火炎弹	弹药或瓶	1	拥有强力火属性的弹药。对怕火的怪物相当有效。最多携带60发。
153	水冷弹	弹药或瓶	1	拥有强力水属性的弹药。对怕水的怪物相当有效。最多携带60发。
154	电击弹	弹药或瓶	1	拥有强力雷属性的弹药。对怕雷的怪物相当有效。最多携带60发。
155	冰结弹	弹药或瓶	1	拥有强力冰属性的弹药。对怕冰的怪物相当有效。最多携带60发。
156	灭龙弹	弹药或瓶	2	拥有龙属性，具备龙封力的弹药。对害怕龙属性的怪物相当有效。最多携带3发。
157	等级1毒弹	弹药或瓶	1	造成毒状态的弹药。视怪物不同可能需要多发。最多携带12发。
158	等级2毒弹	弹药或瓶	2	造成毒状态的弹药强化版。视怪物不同可能需要多发。最多携带12发。
159	等级1麻痹弹	弹药或瓶	1	造成麻痹状态的弹药。视怪物不同可能需要多发。最多携带12发。
160	等级2麻痹弹	弹药或瓶	2	造成麻痹状态的弹药强化版。视怪物不同可能需要多发。最多携带8发。
161	等级1睡眠弹	弹药或瓶	1	造成睡眠状态的弹药。视怪物不同可能需要多发。最多携带12发。
162	等级2睡眠弹	弹药或瓶	2	造成睡眠状态的弹药强化版。视怪物不同可能需要多发。最多携带8发。
163	等级1减气弹	弹药或瓶	1	夺取怪物耐力的特殊弹药。最多携带12发。
164	等级2减气弹	弹药或瓶	2	夺取怪物耐力的特殊弹药强化版。最多携带8发。
165	等级1回复弹	弹药或瓶	1	可少量回复命中对象体力的弹药。最多携带12发。
166	等级2回复弹	弹药或瓶	2	可中量回复命中对象体力的弹药。最多携带12发。
167	龙击弹	弹药或瓶	2	研究龙击炮构造所制成的弹药。射程极短，但是拥有压倒性的破坏力。最多携带5发。
168	斩裂弹	弹药或瓶	1	在命中位置飞散刀片的切断属性弹药。可以切断尾巴。最多携带30发。
169	捕获用麻醉弹	弹药或瓶	2	捕获中陷阱的怪物时，所使用的弩炮专用麻醉弹。最多携带8发。
170	鬼人弹	弹药或瓶	3	据说会给命中对象带来修罗般力量的弹药。最多携带5发。
171	硬化弹	弹药或瓶	3	据说会使命中对象的皮肤硬质化得如岩石一般的弹药。最多携带5发。
172	无瓶状态	弹药或瓶	0	Unavailable
173	接击瓶	弹药或瓶	3	装备在弓上，可提高近身射击的威力，但射程距离会衰减。
174	空瓶	物品	0	没有任何东西的空瓶。原封不动的话，就只是瓶子而已。
175	强击瓶	弹药或瓶	1	装备在弓上，可提升攻击力的瓶。最多携带50个。
176	毒瓶	弹药或瓶	2	装备在弓上，可赋予箭矢毒属性的瓶。最多携带20个。
177	麻痹瓶	弹药或瓶	2	装备在弓上，可赋予箭矢麻痹属性的瓶。最多携带20个。
178	睡眠瓶	弹药或瓶	2	装备在弓上，可赋予箭矢睡眠属性的瓶。最多携带20个。
179	样本02	素材	3	样本
180	爆破瓶	弹药或瓶	2	装备在弓上，可赋予箭矢爆破属性的瓶。最多携带20个。
181	应急药	物品	0	可少量回复体力的药。<STYL MOJI_YELLOW_DEFAULT>（补给品专用）</STYL>
182	应急药·大	物品	1	可中量回复体力的药。<STYL MOJI_YELLOW_DEFAULT>（补给品专用）</STYL>
183	补给专用携带食料	物品	0	可少量回复耐力的食物。<STYL MOJI_YELLOW_DEFAULT>（补给品专用）</STYL>
184	补给专用生命粉尘	物品	1	使用后会扩散的生命之粉，具有疗愈接触者的能力。<STYL MOJI_YELLOW_DEFAULT>（补给品专用）</STYL>
185	补给专用秘药	物品	1	提升体力上限到最大，并完全回复的药。<STYL MOJI_YELLOW_DEFAULT>（补给品专用）</STYL>
186	补给专用大桶爆弹	物品	2	大桶爆弹的改良强化版。没写「大」却有超强的威力。<STYL MOJI_YELLOW_DEFAULT>（补给品专用）</STYL>
187	补给专用麻痹陷阱	物品	2	能够阻止怪物行动的陷阱。亦可用于捕获。<STYL MOJI_YELLOW_DEFAULT>（补给品专用）</STYL>
188	补给专用落穴陷阱	物品	2	使猎物坠落用的落穴陷阱。<STYL MOJI_YELLOW_DEFAULT>（补给品专用）</STYL>
189	补给专用汉方粉尘	物品	3	中和周围对象的毒并少量回复体力。<STYL MOJI_YELLOW_DEFAULT>（补给品专用）</STYL>
190	补给专用鬼人粉尘	物品	3	暂时提高周围对象的攻击力。<STYL MOJI_YELLOW_DEFAULT>（补给品专用）</STYL>
191	补给专用硬化粉尘	物品	3	暂时提高周围对象的防御力。<STYL MOJI_YELLOW_DEFAULT>（补给品专用）</STYL>
192	补给专用异臭弹	物品	1	命中后会发出使怪物厌恶逃跑的异臭。<STYL MOJI_YELLOW_DEFAULT>（补给品专用）</STYL>
193	补给专用闪光弹	物品	1	以投射器发射，会发出强烈的闪光。<STYL MOJI_YELLOW_DEFAULT>（补给品专用）</STYL>
194	补给专用音爆弹	物品	1	以投射器发射，会发出高频率不舒服的扰人噪音。<STYL MOJI_YELLOW_DEFAULT>（补给品专用）</STYL>
195	飞刀	物品	0	装填到投射器上的匕首。加工后可涂抹药品使用。<STYL MOJI_YELLOW_DEFAULT>（补给品专用）</STYL>
196	毒飞刀	物品	1	会带给对象毒效果的匕首。装填到投射器后发射。<STYL MOJI_YELLOW_DEFAULT>（补给品专用）</STYL>
197	睡眠飞刀	物品	1	会带给对象睡眠效果的匕首。装填到投射器后发射。<STYL MOJI_YELLOW_DEFAULT>（补给品专用）</STYL>
198	麻痹飞刀	物品	1	会带给对象麻痹效果的匕首。装填到投射器后发射。<STYL MOJI_YELLOW_DEFAULT>（补给品专用）</STYL>
199	捕获用麻醉飞刀	物品	2	捕获中陷阱的怪物时，所使用的专用匕首。装填到投射器后发射。<STYL MOJI_YELLOW_DEFAULT>（补给品专用）</STYL>
200	补给专用回归球	物品	2	可呼叫翼龙，返回最靠近的营地。<STYL MOJI_YELLOW_DEFAULT>（补给品专用）</STYL>
201	补给专用麻醉球	物品	2	捕获中陷阱的怪物时，所专用的投掷式麻醉球。<STYL MOJI_YELLOW_DEFAULT>（补给品专用）</STYL>
202	弩弹	弹药或瓶	3	大型弩炮专用的弹药。<STYL MOJI_YELLOW_DEFAULT>（补给品专用）</STYL>
203	单发式拘束弹	弹药或瓶	3	大型弩炮专用的拘束弹。用完即丢型，但可连续使用。<STYL MOJI_YELLOW_DEFAULT>（补给品专用）</STYL>
204	大炮弹	物品	3	对巨型龙专用的钢铁弹丸。沉重而搬运不易。<STYL MOJI_YELLOW_DEFAULT>（补给品专用）</STYL>
205	铁矿石	素材	3	可通过普通方式采掘到的矿石。加以精炼可以获得泛用性强的金属。
206	燕雀石	素材	3	采掘量少于铁矿石的矿石。可以精炼出优质的金属。
207	辉龙石	素材	3	可精炼出品质更胜燕雀钢的金属。制作坚硬装备时不可或缺。
208	灵鹤石	素材	5	可以在矿脉采掘到的上位矿石。尚在研究中的素材，已知可精炼出质量相当好的金属。
209	白鸠石	素材	5	在龙结晶之地采掘的矿石。矿石内部含有可以连接各种素材的神奇金属。
210	大地结晶	素材	3	主要可在大蚁冢荒地采掘到的石头。作为装备的研磨素材，在工房颇受重视。
211	深海结晶	素材	3	主要可在陆珊瑚台地采掘到的石头。作为上好的研磨素材，在工房颇受重视。
212	龙脉结晶	素材	5	可在上位行动中采掘到的石头。是新发现的素材，可期待为加工技术带来革新。
213	光水晶	素材	4	采掘量稀少的贵重水晶。硬度非常高，在工房中或制作道具时都会使用到。
214	璀璨水晶	素材	6	光水晶的上位素材。具有高度稀有价值，连工房都只会使用在重要用途上。
215	狱炎石	素材	6	可在龙结晶之地采掘到的贵重矿石。只有高手工匠有能力运用，使用到其性质的装备都是顶级品。
216	水晶原石	素材	3	作为护石的素材而不可或缺的石头。澄澈水面般的光芒，令人感到无尽的可能性。
217	精晶原石	素材	5	作为护石素材不可或缺的石头。带有自然感的温暖光芒，令人感到更远的进化。
218	幻晶原石	素材	6	作为护石的素材而不可或缺的石头。梦幻般的摇曳光芒，令人感到革命性的未来。
219	龙晶原石	素材	7	作为护石的素材而不可或缺的石头。蕴含悠久感的神秘光芒，令人感到通往未知世界的门扉。
220	铠玉	素材	3	蒸镀在武具上提高强度的素材。可略微提升防具的强化值。
221	上铠玉	素材	4	蒸镀在武具上提高强度的素材。可少量提升防具的强化值。
222	尖铠玉	素材	5	蒸镀在武具上提高强度的素材。可提升防具的强化值。
223	坚铠玉	素材	6	蒸镀在武具上提高强度的素材。可大幅提升防具的强化值。
224	重铠玉	素材	7	蒸镀在武具上提高强度的素材。可大大提升防具的强化值。
225	硬质骨头	素材	3	主要在陆珊瑚台地及瘴气之谷的骨冢可采集到的骨素材。
226	良质硬骨	素材	5	可在骨冢采集的上位素材。加工难度低，利用其硬度可以制作更优质的武具。
227	太古大骨	素材	3	可在古代树森林的骨冢采集的骨素材。令人感觉到原始气息的雄伟。
228	坚硬岩骨	素材	3	可在大蚁冢荒地的骨冢采集的骨素材。令人感觉到历史累积的沉重感。
229	珊瑚红骨	素材	3	可在陆珊瑚台地的骨冢采集的骨素材。令人感觉到千变万化时代的质感。
230	扭曲狂骨	素材	3	可在瘴气之谷的骨冢采集的骨素材。令人感觉到抗拒残酷环境本能的强大力量。
231	狂乱蛮骨	素材	5	可在龙结晶之地的骨冢采集的骨素材。令人感觉到在无尽斗争幸存的生命力带来的威压感。
232	古老龙骨	素材	6	可在骨冢采集到的贵重上位素材。遥远过往在此地逝去的龙所留下的贵重龙骨。
233	谜之头骨	素材	6	可在龙结晶之地的骨冢采集到的珍贵骨素材。可判断出是某种动物的头骨。
234	大角凤蝶	素材	4	具有大角与甲壳，翅膀如蝴蝶般美丽的神奇昆虫。在植生研究所等处发现的。
235	灾祸之布	素材	4	随从探险队不知道从哪里找来的诡异布料。有种灾厄的氛围。
236	龙骨【小】	素材	3	在骨冢一般可采集到的骨素材。非常便于使用，生活及狩猎都不可或缺。
237	龙骨【中】	素材	3	从大型怪物采集的骨素材。尺寸恰到好处，与钢材及木材都能搭配，具有超群安定感的素材。
238	龙骨【大】	素材	3	从大型怪物采集的骨素材。一般矿材难以寻得这么大的尺寸，顶级品加工时不可或缺。
239	上龙骨	素材	3	从大型怪物采集的骨素材。取得不易，是强力武具加工时不可或缺的素材。
240	尖龙骨	素材	5	从上位大型怪物采集的骨素材。前端尖锐，可维持素材本身的强度加以活用。
241	坚龙骨	素材	5	从上位大型怪物采集的骨素材。每只大型龙只能采得几根的贵重龙骨。
242	古龙骨	素材	6	从古龙种的怪物采集的骨素材。光是龙骨本身都能感觉到那股威严。
243	尖爪	素材	3	小型牙龙种的素材。和飞龙的爪不同，形状较适合抓住物体。
244	锐爪	素材	5	小型牙龙种的上位素材。空手直接触碰会有点危险，锋利度足以代替匕首。
245	怪物体液	素材	3	小型甲虫种的素材。只要混合虫的消化液，就会呈现出接着剂的效用。
246	怪物浓液	素材	5	小型甲虫种的上位素材。萃取体液中较浓部份所得的液体。相当浓厚。
247	毒袋	素材	3	怪物的内脏器官之一。积存有致命性的毒液，要注意使用。
248	剧毒袋	素材	5	怪物的内脏器官之一。积存有高浓度毒液的袋子。光是触摸到都会有危险。
249	麻痹袋	素材	3	怪物的内脏器官之一。积存有神经性毒液，中毒就会麻痹。
250	强力麻痹袋	素材	5	怪物的内脏器官之一。积存有强力的神经性毒液，光是触摸到就会麻痹。
251	睡眠袋	素材	3	怪物的内脏器官之一。器官内累积含有睡眠效果的粉尘，吸入就会昏倒。
252	昏睡袋	素材	5	怪物的内脏器官之一。若是吸入累积在这里的粉尘，即使只有微量也会陷入昏睡状态。
253	火炎袋	素材	3	怪物的内脏器官之一。装满了可燃性的粉尘，要注意使用。
254	爆炎袋	素材	5	怪物的内脏器官之一。装满了只是接触外在空气便会起火的粉尘，很危险！
255	水袋	素材	3	怪物的内脏器官之一。可用于储水，保水性极佳的袋子。
256	大水袋	素材	5	怪物的内脏器官之一。可储存大量的水，保水性极佳的巨型袋子。
257	冰结袋	素材	3	怪物的内脏器官之一。装有超低温的体液，要注意使用。
258	冻结袋	素材	5	怪物的内脏器官之一。秘藏着强烈的冷冻效果，一瞬间就能使周围结冰。
259	电气袋	素材	3	怪物的内脏器官之一。袋内积蓄着电气，若受到冲击就会放电。
260	电击袋	素材	5	怪物的内脏器官之一。特殊脏器中积蓄着电气，其电力足以匹敌高压电流。
261	鸟龙玉	素材	6	从鸟龙种身上采集的贵重宝玉。与其他鸟龙种素材相比，交易价格更高。
262	龙玉	素材	6	长年累积在龙体内的不纯物质所形成如结石状的东西。是特异的物质。
263	古龙之血	素材	6	含有未知成份的古龙种之血。是学者们的研究对象。
264	蘑菇猪苔皮	素材	3	蘑菇猪的皮。包覆着苔癣。
265	温暖的毛皮	素材	3	从小型兽采集到的毛皮。有多种用途，但主要是在泛用的衣服上加工。
266	良质毛皮	素材	5	从小型兽身上采集的上位素材。触感极佳的良质毛皮。调查团也会使用的贵重素材。
267	巨蜂的甲壳	素材	3	巨蜂的素材。可通过剥取获得。是用途广泛、应用性佳的材质。
268	巨蜂的坚壳	素材	5	巨蜂的上位素材。可通过剥取获得。是用途广泛、应用性佳的材质。
269	巨蜂的翅膀	素材	3	巨蜂的素材。可通过剥取获得。材质轻巧锐利，常用于武器上。
270	巨蜂的薄羽	素材	5	巨蜂的上位素材。可通过剥取获得。材质轻巧锐利，常用于武器上。
271	巨甲虫的甲壳	素材	3	巨甲虫的素材。可通过剥取获得。是用途广泛、应用性佳的材质。
272	巨甲虫的翅膀	素材	3	巨甲虫的素材。可通过剥取获得。是用途广泛、应用性佳的材质。
273	巨甲虫的头	素材	3	巨甲虫的素材。可通过剥取获得。材质特殊，只能用于限定的装备。
274	巨甲虫的坚壳	素材	5	巨甲虫的上位素材。可通过剥取获得。是用途广泛、应用性佳的材质。
275	巨甲虫的薄羽	素材	5	巨甲虫的上位素材。可通过剥取获得。材质轻巧锐利，常用于武器上。
276	咬鱼的皮	素材	3	咬鱼的素材。可通过剥取获得。耐水性佳，常用于防具上。
277	咬鱼的须	素材	3	咬鱼的素材。可通过剥取获得。材质坚实，常用于防具上。
278	咬鱼的上皮	素材	5	咬鱼的上位素材。可通过剥取获得。耐水性佳，常用于防具上。
279	咬鱼的大须	素材	5	咬鱼的上位素材。可通过剥取获得。材质坚实，常用于防具上。
280	翼龙的皮	素材	3	翼龙种的素材。可通过剥取获得。材质轻巧，常用于防具上。
281	翼龙的上皮	素材	5	翼龙种的上位素材。可通过剥取获得。材质轻巧，常用于防具上。
282	酸翼龙的上皮	素材	5	酸翼龙的上位素材。可通过剥取获得。材质柔软，常用于防具上。
283	酸翼龙的尖爪	素材	5	酸翼龙的上位素材。可通过剥取获得。材质特殊，只能用于限定的装备。
