NPC代码	NPC名称	模型地址
N731_NPC_NAME	助理艾露猫	npc731
N732_NPC_NAME	热心助人的第五期团员	npc732
N741_NPC_NAME	野心勃勃的第四期团员	npc741
N743_NPC_NAME	沉稳可靠的第五期团员	npc743
N749_NPC_NAME	热情的生物学者	npc749
N754_NPC_NAME	调查员	npc754
N755_NPC_NAME	配膳艾露猫	npc755
N756_NPC_NAME	配膳艾露猫	npc756
N757_NPC_NAME	调查员	npc757
N758_NPC_NAME	调查员	npc758
N759_NPC_NAME	调查员	npc759
N760_NPC_NAME	调查员	npc760
N761_NPC_NAME	调查员	npc761
N762_NPC_NAME	调查员	npc762
N763_NPC_NAME	调查员	npc763
N764_NPC_NAME	士气高昂的第四期团员	npc764
N765_NPC_NAME	勇于尝鲜的第五期团员	npc765
N766_NPC_NAME	兴趣多元的第四期团员	npc766
N767_NPC_NAME	急性子的第五期团员	npc767
N781_NPC_NAME	加工屋的大徒弟	npc781
N782_NPC_NAME	生态研究所的副所长	npc782
N792_NPC_NAME	加工屋帮手	npc792
N793_NPC_NAME	基地的调查资源管理负责人	npc793
HUNTER_00_NAME	新手猎人	
HUNTER_01_NAME	菜鸟猎人	
HUNTER_02_NAME	年轻猎人	
HUNTER_03_NAME	见习猎人	
HUNTER_04_NAME	一般猎人	
HUNTER_05_NAME	中坚猎人	
HUNTER_06_NAME	坚实猎人	
HUNTER_07_NAME	热血猎人	
HUNTER_08_NAME	资深猎人	
HUNTER_09_NAME	一流猎人	
HUNTER_10_NAME	流浪猎人	
HUNTER_11_NAME	孤高猎人	
OTOMO_00_NAME	阿瑟	
OTOMO_01_NAME	亚蒙德	
OTOMO_02_NAME	苹果	
OTOMO_03_NAME	辉	
OTOMO_04_NAME	泉	
OTOMO_05_NAME	乌冬	
OTOMO_06_NAME	年糕	
OTOMO_07_NAME	加鲁泰	
OTOMO_08_NAME	小子	
OTOMO_09_NAME	庆	
OTOMO_10_NAME	可可	
OTOMO_11_NAME	小次郎	
OTOMO_12_NAME	科登	
OTOMO_13_NAME	赛门	
OTOMO_14_NAME	佐助	
OTOMO_15_NAME	札克	
OTOMO_16_NAME	杰特	
OTOMO_17_NAME	茉莉	
OTOMO_18_NAME	十兵卫	
OTOMO_19_NAME	翔	
OTOMO_20_NAME	自来也	
OTOMO_21_NAME	白泷	
OTOMO_22_NAME	金格	
OTOMO_23_NAME	史考特	
OTOMO_24_NAME	史帕克	
OTOMO_25_NAME	塞巴斯蒂安	
OTOMO_26_NAME	积木	
OTOMO_27_NAME	德夫	
OTOMO_28_NAME	汉卓	
OTOMO_29_NAME	彼特	
OTOMO_30_NAME	皮克	
OTOMO_31_NAME	贝尔	
OTOMO_32_NAME	弁庆	
OTOMO_33_NAME	政宗	
OTOMO_34_NAME	密斯堤	
OTOMO_35_NAME	武藏	
OTOMO_36_NAME	小桃	
OTOMO_37_NAME	露西	
OTOMO_38_NAME	洛克	
OTOMO_39_NAME	罗伯	
