技能ID	技能代码	技能名称	技能介绍
44	PT_ADD_SLEEPBIN_SKILL_PT	睡眠瓶追加	装备弓时，可装备睡眠瓶。
45	DUMMY000015	Unavailable	Unavailable
46	PT_ADD_BOMBBIN_SKILL_PT	爆破瓶追加	装备弓时，可装备爆破瓶。
47	PT_AWAKE_SKILL_PT	属性解放／装填扩充	解锁武器的隐藏属性。增加轻弩炮的装填数。（装填数有其上限）
48	PT_CRI_SKILL_PT	看破	会心率提升。
49	PT_SUPER_CRI_SKILL_PT	超会心	增加会心攻击的伤害。
50	PT_WEAK_ATK_SKILL_PT	弱点特效	攻击怪物时，若攻击对该部位颇有效的话，会心率则会上升。
51	DUMMY000018	Unavailable	Unavailable
52	PT_CONCENTRATION_SKILL_PT	集中	加快提升太刀、双剑、剑斧、盾斧的槽及大剑、大锤、弓的蓄力速度。
53	PT_KEEP_SKILL_PT	强化持续	以太刀、双剑、操虫棍、剑斧、盾斧发动，增长强化状态的持续时间。
54	PT_TAKUMI_SKILL_PT	匠	延长武器锐利度的槽。但锐利度的槽不会超过上限。
55	PT_BATTO_WAZA_SKILL_PT	拔刀术【技】	武器拔刀攻击的会心率提高。
56	PT_CRUSH_SKILL_PT	破坏王	更容易破坏大型怪物的部位。
57	PT_KO_SKILL_PT	击晕术	更容易让怪物陷入昏厥状态。
58	PT_STAMINA_DMG_SKILL_PT	夺取耐力	特定攻击所拥有的，提高怪物疲劳的效果。
59	PT_NORI_SKILL_PT	骑乘名人	更容易骑乘怪物。
60	PT_HIEN_SKILL_PT	飞燕	强化跳跃攻击。
61	PT_POWER_AWAKE_SKILL_PT	力量解放	满足特定条件后，一定时间内提高会心率，减轻固定消耗耐力行动的消费量。
62	PT_CHALLENGER_SKILL_PT	挑战者	若战斗中的大型怪物发怒，即会提高攻击力与会心率。
63	PT_FULL_CHARGE_SKILL_PT	无伤	体力全满时，攻击力提高。
64	PT_KAZIBA_SKILL_PT	火场怪力	体力在最大值的35％以下时，防御力与攻击力会提高。
65	PT_HUKUTU_G_SKILL_PT	不屈	每次耗尽体力时，攻击力与防御力就会上升一定时间。（最多2次）
66	PT_SAKAURAMI_SKILL_PT	怨恨	体力槽残留有红色部分的期间，攻击力上升。
67	PT_KATSU_SKILL_PT	死里逃生	处于状态异常时，提高回避性能并减少耐力消耗量。
68	PT_HUE_SKILL_PT	吹笛名人	延长狩猎笛旋律效果持续时间。
69	PT_LOAD_UP_SKILL_PT	炮弹装填数提升	增加铳枪的炮击装填数与盾斧的瓶装填数。
70	PT_EXBULLET_UP_G_SKILL_PT	特殊射击强化	提升弩枪的特殊弹药与弓的龙之箭、龙之千矢威力。
71	PT_CANNON_SKILL_PT	炮术	铳枪的炮击、龙击炮、盾斧的瓶攻击、穿甲榴弹等随着爆炸，攻击的威力也会上升。
72	PT_GUNNER_SKILL_PT	炮击手	提升弩炮、大炮的威力。
73	PT_RUNNER_SKILL_PT	跑者	进行冲刺等等渐渐消耗耐力的行动时，所需的耐力消耗量减低。
74	PT_GYM_SKILL_PT	体术	进行回避等等固定消耗耐力的行动时，所需的耐力消耗量减低。
75	PT_JUMP_SKILL_PT	飞身跃入	可以向着大型怪物进行飞扑回避。同时会延长飞跃距离。
76	PT_STAMINA_SPEED_SKILL_PT	耐力急速回复	加快耐力的回复速度。
77	G_PT_HUNGER_SKILL_PT	饥饿耐性	可抑制耐力槽最大值随着时间经过的减少，但无法抑制因寒冷导致的减少。
78	PT_AVOID_UP_SKILL_PT	回避性能	延长回避时的无敌时间。
79	PT_AVOID_DISTANCE_SKILL_PT	回避距离提升	延长回避时的移动距离。
80	PT_GUARD_UP_SKILL_PT	防御性能	防御时不易硬直，并减轻耐力的消耗。
81	PT_NOUTOU_SPEED_SKILL_PT	纳刀术	加快收起武器的速度。
82	PT_WIDE_SKILL_PT	广域化	使用部分道具时的效果，对在一定范围内的同伴也会有作用。
83	PT__ITEM_UP_SKILL_PT	道具使用强化	延长部分道具的效果时间。
84	PT_MANZOK_SKILL_PT	满足感	食用、饮用类的道具有一定的几率可再次使用。
85	PT_HAYAGUI_SKILL_PT	快吃	加快食用肉及道具的速度。
86	PT_TOISI_SPEED_SKILL_PT	砥石使用高速化	缩短砥石的使用时间。
87	DUMMY000021	Unavailable	Unavailable
88	PT_BOMBER_SKILL_PT	炸弹客	提高爆弹系道具的伤害。
89	DUMMY000024	Unavailable	Unavailable
90	PT_KINOKO_LOVER_SKILL_PT	最爱蘑菇	平常无法食用的蘑菇，现在可口了。也因此能取得有效的效果。
91	PT_FISHING_SKILL_PT	钓鱼名人	变得擅长钓鱼的技能。
92	PT_STEAK_SKILL_PT	烤肉名人	变得擅于烤肉的技能。
93	PT_TRANSPORTER_SKILL_PT	搬运达人	搬运时的移动速度会上升，且即使从某种程度的高度往下跳，搬运的物品也不会掉落。
94	PT_SAISYU_SKILL_PT	采集达人	采集行动的速度加快，行动中即使遭受攻击，也不会硬直。
95	PT_HONEY_HUNTER_SKILL_PT	蜂蜜猎人	增加在原野采集蜂蜜的取得数。
96	PT_HAGI_IRON_SKILL_PT	剥取铁人	剥取中即使遭受攻击，也不会硬直。
97	PT_BREATH_SKILL_PT	精灵加护	一定几率减少玩家受到的伤害。
98	PT_OTOMO_LEADER_SKILL_PT	指示随从	强化随从的攻击力与防御力。
99	PT_BOTANY_SKILL_PT	植生学	增加药草等、消耗道具的取得数。
100	PT_GEOLOGY_SKILL_PT	地质学	增加采集点的采集次数。
101	G_PT_KONSHIN_SKILL_PT	精神抖擞	维持耐力计量表全满状态一段时间后，会心率会上升。
102	G_PT_SLING_B_PLUS_SKILL_PT	投射器装填数提升	增加在原野取得之投射器的弹药装填数。利用投射器全弹发射可降低消耗弹药数。
103	PT_MIUSINAI_SKILL_PT	潜伏	怪物更容易追丢玩家。
104	PT_NOKEZORI_SKILL_PT	减轻胆怯	减轻受到小伤害时的反应。
105	PT_GUIDE_LONG_SKILL_PT	导虫反应距离提升	扩大导虫的反应范围。
106	PT_SYAGAMI_SPEED_SKILL_PT	蹲下移动速度提升	加快蹲下时的移动速度。
107	PT_JUMP_DISTANCE_SKILL_PT	跳跃铁人	跳跃中即使遭受攻击，也不会硬直。
108	PT_HEEL_SMOKE_G_SKILL_PT	环境利用知识	使用棉花孢子草和冰耐草等可任意发动效果的环境物时，能够追加回复体力。
109	PT_NAGAGUTU_G_SKILL_PT	适应水场·深雪	适应水中环境并可在水中行动。此外，也能适应深雪处等因地形导致移动速度迟缓的区域。
110	DUMMY000027	Unavailable	Unavailable
111	PT_CLIMBER_G_SKILL_PT	攀岩者	攀附在壁面或藤蔓进行回避时，或是飞翔爪中进行移动时，消耗的耐力会减少。
112	PT_FLASH_UP_SKILL_PT	闪光强化	发动的闪光更容易生效。
113	DUMMY000030	Unavailable	Unavailable
114	PT_LAB_SKILL_PT	研究者	更容易调查及研究大型怪物。（会在结算时出现效果）
115	PT_MUSIHAGI_SKILL_PT	昆虫标本达人	以攻击讨伐昆虫型的小型怪物时，更容易在剥取状态下残留。
116	PT_MIST_RESIST_SKILL_PT	瘴气耐性	拥有对瘴气侵蚀状态的耐性。
117	PT_SMELL_SKILL_PT	追踪达人	减少要将导虫诱导至大型怪物前，所需的痕迹数量。
118	PT_RARE_POP_HIT_SKILL_PT	探索者之幸运	提高活性化的采集点的发生率。
119	PT_RARE_POP_LOCATE_SKILL_PT	察觉	可通过生态地图了解活性化的采集点。
120	PT_MONOMOTI_SKILL_PT	整备	缩短特殊装备可再次使用的间隔时间。
121	DUMMY000033	Unavailable	Unavailable
122	PT_SLIDING_UP_SKILL_PT	滑走强化	进行滑行后，一定时间内会心率会上升。
123	PT_DRASEAL_UP_SKILL_PT	龙封力强化	强化武器与灭龙弹所持有的龙封力。
124	PT_4SOKU_SKILL_PT	威吓	即使被小型怪物发现也不容易进入战斗状态。（对甲虫种等部分怪物无效）
125	PT_NEWZYUURYU_1_SKILL_PT	蛮颚龙之力	Unavailable
126	PT_NEWMAIN_SKILL_PT	灭尽龙之饥饿	Unavailable
127	PT_DRAGONZOMBIE_SKILL_PT	尸套龙之命脉	Unavailable
128	PT_REUSU_SKILL_PT	火龙之力	Unavailable
129	PT_DIABROS_SKILL_PT	角龙之力	Unavailable
130	PT_KIRIN_SKILL_PT	幻兽之恩惠	Unavailable
131	PT_REIA_ASHU_SKILL_PT	樱火龙之奥秘	Unavailable
132	PT_NEWZYUURYU_S_SKILL_PT	蛮颚龙之斗志	Unavailable
133	DUMMY000044	Unavailable	Unavailable
134	DUMMY000047	Unavailable	Unavailable
135	PT_REUSU_S_SKILL_PT	火龙之奥秘	Unavailable
136	PT_DIABROS_S_SKILL_PT	角龙之奥秘	Unavailable
137	PT_KIRIN_S_SKILL_PT	幻兽之恩宠	Unavailable
138	PT_GANKIN_SKILL_PT	爆锤龙之守护	Unavailable
139	DUMMY000054	Unavailable	Unavailable
140	DUMMY000057	Unavailable	Unavailable
141	DUMMY000060	Unavailable	Unavailable
142	PT_NEWARASHI_SKILL_PT	爆鳞龙之守护	Unavailable
143	PT_TEO_SKILL_PT	炎王龙之武技	Unavailable
144	PT_KUSHA_SKILL_PT	钢龙之飞翔	Unavailable
145	PT_MUKURO_SKILL_PT	冥灯龙之神秘	Unavailable
146	DUMMY000067	Unavailable	Unavailable
147	PT_KAZANRYU_SKILL_PT	熔山龙之奥秘	Unavailable
148	DUMMY000071	Unavailable	Unavailable
149	PT_GUILDX_SKILL_PT	公会之指引	Unavailable
150	PT_SEEKER_SKILL_PT	调查团之指引	Unavailable
151	PT_FUFYO_SKILL_PT	风漂龙之恩宠	Unavailable
152	PT_FUFYO_S_SKILL_PT	风漂龙之恩宠	Unavailable
153	PT_ZANSO_SKILL_PT	惨爪龙之力	Unavailable
154	PT_ZANSO_S_SKILL_PT	惨爪龙之奥秘	Unavailable
155	PT_ARROW_CHARGE2_SKILL_PT	解放弓的蓄力阶段	弓的蓄力阶段增加1个阶段。
156	PT_SHINGAN2_SKILL_PT	心眼／弹道强化	攻击不会被弹开。／缩短弹药、箭矢达到最大威力时的距离。
157	PT_EXGUARD2_SKILL_PT	防御强化	可以防御一般无法防御的攻击。
158	PT_GOJIN2_SKILL_PT	刚刃研磨	研磨武器后，一定时间内锐利度不会降低。
159	PT_BLANK_UP2_SKILL_PT	无属性强化	强化装备中的无属性武器。
160	PT_NANA_01_SKILL_PT	毅力	当体力在一定程度以上时，即使承受了超过这部分体力的伤害，也能撑住而不精疲力尽。
161	PT_NANA_02_SKILL_PT	加速再生	若持续攻击命中怪物，便能恢复体力。恢复量会依武器种类不同而有所变动。
162	PT_NANA_03_SKILL_PT	利刃／弹丸节约	降低一半锐利度的消耗。／有机会不消耗弩枪的枪体及其弹药。
163	PT_NANA_S_SKILL_PT	炎妃龙之恩宠	Unavailable
164	PT_FF_S_SKILL_PT	龙骑士之证	Unavailable
165	PT_MAMM1_SKILL_PT	会心攻击【属性】	因攻击而出现会心时，所造成的属性伤害（火、水、雷、冰、龙）会提高。
166	PT_MAMM2_SKILL_PT	会心攻击【特殊】	因攻击而出现会心时，所造成的状态异常值（麻痹、毒、睡眠、爆破）会提高。
167	PT_WITCHER_SKILL_PT	猎魔人的心得	Unavailable
168	PT_ANNIVERSARY_SKILL_PT	星辰的祝福	Unavailable
169	PT_ZINOGRE_SKILL_PT	雷狼龙的真髓	Unavailable
170	PT_TIGREX_SKILL_PT	轰龙的真髓	Unavailable
171	PT_NARGACUGA_SKILL_PT	迅龙的真髓	Unavailable
172	PT_BRACCHIDIOS_SKILL_PT	碎龙的真髓	Unavailable
173	PT_DINOVALDE_SKILL_PT	斩龙的真髓	Unavailable
174	PT_SILVER_SKILL_PT	银火龙的真髓	Unavailable
175	PT_GOLD_SKILL_PT	金火龙的真髓	Unavailable
176	PT_EARTH_SKILL_PT	天地煌啼龙的神秘	Unavailable
177	PT_NERO_SKILL_PT	溟波龙的神秘	Unavailable
178	PT_HIVER_SKILL_PT	冰呪龙的神秘	Unavailable
179	PT_UNDECIDED1_SKILL_PT	太古的神秘	Unavailable
180	PT_UNDECIDED2_SKILL_PT	调查团的炼金术	Unavailable
181	PT_UNDECIDED3_SKILL_PT	教官的引导	Unavailable
182	PT_UNDECIDED4_SKILL_PT	蛮颚龙的霸气	Unavailable
183	PT_UNDECIDED5_SKILL_PT	雌火龙的真髓	Unavailable
184	PT_GUST_SKILL_PT	佯动攻击	攻击击中时，能更加吸引怪物的注意。
185	PT_KNIGHT_SKILL_PT	攻击守势	抓准时机防御成功的话，会提升一定时间的攻击力。
186	PT_DISASTER_SKILL_PT	转祸为福	解除状态异常或属性异常状态属性后，会强化一定时间的攻击性能。
187	PT_EXDODGE_SKILL_PT	受身术	拔刀状态下受到攻击而被远远击飞时，可以进行受身来迅速回归。
188	PT_EX06_SKILL_PT	冰牙龙的秘技	Unavailable
189	PT_EX07_SKILL_PT	火龙的真髓	Unavailable
190	PT_EX08_SKILL_PT	角龙的霸气	Unavailable
191	PT_EX09_SKILL_PT	风漂龙的霸气	Unavailable
192	PT_EX10_SKILL_PT	惨爪龙的真髓	Unavailable
193	PT_EX11_SKILL_PT	爆锤龙的霸气	Unavailable
194	PT_EX12_SKILL_PT	爆鳞龙的霸气	Unavailable
195	PT_EX13_SKILL_PT	恐暴龙的真髓	Unavailable
196	PT_EX14_SKILL_PT	尸套龙的灵脉	Unavailable
197	DUMMY000108	Unavailable	Unavailable
198	DUMMY000111	Unavailable	Unavailable
199	PT_EX17_SKILL_PT	幻兽的神秘	Unavailable
200	PT_EX18_SKILL_PT	公会的见识	Unavailable
201	PT_EX19_SKILL_PT	熔山龙的真髓	Unavailable
202	PT_EX20_SKILL_PT	炎妃龙的真髓	Unavailable
203	PT_EX21_SKILL_PT	灭尽龙的霸气	Unavailable
204	DUMMY000119	Unavailable	Unavailable
205	PT_DONKI_SKILL_PT	钝器能手	锐利度愈差攻击力愈高。远距离武器的近身攻击威力与使敌人昏厥的容易度有大幅提升。
206	PT_STAMINA_PINCH_SKILL_PT	振奋	体力降低至40％以下时，一定时间内耐力的消耗量会减少。
207	PT_COLD_RES_SKILL_PT	寒冷耐性	使寒冷的影响无效。
208	PT_EX22_SKILL_PT	金狮子的怒气	Unavailable
209	PT_HORIZON_SKILL_PT	蓄电池	Unavailable
210	PT_RE_SKILL_PT	生还者	Unavailable
211	PT_MUFET_SKILL_PT	冥赤龙的封印	Unavailable
212	PT_WINTER_SKILL_PT	万福的祝福	Unavailable
213	PT_ANNIVERSARY_S_SKILL_PT	大感谢的祝福	Unavailable
214	PT_SPRING_SKILL_PT	盛放之祝福	Unavailable
215	PT_SUMMER_SKILL_PT	热情的祝福	Unavailable
216	PT_AUTUMN_SKILL_PT	惊魂夜的祝福	Unavailable
217	PT_EX23_SKILL_PT	金狮子之斗志	Unavailable
218	PT_EX24_SKILL_PT	碎龙之斗志	Unavailable
219	PT_EX25_SKILL_PT	绚辉龙的真髓	Unavailable
220	PT_EX26_SKILL_PT	冰牙龙的绝技	Unavailable
221	PT_EX27_SKILL_PT	煌黑龙的神秘	Unavailable
222	PT_EX28_SKILL_PT	黑龙的传说	Unavailable
223	PT_CLAW_SKILL_PT	飞翔爪攻击强化	在飞翔爪抓牢并进行武器攻击时，将更容易对怪物造成伤害，也更容易掉落投射器的弹药。
224	DUMMY000137	Unavailable	Unavailable
225	DUMMY000140	Unavailable	Unavailable
