武器类型ID	武器类型	武器ID	武器名称	稀有度	模型类型	主模型地址	附件模型地址
0	大剑	50	骨剑2	0	组合模型	wp/two/bs_two005	
0	大剑	51	骨剑3	1	组合模型	wp/two/bs_two005	
0	大剑	52	斩骨剑1	2	组合模型	wp/two/bs_two005	
0	大剑	53	斩骨剑2	3	组合模型	wp/two/bs_two005	
0	大剑	54	斩骨剑3	4	组合模型	wp/two/bs_two005	
0	大剑	55	大龙颚1	5	组合模型	wp/two/bs_two006	
0	大剑	56	大龙颚2	5	组合模型	wp/two/bs_two006	
0	大剑	57	尸套龙大剑	6	组合模型	wp/two/bs_two006	wp/two/parts/op_two008
0	大剑	58	怪物的愤怒	7	独立模型	wp/two/two006	
0	大剑	59	蛮颚龙大剑	2	独立模型	wp/two/two005	
0	大剑	60	蛮颚龙大剑改	4	独立模型	wp/two/two005	
0	大剑	61	蛮颚大剑	6	独立模型	wp/two/two005	
0	大剑	62	断水剑1	1	组合模型	wp/two/bs_two005	
0	大剑	63	断水剑2	2	组合模型	wp/two/bs_two005	
0	大剑	64	断水剑3	3	组合模型	wp/two/bs_two005	
0	大剑	65	激流巨像1	4	组合模型	wp/two/bs_two004	
0	大剑	66	激流巨像2	5	组合模型	wp/two/bs_two004	
0	大剑	67	激流巨像3	5	组合模型	wp/two/bs_two004	
0	大剑	68	土砂龙巨剑1	1	组合模型	wp/two/bs_two005	wp/two/parts/op_two004
0	大剑	69	土砂龙巨剑2	2	组合模型	wp/two/bs_two005	wp/two/parts/op_two004
0	大剑	70	土砂龙巨剑3	3	组合模型	wp/two/bs_two005	wp/two/parts/op_two004
0	大剑	71	土砂龙粉碎者1	4	组合模型	wp/two/bs_two006	wp/two/parts/op_two004
0	大剑	72	土砂龙粉碎者2	5	组合模型	wp/two/bs_two006	wp/two/parts/op_two004
0	大剑	73	土砂龙粉碎者3	5	组合模型	wp/two/bs_two006	wp/two/parts/op_two004
0	大剑	74	尖刺剑1	2	组合模型	wp/two/bs_two005	wp/two/parts/op_two007
0	大剑	75	尖刺剑2	3	组合模型	wp/two/bs_two005	wp/two/parts/op_two007
0	大剑	76	块剑拉多巴尔喀1	4	组合模型	wp/two/bs_two004	wp/two/parts/op_two007
0	大剑	77	块剑拉多巴尔喀2	5	组合模型	wp/two/bs_two004	wp/two/parts/op_two007
0	大剑	78	块剑拉多巴尔喀3	5	组合模型	wp/two/bs_two004	wp/two/parts/op_two007
0	大剑	79	龙骨大剑1	2	组合模型	wp/two/bs_two005	
0	大剑	80	龙骨大剑2	3	组合模型	wp/two/bs_two005	
0	大剑	81	龙骨大剑3	5	组合模型	wp/two/bs_two005	
0	大剑	98	熔山龙大剑1	4	组合模型	wp/two/bs_two005	wp/two/parts/op_two012
0	大剑	82	熔山龙大剑2	6	组合模型	wp/two/bs_two005	wp/two/parts/op_two012
0	大剑	83	召雷剑	3	独立模型	wp/two/two002	
0	大剑	84	召雷剑【麒麟】	6	独立模型	wp/two/two002	
0	大剑	85	召雷剑【麒麟王】	7	独立模型	wp/two/two002	
0	大剑	86	黑钢大剑1	4	组合模型	wp/two/bs_two002	
0	大剑	87	黑钢大剑2	5	组合模型	wp/two/bs_two002	
0	大剑	88	钢冰大剑	6	独立模型	wp/two/two001	
0	大剑	89	钢龙冻大剑	7	独立模型	wp/two/two001	
0	大剑	90	冥灯龙大剑	7	组合模型	wp/two/bs_two002	wp/two/parts/op_two010
0	大剑	91	龙颚剑	5	独立模型	wp/two/two007	
0	大剑	92	龙颚剑【巨齿】	7	独立模型	wp/two/two007	
0	大剑	7	狂战士之剑	5	独立模型	wp/two/two009	
0	大剑	8	痛苦之剑	6	独立模型	wp/two/two009	
0	大剑	9	龙热机关式【钢翼】	3	独立模型	wp/two/two010	
0	大剑	99	龙热机关式【钢翼】改	6	独立模型	wp/two/two010	
0	大剑	100	金色的大剑·水	5	组合模型 (凯罗武器)	wp/two/bs_two007	
0	大剑	101	金色的大剑·冰	5	组合模型 (凯罗武器)	wp/two/bs_two007	
0	大剑	102	金色的大剑·睡眠	5	组合模型 (凯罗武器)	wp/two/bs_two007	
0	大剑	103	金色的大剑·贼	5	组合模型 (凯罗武器)	wp/two/bs_two007	wp/two/parts/op_two003
0	大剑	104	金色的大剑·毒妖	5	组合模型 (凯罗武器)	wp/two/bs_two007	wp/two/parts/op_two002
0	大剑	105	金色的大剑·土砂	5	组合模型 (凯罗武器)	wp/two/bs_two007	wp/two/parts/op_two004
0	大剑	106	金色的大剑·痹贼	5	组合模型 (凯罗武器)	wp/two/bs_two007	wp/two/parts/op_two006
0	大剑	107	金色的大剑·骨锤	5	组合模型 (凯罗武器)	wp/two/bs_two007	wp/two/parts/op_two007
0	大剑	108	金色的大剑·尸套	5	组合模型 (凯罗武器)	wp/two/bs_two007	wp/two/parts/op_two008
0	大剑	109	金色的大剑·王	5	组合模型 (凯罗武器)	wp/two/bs_two007	wp/two/parts/op_two001
0	大剑	110	金色的大剑·熔岩	5	组合模型 (凯罗武器)	wp/two/bs_two007	wp/two/parts/op_two009
0	大剑	111	金色的大剑·熔山	5	组合模型 (凯罗武器)	wp/two/bs_two007	wp/two/parts/op_two012
0	大剑	112	铠罗炎·贼	6	组合模型 (凯罗武器)	wp/two/bs_two008	wp/two/parts/op_two003
0	大剑	113	铠罗炎·毒妖	6	组合模型 (凯罗武器)	wp/two/bs_two008	wp/two/parts/op_two002
0	大剑	114	铠罗炎·土砂	6	组合模型 (凯罗武器)	wp/two/bs_two008	wp/two/parts/op_two004
0	大剑	115	铠罗炎·痹贼	6	组合模型 (凯罗武器)	wp/two/bs_two008	wp/two/parts/op_two006
0	大剑	116	铠罗炎·骨锤	6	组合模型 (凯罗武器)	wp/two/bs_two008	wp/two/parts/op_two007
0	大剑	117	铠罗炎·尸套	6	组合模型 (凯罗武器)	wp/two/bs_two008	wp/two/parts/op_two008
0	大剑	118	铠罗炎·王	6	组合模型 (凯罗武器)	wp/two/bs_two008	wp/two/parts/op_two001
0	大剑	119	铠罗炎·熔岩	6	组合模型 (凯罗武器)	wp/two/bs_two008	wp/two/parts/op_two009
0	大剑	120	铠罗炎·熔山	6	组合模型 (凯罗武器)	wp/two/bs_two008	wp/two/parts/op_two012
0	大剑	121	铠罗炎·水	7	组合模型 (凯罗武器)	wp/two/bs_two008	
0	大剑	122	铠罗炎·冰	7	组合模型 (凯罗武器)	wp/two/bs_two008	
0	大剑	123	铠罗炎·睡眠	7	组合模型 (凯罗武器)	wp/two/bs_two008	
0	大剑	124	皇后冠	6	组合模型	wp/two/bs_two009	
0	大剑	125	皇后冠·炎妃	7	组合模型	wp/two/bs_two009	
0	大剑	126	皇后冠·灭尽	7	组合模型	wp/two/bs_two009	wp/two/parts/op_two005
0	大剑	127	皇后冠·冥灯	7	组合模型	wp/two/bs_two009	wp/two/parts/op_two010
0	大剑	128	铠罗炎·雷	7	组合模型 (凯罗武器)	wp/two/bs_two008	
0	大剑	129	皇金大剑·痹贼	7	组合模型 (凯罗武器)	wp/two/bs_two013	wp/two/parts/op_two006
0	大剑	130	皇金大剑·尸套	7	组合模型 (凯罗武器)	wp/two/bs_two013	wp/two/parts/op_two008
0	大剑	131	皇金大剑·王	7	组合模型 (凯罗武器)	wp/two/bs_two013	wp/two/parts/op_two001
0	大剑	132	皇金大剑·熔山	7	组合模型 (凯罗武器)	wp/two/bs_two013	wp/two/parts/op_two012
0	大剑	133	皇金大剑·水	7	组合模型 (凯罗武器)	wp/two/bs_two014	
0	大剑	134	皇金大剑·冰	7	组合模型 (凯罗武器)	wp/two/bs_two014	
0	大剑	135	皇金大剑·雷	7	组合模型 (凯罗武器)	wp/two/bs_two014	
0	大剑	136	防卫队炎刃型大剑1	0	组合模型	wp/two/bs_two001	
0	大剑	137	防卫队炎刃型大剑2	2	组合模型	wp/two/bs_two001	
0	大剑	138	防卫队炎刃型大剑3	4	组合模型	wp/two/bs_two001	
0	大剑	139	防卫队炎刃型大剑4	5	组合模型	wp/two/bs_two001	
0	大剑	140	防卫队炎刃型大剑5	6	组合模型	wp/two/bs_two001	
0	大剑	141	Unavailable	0	组合模型	wp/two/bs_two002	
0	大剑	142	Unavailable	0	组合模型	wp/two/bs_two002	
0	大剑	143	Unavailable	0	组合模型	wp/two/bs_two002	
0	大剑	144	Unavailable	0	组合模型	wp/two/bs_two002	
0	大剑	145	Unavailable	0	组合模型	wp/two/bs_two002	
0	大剑	146	Unavailable	0	组合模型	wp/two/bs_two002	
0	大剑	147	Unavailable	0	组合模型	wp/two/bs_two002	
0	大剑	148	Unavailable	0	组合模型	wp/two/bs_two002	
0	大剑	149	Unavailable	0	组合模型	wp/two/bs_two002	
0	大剑	150	铬钢死神镰刀1	8	组合模型	wp/two/bs_two010	
0	大剑	151	铬钢死神镰刀2	9	组合模型	wp/two/bs_two010	
0	大剑	152	铬钢死神镰刀3	10	组合模型	wp/two/bs_two010	
0	大剑	153	灭鬼凶器【断】	11	独立模型	wp/two/two014	
0	大剑	154	雷光惩罚者4	8	组合模型	wp/two/bs_two003	
0	大剑	155	迅雷断裂斧1	9	组合模型	wp/two/bs_two003	wp/two/parts/op_two022
0	大剑	156	迅雷断裂斧2	10	组合模型	wp/two/bs_two003	wp/two/parts/op_two022
0	大剑	157	狱界断罪斧	10	组合模型	wp/two/bs_two003	wp/two/parts/op_two023
0	大剑	158	霜炎3	8	组合模型	wp/two/bs_two001	
0	大剑	159	冰尖巨牙	9	独立模型	wp/two/two011	
0	大剑	160	冰尖巨牙·改	9	独立模型	wp/two/two011	
0	大剑	161	断海冰牙	10	独立模型	wp/two/two011	
0	大剑	162	贼龙兵器1	8	组合模型	wp/two/bs_two010	wp/two/parts/op_two003
0	大剑	163	贼龙兵器2	9	组合模型	wp/two/bs_two010	wp/two/parts/op_two003
0	大剑	164	巨牛大斧1	8	组合模型	wp/two/bs_two003	wp/two/parts/op_two020
0	大剑	165	巨牛大斧2	9	组合模型	wp/two/bs_two003	wp/two/parts/op_two020
0	大剑	166	Unavailable	0	组合模型	wp/two/bs_two002	
0	大剑	167	蛇神断头台1	8	组合模型	wp/two/bs_two003	wp/two/parts/op_two006
0	大剑	168	蛇神断头台2	9	组合模型	wp/two/bs_two003	wp/two/parts/op_two006
0	大剑	169	隐密之炎1	9	组合模型	wp/two/bs_two001	wp/two/parts/op_two017
0	大剑	170	隐密之炎2	9	组合模型	wp/two/bs_two001	wp/two/parts/op_two017
0	大剑	171	火碎剑1	9	组合模型	wp/two/bs_two002	wp/two/parts/op_two009
0	大剑	172	火碎剑2	9	组合模型	wp/two/bs_two002	wp/two/parts/op_two009
0	大剑	173	斩龙之炎1	9	组合模型	wp/two/bs_two001	wp/two/parts/op_two018
0	大剑	174	斩龙之炎2	9	组合模型	wp/two/bs_two001	wp/two/parts/op_two018
0	大剑	175	曼陀罗茁壮1	8	组合模型	wp/two/bs_two010	wp/two/parts/op_two002
0	大剑	176	曼陀罗茁壮2	9	组合模型	wp/two/bs_two010	wp/two/parts/op_two002
0	大剑	177	舄湖巨像1	8	组合模型	wp/two/bs_two004	wp/two/parts/op_two013
0	大剑	178	舄湖巨像2	9	组合模型	wp/two/bs_two004	wp/two/parts/op_two013
0	大剑	179	火龙煌剑·改	9	独立模型	wp/two/two008	
0	大剑	180	火龙煌炎剑	9	独立模型	wp/two/two008	
0	大剑	181	辉剑火龙	11	独立模型	wp/two/two019	
0	大剑	182	大鬼龙颚1	8	组合模型	wp/two/bs_two011	
0	大剑	183	大鬼龙颚2	9	组合模型	wp/two/bs_two011	
0	大剑	184	大鬼龙颚3	10	组合模型	wp/two/bs_two011	
0	大剑	185	严冰之翼	10	组合模型	wp/two/bs_two012	
0	大剑	186	冰翼灵羽	11	组合模型	wp/two/bs_two012	
0	大剑	187	轰龙大颚	9	独立模型	wp/two/two015	
0	大剑	188	轰龙大颚·改	9	独立模型	wp/two/two015	
0	大剑	189	轰大剑【王虎】	10	独立模型	wp/two/two015	
0	大剑	190	怪物的狂气	10	独立模型	wp/two/two013	
0	大剑	191	怨憎怪物	11	独立模型	wp/two/two013	
0	大剑	192	蛮颚大剑·改	8	独立模型	wp/two/two005	
0	大剑	193	兵器蛮炎大剑	9	独立模型	wp/two/two005	
0	大剑	194	兵器雷颚大剑	9	独立模型	wp/two/two012	
0	大剑	195	兵器雷颚大剑·改	9	独立模型	wp/two/two012	
0	大剑	196	兵器蛮雷大剑	10	独立模型	wp/two/two012	
0	大剑	197	激流巨像4	8	组合模型	wp/two/bs_two004	
0	大剑	198	Unavailable	0	组合模型	wp/two/bs_two002	
0	大剑	199	夜神剃刀1	8	组合模型	wp/two/bs_two002	wp/two/parts/op_two015
0	大剑	200	夜神剃刀2	9	组合模型	wp/two/bs_two002	wp/two/parts/op_two015
0	大剑	201	土砂龙巨汉1	8	组合模型	wp/two/bs_two004	wp/two/parts/op_two004
0	大剑	202	土砂龙巨汉2	9	组合模型	wp/two/bs_two004	wp/two/parts/op_two004
0	大剑	203	罪罚粉碎者1	9	组合模型	wp/two/bs_two006	wp/two/parts/op_two019
0	大剑	204	罪罚粉碎者2	10	组合模型	wp/two/bs_two006	wp/two/parts/op_two019
0	大剑	205	激骨锤削岩剑1	8	组合模型	wp/two/bs_two011	wp/two/parts/op_two007
0	大剑	206	激骨锤削岩剑2	9	组合模型	wp/two/bs_two011	wp/two/parts/op_two007
0	大剑	207	碎龙巨剑	9	独立模型	wp/two/two016	
0	大剑	208	爆大剑恶霸之刃	10	独立模型	wp/two/two016	
0	大剑	209	碎光之击剑	11	独立模型	wp/two/two022	
0	大剑	210	封龙大剑1	9	组合模型	wp/two/bs_two004	
0	大剑	211	封龙大剑2	10	组合模型	wp/two/bs_two004	
0	大剑	212	无相法身－不动－	11	独立模型	wp/two/two017	
0	大剑	213	岩浆卫士熔山剑	10	组合模型	wp/two/bs_two011	wp/two/parts/op_two012
0	大剑	214	召雷剑【麒麟帝】	10	独立模型	wp/two/two002	
0	大剑	215	钢龙寒冰大剑	10	独立模型	wp/two/two001	
0	大剑	216	冥灯龙大剑改	11	组合模型	wp/two/bs_two002	wp/two/parts/op_two010
0	大剑	217	龙颚剑【绝牙】	10	独立模型	wp/two/two007	
0	大剑	218	业剑暗黑暴食	11	独立模型	wp/two/two018	
0	大剑	219	爆热机关式【银翼】	11	独立模型	wp/two/two010	
0	大剑	220	鬼金棒	10	独立模型	wp/two/two020	
0	大剑	221	鬼神金棒【猿魔王】	11	独立模型	wp/two/two021	
0	大剑	222	煌黑之大剑	10	独立模型	wp/two/two024	
0	大剑	223	煌黑大剑龙击	11	独立模型	wp/two/two024	
0	大剑	224	魂焰刚剑·炎妃	11	组合模型	wp/two/bs_two009	
0	大剑	225	魂焰刚剑·灭尽	11	组合模型	wp/two/bs_two009	wp/two/parts/op_two005
0	大剑	226	魂焰刚剑·冥灯	11	组合模型	wp/two/bs_two009	wp/two/parts/op_two010
0	大剑	227	劫难之刃	10	独立模型	wp/two/two027	
0	大剑	228	吼大剑【荒咬】	11	独立模型	wp/two/two027	
0	大剑	229	冰鱼龙斩剑1	8	组合模型	wp/two/bs_two005	wp/two/parts/op_two014
0	大剑	230	冰鱼龙斩剑2	9	组合模型	wp/two/bs_two005	wp/two/parts/op_two014
0	大剑	231	冷冻旗鱼	8	独立模型	wp/two/two025	
0	大剑	232	冷冻剑鱼	9	独立模型	wp/two/two025	
0	大剑	233	公会宫殿大剑	9	独立模型	wp/two/two026	
0	大剑	234	大鬼金棒	11	独立模型	wp/two/two020	
0	大剑	235	瞬间冷冻剑鱼	10	独立模型	wp/two/two025	
0	大剑	236	狱界断罪斧改	11	组合模型	wp/two/bs_two003	wp/two/parts/op_two023
0	大剑	237	狂击巨凶	10	独立模型	wp/two/two028	
0	大剑	238	黑龙刃	10	独立模型	wp/two/two029	
0	大剑	239	黑龙玄刃	11	独立模型	wp/two/two029	
0	大剑	240	宫廷王剑【金星】	11	独立模型	wp/two/two026	
0	大剑	241	Unavailable	0	组合模型	wp/two/bs_two002	
0	大剑	242	Unavailable	0	组合模型	wp/two/bs_two002	
0	大剑	243	Unavailable	0	组合模型	wp/two/bs_two002	
0	大剑	244	赤龙断绝剑·火	11	独立模型 (冥赤武器)	wp/two/two023	
0	大剑	245	赤龙断绝剑·水	11	独立模型 (冥赤武器)	wp/two/two023	
0	大剑	246	赤龙断绝剑·冰	11	独立模型 (冥赤武器)	wp/two/two023	
0	大剑	247	赤龙断绝剑·雷	11	独立模型 (冥赤武器)	wp/two/two023	
0	大剑	248	赤龙断绝剑·龙	11	独立模型 (冥赤武器)	wp/two/two023	
0	大剑	249	赤龙断绝剑·毒	11	独立模型 (冥赤武器)	wp/two/two023	
0	大剑	250	赤龙断绝剑·麻痹	11	独立模型 (冥赤武器)	wp/two/two023	
0	大剑	251	赤龙断绝剑·睡眠	11	独立模型 (冥赤武器)	wp/two/two023	
0	大剑	252	赤龙断绝剑·爆破	11	独立模型 (冥赤武器)	wp/two/two023	
0	大剑	253	赤龙断绝剑·火	11	独立模型 (冥赤武器)	wp/two/two030	
0	大剑	254	赤龙断绝剑·水	11	独立模型 (冥赤武器)	wp/two/two030	
0	大剑	255	赤龙断绝剑·冰	11	独立模型 (冥赤武器)	wp/two/two030	
0	大剑	256	赤龙断绝剑·雷	11	独立模型 (冥赤武器)	wp/two/two030	
0	大剑	257	赤龙断绝剑·龙	11	独立模型 (冥赤武器)	wp/two/two030	
0	大剑	258	赤龙断绝剑·毒	11	独立模型 (冥赤武器)	wp/two/two030	
0	大剑	259	赤龙断绝剑·麻痹	11	独立模型 (冥赤武器)	wp/two/two030	
0	大剑	260	赤龙断绝剑·睡眠	11	独立模型 (冥赤武器)	wp/two/two030	
0	大剑	261	赤龙断绝剑·爆破	11	独立模型 (冥赤武器)	wp/two/two030	
0	大剑	262	金色的大剑·水	9	组合模型 (凯罗武器)	wp/two/bs_two007	
0	大剑	263	金色的大剑·冰	9	组合模型 (凯罗武器)	wp/two/bs_two007	
0	大剑	264	金色的大剑·睡眠	9	组合模型 (凯罗武器)	wp/two/bs_two007	
0	大剑	265	金色的大剑·贼	9	组合模型 (凯罗武器)	wp/two/bs_two007	wp/two/parts/op_two003
0	大剑	266	金色的大剑·毒妖	9	组合模型 (凯罗武器)	wp/two/bs_two007	wp/two/parts/op_two002
0	大剑	267	金色的大剑·土砂	9	组合模型 (凯罗武器)	wp/two/bs_two007	wp/two/parts/op_two004
0	大剑	268	金色的大剑·痹贼	9	组合模型 (凯罗武器)	wp/two/bs_two007	wp/two/parts/op_two006
0	大剑	269	金色的大剑·骨锤	9	组合模型 (凯罗武器)	wp/two/bs_two007	wp/two/parts/op_two007
0	大剑	270	金色的大剑·尸套	9	组合模型 (凯罗武器)	wp/two/bs_two007	wp/two/parts/op_two008
0	大剑	271	金色的大剑·王	9	组合模型 (凯罗武器)	wp/two/bs_two007	wp/two/parts/op_two001
0	大剑	272	金色的大剑·熔岩	9	组合模型 (凯罗武器)	wp/two/bs_two007	wp/two/parts/op_two009
0	大剑	273	金色的大剑·熔山	9	组合模型 (凯罗武器)	wp/two/bs_two007	wp/two/parts/op_two012
0	大剑	274	铠罗炎·贼	10	组合模型 (凯罗武器)	wp/two/bs_two008	wp/two/parts/op_two003
0	大剑	275	铠罗炎·毒妖	10	组合模型 (凯罗武器)	wp/two/bs_two008	wp/two/parts/op_two002
0	大剑	276	铠罗炎·土砂	10	组合模型 (凯罗武器)	wp/two/bs_two008	wp/two/parts/op_two004
0	大剑	277	铠罗炎·痹贼	10	组合模型 (凯罗武器)	wp/two/bs_two008	wp/two/parts/op_two006
0	大剑	278	铠罗炎·骨锤	10	组合模型 (凯罗武器)	wp/two/bs_two008	wp/two/parts/op_two007
0	大剑	279	铠罗炎·尸套	10	组合模型 (凯罗武器)	wp/two/bs_two008	wp/two/parts/op_two008
0	大剑	280	铠罗炎·王	10	组合模型 (凯罗武器)	wp/two/bs_two008	wp/two/parts/op_two001
0	大剑	281	铠罗炎·熔岩	10	组合模型 (凯罗武器)	wp/two/bs_two008	wp/two/parts/op_two009
0	大剑	282	铠罗炎·熔山	10	组合模型 (凯罗武器)	wp/two/bs_two008	wp/two/parts/op_two012
0	大剑	283	铠罗炎·水	11	组合模型 (凯罗武器)	wp/two/bs_two008	
0	大剑	284	铠罗炎·冰	11	组合模型 (凯罗武器)	wp/two/bs_two008	
0	大剑	285	铠罗炎·睡眠	11	组合模型 (凯罗武器)	wp/two/bs_two008	
0	大剑	286	铠罗炎·雷	11	组合模型 (凯罗武器)	wp/two/bs_two008	
0	大剑	287	皇金大剑·痹贼	11	组合模型 (凯罗武器)	wp/two/bs_two013	wp/two/parts/op_two006
0	大剑	288	皇金大剑·尸套	11	组合模型 (凯罗武器)	wp/two/bs_two013	wp/two/parts/op_two008
0	大剑	289	皇金大剑·王	11	组合模型 (凯罗武器)	wp/two/bs_two013	wp/two/parts/op_two001
0	大剑	290	皇金大剑·熔山	11	组合模型 (凯罗武器)	wp/two/bs_two013	wp/two/parts/op_two012
0	大剑	291	皇金大剑·水	11	组合模型 (凯罗武器)	wp/two/bs_two014	
0	大剑	292	皇金大剑·冰	11	组合模型 (凯罗武器)	wp/two/bs_two014	
0	大剑	293	皇金大剑·雷	11	组合模型 (凯罗武器)	wp/two/bs_two014	
0	大剑	294	Unavailable	0	组合模型	wp/two/bs_two002	
0	大剑	295	Unavailable	0	组合模型	wp/two/bs_two002	
0	大剑	296	Unavailable	0	组合模型	wp/two/bs_two002	
0	大剑	297	Unavailable	0	组合模型	wp/two/bs_two002	
0	大剑	298	Unavailable	0	组合模型	wp/two/bs_two002	
0	大剑	299	Unavailable	0	组合模型	wp/two/bs_two002	
0	大剑	300	Unavailable	0	组合模型	wp/two/bs_two002	
0	大剑	301	Unavailable	0	组合模型	wp/two/bs_two002	
0	大剑	302	Unavailable	0	组合模型	wp/two/bs_two002	
0	大剑	303	Unavailable	0	组合模型	wp/two/bs_two002	
0	大剑	304	Unavailable	0	组合模型	wp/two/bs_two002	
0	大剑	305	Unavailable	0	组合模型	wp/two/bs_two002	
0	大剑	306	Unavailable	0	组合模型	wp/two/bs_two002	
0	大剑	307	Unavailable	0	组合模型	wp/two/bs_two002	
0	大剑	308	Unavailable	0	组合模型	wp/two/bs_two002	
0	大剑	309	Unavailable	0	组合模型	wp/two/bs_two002	
0	大剑	310	Unavailable	0	组合模型	wp/two/bs_two002	
0	大剑	311	Unavailable	0	组合模型	wp/two/bs_two002	
0	大剑	312	Unavailable	0	组合模型	wp/two/bs_two002	
0	大剑	313	Unavailable	0	组合模型	wp/two/bs_two002	
0	大剑	314	Unavailable	0	组合模型	wp/two/bs_two002	
0	大剑	315	Unavailable	0	组合模型	wp/two/bs_two002	
0	大剑	316	Unavailable	0	组合模型	wp/two/bs_two002	
0	大剑	317	Unavailable	0	组合模型	wp/two/bs_two002	
0	大剑	318	Unavailable	0	组合模型	wp/two/bs_two002	
0	大剑	319	Unavailable	0	组合模型	wp/two/bs_two002	
0	大剑	320	Unavailable	0	组合模型	wp/two/bs_two002	
1	片手剑	0	Unavailable	0	组合模型	wp/one/bs_one001	
1	片手剑	1	Unavailable	0	组合模型	wp/one/bs_one001	
1	片手剑	2	Unavailable	0	组合模型	wp/one/bs_one001	
1	片手剑	3	Unavailable	0	组合模型	wp/one/bs_one001	
1	片手剑	4	Unavailable	0	组合模型	wp/one/bs_one001	
1	片手剑	5	Unavailable	0	组合模型	wp/one/bs_one001	
1	片手剑	6	Unavailable	0	组合模型	wp/one/bs_one001	
1	片手剑	7	Unavailable	0	组合模型	wp/one/bs_one001	
