武器类型ID	武器类型	武器ID	武器名称	稀有度	模型类型	主模型地址	附件模型地址
0	大剑	119	铠罗炎·熔岩	4	组合模型	wp/two/two005	wp/two/parts/op_two012
0	大剑	120	铠罗炎·熔山	6	组合模型	wp/two/two005	wp/two/parts/op_two012
0	大剑	122	铠罗炎·冰	3	独立模型	wp/two/two002	
0	大剑	124	皇后冠	6	独立模型	wp/two/two002	
0	大剑	125	皇后冠·炎妃	7	独立模型	wp/two/two002	
0	大剑	126	皇后冠·灭尽	4	组合模型	wp/two/two002	
0	大剑	128	铠罗炎·雷	5	组合模型	wp/two/two002	
0	大剑	129	皇金大剑·痹贼	6	独立模型	wp/two/two001	
0	大剑	131	皇金大剑·王	7	独立模型	wp/two/two001	
0	大剑	132	皇金大剑·熔山	7	组合模型	wp/two/two002	wp/two/parts/op_two010
0	大剑	134	皇金大剑·冰	5	独立模型	wp/two/two007	
0	大剑	136	防卫队炎刃型大剑1	7	独立模型	wp/two/two007	
0	大剑	137	防卫队炎刃型大剑2	5	独立模型	wp/two/two009	
0	大剑	139	防卫队炎刃型大剑4	6	独立模型	wp/two/two009	
0	大剑	140	防卫队炎刃型大剑5	3	独立模型	wp/two/two010	
0	大剑	142	Unavailable	6	独立模型	wp/two/two010	
0	大剑	143	Unavailable	5	组合模型 (凯罗武器)	wp/two/bs_two007	
0	大剑	145	Unavailable	5	组合模型 (凯罗武器)	wp/two/bs_two007	
0	大剑	146	Unavailable	5	组合模型 (凯罗武器)	wp/two/bs_two007	
0	大剑	147	Unavailable	5	组合模型 (凯罗武器)	wp/two/bs_two007	wp/two/parts/op_two003
0	大剑	149	Unavailable	5	组合模型 (凯罗武器)	wp/two/bs_two007	wp/two/parts/op_two002
0	大剑	150	铬钢死神镰刀1	5	组合模型 (凯罗武器)	wp/two/bs_two007	wp/two/parts/op_two004
0	大剑	151	铬钢死神镰刀2	5	组合模型 (凯罗武器)	wp/two/bs_two007	wp/two/parts/op_two006
0	大剑	152	铬钢死神镰刀3	5	组合模型 (凯罗武器)	wp/two/bs_two007	wp/two/parts/op_two007
0	大剑	153	灭鬼凶器【断】	5	组合模型 (凯罗武器)	wp/two/bs_two007	wp/two/parts/op_two008
0	大剑	154	雷光惩罚者4	5	组合模型 (凯罗武器)	wp/two/bs_two007	wp/two/parts/op_two001
0	大剑	155	迅雷断裂斧1	5	组合模型 (凯罗武器)	wp/two/bs_two007	wp/two/parts/op_two009
0	大剑	156	迅雷断裂斧2	5	组合模型 (凯罗武器)	wp/two/bs_two007	wp/two/parts/op_two012
0	大剑	157	狱界断罪斧	6	组合模型 (凯罗武器)	wp/two/bs_two008	wp/two/parts/op_two003
0	大剑	159	冰尖巨牙	6	组合模型 (凯罗武器)	wp/two/bs_two008	wp/two/parts/op_two002
0	大剑	160	冰尖巨牙·改	6	组合模型 (凯罗武器)	wp/two/bs_two008	wp/two/parts/op_two004
0	大剑	161	断海冰牙	6	组合模型 (凯罗武器)	wp/two/bs_two008	wp/two/parts/op_two006
0	大剑	162	贼龙兵器1	6	组合模型 (凯罗武器)	wp/two/bs_two008	wp/two/parts/op_two007
0	大剑	163	贼龙兵器2	6	组合模型 (凯罗武器)	wp/two/bs_two008	wp/two/parts/op_two008
0	大剑	164	巨牛大斧1	6	组合模型 (凯罗武器)	wp/two/bs_two008	wp/two/parts/op_two001
0	大剑	165	巨牛大斧2	6	组合模型 (凯罗武器)	wp/two/bs_two008	wp/two/parts/op_two009
0	大剑	166	Unavailable	6	组合模型 (凯罗武器)	wp/two/bs_two008	wp/two/parts/op_two012
0	大剑	167	蛇神断头台1	7	组合模型 (凯罗武器)	wp/two/bs_two008	
0	大剑	169	隐密之炎1	7	组合模型 (凯罗武器)	wp/two/bs_two008	
0	大剑	170	隐密之炎2	7	组合模型 (凯罗武器)	wp/two/bs_two008	
0	大剑	171	火碎剑1	6	组合模型	wp/two/two009	
0	大剑	173	斩龙之炎1	7	组合模型	wp/two/two009	
0	大剑	175	曼陀罗茁壮1	7	组合模型	wp/two/two009	wp/two/parts/op_two005
0	大剑	177	舄湖巨像1	7	组合模型	wp/two/two009	wp/two/parts/op_two010
0	大剑	179	火龙煌剑·改	7	组合模型 (凯罗武器)	wp/two/bs_two008	
0	大剑	180	火龙煌炎剑	7	组合模型 (凯罗武器)	wp/two/bs_two013	wp/two/parts/op_two006
0	大剑	182	大鬼龙颚1	7	组合模型 (凯罗武器)	wp/two/bs_two013	wp/two/parts/op_two008
0	大剑	183	大鬼龙颚2	7	组合模型 (凯罗武器)	wp/two/bs_two013	wp/two/parts/op_two001
0	大剑	184	大鬼龙颚3	7	组合模型 (凯罗武器)	wp/two/bs_two013	wp/two/parts/op_two012
0	大剑	185	严冰之翼	7	组合模型 (凯罗武器)	wp/two/bs_two014	
0	大剑	186	冰翼灵羽	7	组合模型 (凯罗武器)	wp/two/bs_two014	
0	大剑	187	轰龙大颚	7	组合模型 (凯罗武器)	wp/two/bs_two014	
0	大剑	188	轰龙大颚·改	0	组合模型	wp/two/two001	
0	大剑	190	怪物的狂气	2	组合模型	wp/two/two001	
0	大剑	191	怨憎怪物	4	组合模型	wp/two/two001	
0	大剑	192	蛮颚大剑·改	5	组合模型	wp/two/two001	
0	大剑	193	兵器蛮炎大剑	6	组合模型	wp/two/two001	
0	大剑	0	Unavailable	0	组合模型	wp/two/two002	
0	大剑	0	Unavailable	0	组合模型	wp/two/two002	
0	大剑	0	Unavailable	0	组合模型	wp/two/two002	
0	大剑	0	Unavailable	0	组合模型	wp/two/two002	
0	大剑	0	Unavailable	0	组合模型	wp/two/two002	
0	大剑	0	Unavailable	0	组合模型	wp/two/two002	
0	大剑	0	Unavailable	0	组合模型	wp/two/two002	
0	大剑	0	Unavailable	0	组合模型	wp/two/two002	
0	大剑	0	Unavailable	0	组合模型	wp/two/two002	
0	大剑	212	无相法身－不动－	8	组合模型	wp/two/two010	
0	大剑	214	召雷剑【麒麟帝】	9	组合模型	wp/two/two010	
0	大剑	215	钢龙寒冰大剑	10	组合模型	wp/two/two010	
0	大剑	216	冥灯龙大剑改	11	独立模型	wp/two/two014	
0	大剑	218	业剑暗黑暴食	8	组合模型	wp/two/two003	
0	大剑	219	爆热机关式【银翼】	9	组合模型	wp/two/two003	wp/two/parts/op_two022
0	大剑	221	鬼神金棒【猿魔王】	10	组合模型	wp/two/two003	wp/two/parts/op_two022
0	大剑	222	Unavailable	10	组合模型	wp/two/two003	wp/two/parts/op_two023
0	大剑	224	魂焰刚剑·炎妃	8	组合模型	wp/two/two001	
0	大剑	225	魂焰刚剑·灭尽	9	独立模型	wp/two/two011	
0	大剑	227	劫难之刃	9	独立模型	wp/two/two011	
0	大剑	228	吼大剑【荒咬】	10	独立模型	wp/two/two011	
0	大剑	229	冰鱼龙斩剑1	8	组合模型	wp/two/two010	wp/two/parts/op_two003
0	大剑	231	冷冻旗鱼	9	组合模型	wp/two/two010	wp/two/parts/op_two003
0	大剑	232	冷冻剑鱼	8	组合模型	wp/two/two003	wp/two/parts/op_two020
0	大剑	234	大鬼金棒	9	组合模型	wp/two/two003	wp/two/parts/op_two020
0	大剑	0	Unavailable	0	组合模型	wp/two/two002	
0	大剑	237	Unavailable	8	组合模型	wp/two/two003	wp/two/parts/op_two006
0	大剑	239	Unavailable	9	组合模型	wp/two/two003	wp/two/parts/op_two006
0	大剑	240	宫廷王剑【金星】	9	组合模型	wp/two/two001	wp/two/parts/op_two017
0	大剑	242	Unavailable	9	组合模型	wp/two/two001	wp/two/parts/op_two017
0	大剑	243	Unavailable	9	组合模型	wp/two/two002	wp/two/parts/op_two009
0	大剑	245	赤龙断绝剑·水	9	组合模型	wp/two/two002	wp/two/parts/op_two009
0	大剑	246	赤龙断绝剑·冰	9	组合模型	wp/two/two001	wp/two/parts/op_two018
0	大剑	248	赤龙断绝剑·龙	9	组合模型	wp/two/two001	wp/two/parts/op_two018
0	大剑	249	赤龙断绝剑·毒	8	组合模型	wp/two/two010	wp/two/parts/op_two002
0	大剑	251	赤龙断绝剑·睡眠	9	组合模型	wp/two/two010	wp/two/parts/op_two002
0	大剑	252	赤龙断绝剑·爆破	8	组合模型	wp/two/two004	wp/two/parts/op_two013
0	大剑	254	赤龙断绝剑·水	9	组合模型	wp/two/two004	wp/two/parts/op_two013
0	大剑	255	赤龙断绝剑·冰	9	独立模型	wp/two/two008	
0	大剑	256	赤龙断绝剑·雷	9	独立模型	wp/two/two008	
0	大剑	257	赤龙断绝剑·龙	11	独立模型	wp/two/two019	
0	大剑	259	赤龙断绝剑·麻痹	8	组合模型	wp/two/two011	
0	大剑	261	赤龙断绝剑·爆破	9	组合模型	wp/two/two011	
0	大剑	262	金色的大剑·水	10	组合模型	wp/two/two011	
0	大剑	263	金色的大剑·冰	10	组合模型	wp/two/two012	
0	大剑	265	金色的大剑·贼	11	组合模型	wp/two/two012	
0	大剑	266	金色的大剑·毒妖	9	独立模型	wp/two/two015	
0	大剑	268	金色的大剑·痹贼	9	独立模型	wp/two/two015	
0	大剑	269	金色的大剑·骨锤	10	独立模型	wp/two/two015	
0	大剑	270	金色的大剑·尸套	10	独立模型	wp/two/two013	
0	大剑	272	金色的大剑·熔岩	11	独立模型	wp/two/two013	
0	大剑	273	金色的大剑·熔山	8	独立模型	wp/two/two005	
0	大剑	274	铠罗炎·贼	9	独立模型	wp/two/two005	
0	大剑	275	铠罗炎·毒妖	9	独立模型	wp/two/two012	
0	大剑	277	铠罗炎·痹贼	9	独立模型	wp/two/two012	
0	大剑	278	铠罗炎·骨锤	10	独立模型	wp/two/two012	
0	大剑	279	铠罗炎·尸套	8	组合模型	wp/two/two004	
0	大剑	0	Unavailable	0	组合模型	wp/two/two002	
0	大剑	282	铠罗炎·熔山	8	组合模型	wp/two/two002	wp/two/parts/op_two015
0	大剑	284	铠罗炎·冰	9	组合模型	wp/two/two002	wp/two/parts/op_two015
0	大剑	285	铠罗炎·睡眠	8	组合模型	wp/two/two004	wp/two/parts/op_two004
0	大剑	287	皇金大剑·痹贼	9	组合模型	wp/two/two004	wp/two/parts/op_two004
0	大剑	288	皇金大剑·尸套	9	组合模型	wp/two/two006	wp/two/parts/op_two019
0	大剑	290	皇金大剑·熔山	10	组合模型	wp/two/two006	wp/two/parts/op_two019
0	大剑	291	皇金大剑·水	8	组合模型	wp/two/two011	wp/two/parts/op_two007
0	大剑	293	皇金大剑·雷	9	组合模型	wp/two/two011	wp/two/parts/op_two007
0	大剑	294	Unavailable	9	独立模型	wp/two/two016	
0	大剑	296	Unavailable	10	独立模型	wp/two/two016	
0	大剑	297	Unavailable	11	独立模型	wp/two/two022	
0	大剑	299	Unavailable	9	组合模型	wp/two/two004	
0	大剑	301	Unavailable	10	组合模型	wp/two/two004	
0	大剑	302	Unavailable	11	独立模型	wp/two/two017	
0	大剑	304	Unavailable	10	组合模型	wp/two/two011	wp/two/parts/op_two012
0	大剑	306	Unavailable	10	独立模型	wp/two/two002	
0	大剑	307	Unavailable	10	独立模型	wp/two/two001	
0	大剑	308	Unavailable	11	组合模型	wp/two/two002	wp/two/parts/op_two010
0	大剑	309	Unavailable	10	独立模型	wp/two/two007	
0	大剑	310	Unavailable	11	独立模型	wp/two/two018	
0	大剑	312	Unavailable	11	独立模型	wp/two/two010	
0	大剑	314	Unavailable	10	独立模型	wp/two/two020	
0	大剑	316	Unavailable	11	独立模型	wp/two/two021	
0	大剑	0	Unavailable	0	组合模型	wp/two/two002	
0	大剑	0	Unavailable	0	组合模型	wp/two/two002	
0	大剑	321	Unavailable	11	组合模型	wp/two/two009	
0	大剑	322	Unavailable	11	组合模型	wp/two/two009	wp/two/parts/op_two005
0	大剑	323	Unavailable	11	组合模型	wp/two/two009	wp/two/parts/op_two010
0	大剑	324	Unavailable	10	独立模型	wp/two/two027	
0	大剑	326	Unavailable	11	独立模型	wp/two/two027	
0	大剑	327	Unavailable	8	组合模型	wp/two/two005	wp/two/parts/op_two014
0	大剑	329	Unavailable	9	组合模型	wp/two/two005	wp/two/parts/op_two014
0	大剑	330	Unavailable	8	独立模型	wp/two/two025	
0	大剑	332	Unavailable	9	独立模型	wp/two/two025	
0	大剑	333	Unavailable	9	独立模型	wp/two/two026	
0	大剑	335	Unavailable	11	独立模型	wp/two/two020	
0	大剑	336	Unavailable	10	独立模型	wp/two/two025	
0	大剑	337	Unavailable	11	组合模型	wp/two/two003	wp/two/parts/op_two023
0	大剑	0	Unavailable	0	组合模型	wp/two/two002	
0	大剑	0	Unavailable	0	组合模型	wp/two/two002	
0	大剑	0	Unavailable	0	组合模型	wp/two/two002	
0	大剑	343	Unavailable	11	独立模型	wp/two/two026	
0	大剑	0	Unavailable	0	组合模型	wp/two/two002	
0	大剑	0	Unavailable	0	组合模型	wp/two/two002	
0	大剑	0	Unavailable	0	组合模型	wp/two/two002	
0	大剑	350	Unavailable	11	独立模型 (冥赤武器)	wp/two/two023	
0	大剑	352	Unavailable	11	独立模型 (冥赤武器)	wp/two/two023	
0	大剑	353	Unavailable	11	独立模型 (冥赤武器)	wp/two/two023	
0	大剑	354	Unavailable	11	独立模型 (冥赤武器)	wp/two/two023	
0	大剑	355	Unavailable	11	独立模型 (冥赤武器)	wp/two/two023	
0	大剑	356	Unavailable	11	独立模型 (冥赤武器)	wp/two/two023	
0	大剑	357	Unavailable	11	独立模型 (冥赤武器)	wp/two/two023	
0	大剑	358	Unavailable	11	独立模型 (冥赤武器)	wp/two/two023	
0	大剑	359	Unavailable	11	独立模型 (冥赤武器)	wp/two/two023	
0	大剑	350	Unavailable	11	独立模型 (冥赤武器)	wp/two/two030	
0	大剑	352	Unavailable	11	独立模型 (冥赤武器)	wp/two/two030	
0	大剑	353	Unavailable	11	独立模型 (冥赤武器)	wp/two/two030	
0	大剑	354	Unavailable	11	独立模型 (冥赤武器)	wp/two/two030	
0	大剑	355	Unavailable	11	独立模型 (冥赤武器)	wp/two/two030	
0	大剑	356	Unavailable	11	独立模型 (冥赤武器)	wp/two/two030	
0	大剑	357	Unavailable	11	独立模型 (冥赤武器)	wp/two/two030	
0	大剑	358	Unavailable	11	独立模型 (冥赤武器)	wp/two/two030	
0	大剑	359	Unavailable	11	独立模型 (冥赤武器)	wp/two/two030	
0	大剑	143	Unavailable	9	组合模型 (凯罗武器)	wp/two/bs_two007	
0	大剑	145	Unavailable	9	组合模型 (凯罗武器)	wp/two/bs_two007	
0	大剑	146	Unavailable	9	组合模型 (凯罗武器)	wp/two/bs_two007	
0	大剑	147	Unavailable	9	组合模型 (凯罗武器)	wp/two/bs_two007	wp/two/parts/op_two003
0	大剑	149	Unavailable	9	组合模型 (凯罗武器)	wp/two/bs_two007	wp/two/parts/op_two002
0	大剑	150	铬钢死神镰刀1	9	组合模型 (凯罗武器)	wp/two/bs_two007	wp/two/parts/op_two004
0	大剑	151	铬钢死神镰刀2	9	组合模型 (凯罗武器)	wp/two/bs_two007	wp/two/parts/op_two006
0	大剑	152	铬钢死神镰刀3	9	组合模型 (凯罗武器)	wp/two/bs_two007	wp/two/parts/op_two007
0	大剑	153	灭鬼凶器【断】	9	组合模型 (凯罗武器)	wp/two/bs_two007	wp/two/parts/op_two008
0	大剑	154	雷光惩罚者4	9	组合模型 (凯罗武器)	wp/two/bs_two007	wp/two/parts/op_two001
0	大剑	155	迅雷断裂斧1	9	组合模型 (凯罗武器)	wp/two/bs_two007	wp/two/parts/op_two009
0	大剑	156	迅雷断裂斧2	9	组合模型 (凯罗武器)	wp/two/bs_two007	wp/two/parts/op_two012
0	大剑	157	狱界断罪斧	10	组合模型 (凯罗武器)	wp/two/bs_two008	wp/two/parts/op_two003
0	大剑	159	冰尖巨牙	10	组合模型 (凯罗武器)	wp/two/bs_two008	wp/two/parts/op_two002
0	大剑	160	冰尖巨牙·改	10	组合模型 (凯罗武器)	wp/two/bs_two008	wp/two/parts/op_two004
0	大剑	161	断海冰牙	10	组合模型 (凯罗武器)	wp/two/bs_two008	wp/two/parts/op_two006
0	大剑	162	贼龙兵器1	10	组合模型 (凯罗武器)	wp/two/bs_two008	wp/two/parts/op_two007
0	大剑	163	贼龙兵器2	10	组合模型 (凯罗武器)	wp/two/bs_two008	wp/two/parts/op_two008
0	大剑	164	巨牛大斧1	10	组合模型 (凯罗武器)	wp/two/bs_two008	wp/two/parts/op_two001
0	大剑	165	巨牛大斧2	10	组合模型 (凯罗武器)	wp/two/bs_two008	wp/two/parts/op_two009
0	大剑	166	Unavailable	10	组合模型 (凯罗武器)	wp/two/bs_two008	wp/two/parts/op_two012
0	大剑	167	蛇神断头台1	11	组合模型 (凯罗武器)	wp/two/bs_two008	
0	大剑	169	隐密之炎1	11	组合模型 (凯罗武器)	wp/two/bs_two008	
0	大剑	170	隐密之炎2	11	组合模型 (凯罗武器)	wp/two/bs_two008	
0	大剑	179	火龙煌剑·改	11	组合模型 (凯罗武器)	wp/two/bs_two008	
0	大剑	180	火龙煌炎剑	11	组合模型 (凯罗武器)	wp/two/bs_two013	wp/two/parts/op_two006
0	大剑	182	大鬼龙颚1	11	组合模型 (凯罗武器)	wp/two/bs_two013	wp/two/parts/op_two008
0	大剑	183	大鬼龙颚2	11	组合模型 (凯罗武器)	wp/two/bs_two013	wp/two/parts/op_two001
0	大剑	184	大鬼龙颚3	11	组合模型 (凯罗武器)	wp/two/bs_two013	wp/two/parts/op_two012
0	大剑	185	严冰之翼	11	组合模型 (凯罗武器)	wp/two/bs_two014	
0	大剑	186	冰翼灵羽	11	组合模型 (凯罗武器)	wp/two/bs_two014	
0	大剑	187	轰龙大颚	11	组合模型 (凯罗武器)	wp/two/bs_two014	
0	大剑	0	Unavailable	0	组合模型	wp/two/two002	
0	大剑	0	Unavailable	0	组合模型	wp/two/two002	
0	大剑	0	Unavailable	0	组合模型	wp/two/two002	
0	大剑	0	Unavailable	0	组合模型	wp/two/two002	
0	大剑	0	Unavailable	0	组合模型	wp/two/two002	
0	大剑	0	Unavailable	0	组合模型	wp/two/two002	
0	大剑	0	Unavailable	0	组合模型	wp/two/two002	
0	大剑	0	Unavailable	0	组合模型	wp/two/two002	
0	大剑	0	Unavailable	0	组合模型	wp/two/two002	
0	大剑	0	Unavailable	0	组合模型	wp/two/two002	
0	大剑	0	Unavailable	0	组合模型	wp/two/two002	
0	大剑	0	Unavailable	0	组合模型	wp/two/two002	
0	大剑	0	Unavailable	0	组合模型	wp/two/two002	
0	大剑	0	Unavailable	0	组合模型	wp/two/two002	
0	大剑	0	Unavailable	0	组合模型	wp/two/two002	
0	大剑	0	Unavailable	0	组合模型	wp/two/two002	
0	大剑	0	Unavailable	0	组合模型	wp/two/two002	
0	大剑	0	Unavailable	0	组合模型	wp/two/two002	
0	大剑	0	Unavailable	0	组合模型	wp/two/two002	
0	大剑	0	Unavailable	0	组合模型	wp/two/two002	
0	大剑	0	Unavailable	0	组合模型	wp/two/two002	
0	大剑	0	Unavailable	0	组合模型	wp/two/two002	
0	大剑	0	Unavailable	0	组合模型	wp/two/two002	
0	大剑	0	Unavailable	0	组合模型	wp/two/two002	
0	大剑	0	Unavailable	0	组合模型	wp/two/two002	
0	大剑	0	Unavailable	0	组合模型	wp/two/two002	
0	大剑	0	Unavailable	0	组合模型	wp/two/two002	
1	片手剑	0	Unavailable	0	组合模型	wp/one/one001	
1	片手剑	0	Unavailable	0	组合模型	wp/one/one001	
1	片手剑	0	Unavailable	0	组合模型	wp/one/one001	
1	片手剑	0	Unavailable	0	组合模型	wp/one/one001	
1	片手剑	0	Unavailable	0	组合模型	wp/one/one001	
1	片手剑	0	Unavailable	0	组合模型	wp/one/one001	
1	片手剑	0	Unavailable	0	组合模型	wp/one/one001	
1	片手剑	0	Unavailable	0	组合模型	wp/one/one001	
1	片手剑	13	钢铁匕首1	0	组合模型	wp/one/one001	
1	片手剑	15	钢铁匕首3	0	组合模型	wp/one/one001	
1	片手剑	16	铬钢切刀1	1	组合模型	wp/one/one001	
1	片手剑	17	铬钢切刀2	2	组合模型	wp/one/one001	
1	片手剑	19	歼灭之尖兵	3	组合模型	wp/one/one001	
1	片手剑	20	火炎匕首1	4	组合模型	wp/one/one001	
1	片手剑	21	火炎匕首2	5	组合模型	wp/one/one001	
1	片手剑	23	日冕短剑	5	组合模型	wp/one/one001	
1	片手剑	24	Unavailable	6	组合模型	wp/one/one003	wp/one/parts/op_one005
1	片手剑	26	水流小刀2	7	独立模型	wp/one/one004	
1	片手剑	28	汹涌奔流1	3	组合模型	wp/one/one001	wp/one/parts/op_one009
1	片手剑	30	汹涌奔流3	4	组合模型	wp/one/one001	wp/one/parts/op_one009
1	片手剑	31	公主刺剑	5	独立模型	wp/one/one002	
1	片手剑	33	女王蔷薇	6	独立模型	wp/one/one002	
1	片手剑	34	皇家蔷薇	3	独立模型	wp/one/one007	
1	片手剑	35	鲜花匕首1	5	独立模型	wp/one/one007	
1	片手剑	37	鲜花匕首3	6	独立模型	wp/one/one007	
1	片手剑	38	盛开曼陀罗1	1	组合模型	wp/one/one001	
1	片手剑	40	盛开曼陀罗3	2	组合模型	wp/one/one001	
1	片手剑	41	浮空龙匕首1	3	组合模型	wp/one/one001	
1	片手剑	42	浮空龙匕首2	4	组合模型	wp/one/one002	
1	片手剑	44	浮空龙战斧2	5	组合模型	wp/one/one002	
1	片手剑	45	浮空龙战斧3	5	组合模型	wp/one/one002	
1	片手剑	46	骨制曲刀1	3	组合模型	wp/one/one001	wp/one/parts/op_one007
