任务ID	任务名称	任务目标	任务失败条件
00431	特殊斗技场：蛮颚龙篇	狩猎蛮颚龙	·限制时间结束·3次力尽倒下
00432	特殊斗技场：雌火龙篇	狩猎雌火龙	·限制时间结束·3次力尽倒下
00433	特殊斗技场：浮空龙篇	狩猎浮空龙	·限制时间结束·3次力尽倒下
00434	特殊斗技场：骨锤龙篇	狩猎骨锤龙	·限制时间结束·3次力尽倒下
00451	与蛮勇之牙对峙	狩猎蛮颚龙	·限制时间结束·3次力尽倒下
00452	我是森林的搬运工	交纳飞龙的蛋2个	·限制时间结束·3次力尽倒下
00461	女王在荒地中燃烧	狩猎雌火龙	·限制时间结束·3次力尽倒下
00471	缠绕黑暗的红光	讨伐11头猫蜥龙	·限制时间结束·3次力尽倒下
00472	来自薄暗的眩鸟	狩猎眩鸟	·限制时间结束·3次力尽倒下
00473	轻盈飘浮的浮空龙	狩猎浮空龙	·限制时间结束·3次力尽倒下
00474	陆之贝是否梦想深海之梦？	交纳特产藤壶鲍鱼10个	·限制时间结束·3次力尽倒下
00475	捕获：浮空龙的生态调查	捕获浮空龙	·限制时间结束·3次力尽倒下·讨伐浮空龙
00481	怒涛的巨甲虫祭	讨伐巨甲虫14只	·限制时间结束·3次力尽倒下
00482	大痹贼龙是麻痹的香气	狩猎大痹贼龙	·限制时间结束·3次力尽倒下
00483	骨战车前往山谷	狩猎骨锤龙	·限制时间结束·3次力尽倒下
00484	展翅的恶梦	讨伐5头芳翼龙	·限制时间结束·3次力尽倒下
00501	深入谷底	完成任务	·限制时间结束·3次力尽倒下
00502	火龙为森林之顶	狩猎火龙	·限制时间结束·3次力尽倒下
00503	角龙为沙地之底	狩猎角龙	·限制时间结束·3次力尽倒下
00504	熔山龙诱导作战	完成任务	·限制时间结束·3次力尽倒下·诱导失败
00531	特殊斗技场：风漂龙篇	狩猎风漂龙	·限制时间结束·3次力尽倒下
00532	特殊斗技场：惨爪龙篇	狩猎惨爪龙	·限制时间结束·3次力尽倒下
00533	特殊斗技场：火龙篇	狩猎火龙	·限制时间结束·3次力尽倒下
00534	特殊斗技场：角龙篇	狩猎角龙	·限制时间结束·3次力尽倒下
00551	王在顶点沉睡	狩猎火龙	·限制时间结束·3次力尽倒下
00552	最强、最恐、最棒夫妻！	狩猎所有目标	·限制时间结束·3次力尽倒下
00561	沙上的双角	狩猎角龙	·限制时间结束·3次力尽倒下
00571	冰结奏鸣曲	狩猎风漂龙	·限制时间结束·3次力尽倒下
00572	苍白之蹄的旋律	讨伐麒麟	·限制时间结束·3次力尽倒下
00581	残忍凶爪	狩猎惨爪龙	·限制时间结束·3次力尽倒下
00582	捕获：惨爪龙的生态调查	捕获惨爪龙	·限制时间结束·3次力尽倒下·讨伐惨爪龙
00583	不入虎穴焉得虎肉	交纳肉块2个	·限制时间结束·3次力尽倒下
00601	惊愕的！毒妖鸟！调查！	狩猎毒妖鸟	·限制时间结束·3次力尽倒下
00605	暴徒变得更粗暴了	狩猎蛮颚龙	·限制时间结束·3次力尽倒下
00607	神秘王国的女王	完成任务	·限制时间结束·3次力尽倒下
00631	特殊斗技场：毒妖鸟上位篇	狩猎毒妖鸟	·限制时间结束·3次力尽倒下
00632	特殊斗技场：土砂龙上位篇	狩猎土砂龙	·限制时间结束·3次力尽倒下
00633	特殊斗技场：飞雷龙上位篇	狩猎飞雷龙	·限制时间结束·3次力尽倒下
00634	特殊斗技场：蛮颚龙上位篇	狩猎蛮颚龙	·限制时间结束·3次力尽倒下
00635	特殊斗技场：雌火龙上位篇	狩猎雌火龙	·限制时间结束·3次力尽倒下
00636	特殊斗技场：浮空龙上位篇	狩猎浮空龙	·限制时间结束·3次力尽倒下
00637	特殊斗技场：骨锤龙上位篇	狩猎骨锤龙	·限制时间结束·3次力尽倒下
00641	令人怀念的落日余晖	诱导熔山龙	·限制时间结束·3次力尽倒下·诱导失败
00651	狩猎大贼龙	狩猎大贼龙	·限制时间结束·3次力尽倒下
00652	狩猎毒妖鸟	狩猎毒妖鸟	·限制时间结束·3次力尽倒下
00653	狩猎飞雷龙	狩猎飞雷龙	·限制时间结束·3次力尽倒下
00654	狩猎蛮颚龙	狩猎蛮颚龙	·限制时间结束·3次力尽倒下
00655	沉睡之森的女王	狩猎雌火龙	·限制时间结束·3次力尽倒下
00656	捕获：有如飞雷般的那个	捕获飞雷龙	·限制时间结束·3次力尽倒下·讨伐飞雷龙
00661	狩猎搔鸟	狩猎搔鸟	·限制时间结束·3次力尽倒下
00662	狩猎土砂龙	狩猎土砂龙	·限制时间结束·3次力尽倒下
00663	毒妖鸟潜伏荒地	狩猎毒妖鸟	·限制时间结束·3次力尽倒下
00665	狩猎泥鱼龙	狩猎泥鱼龙	·限制时间结束·3次力尽倒下
00666	狩猎雌火龙	狩猎雌火龙	·限制时间结束·3次力尽倒下
00667	暴徒到访荒地	狩猎蛮颚龙	·限制时间结束·3次力尽倒下
00671	狩猎眩鸟	狩猎眩鸟	·限制时间结束·3次力尽倒下
00672	狩猎浮空龙	狩猎浮空龙	·限制时间结束·3次力尽倒下
00681	用来提味的是麻痹的那家伙	狩猎大痹贼龙	·限制时间结束·3次力尽倒下
00682	狩猎骨锤龙	狩猎骨锤龙	·限制时间结束·3次力尽倒下
00683	料理长的！兴奋期待交货委托	交纳古老化石4个	·限制时间结束·3次力尽倒下
00684	料理长的！心跳加速讨伐委托	讨伐10头痹贼龙	·限制时间结束·3次力尽倒下
00691	无法阻止急速冲刺的突击龙	讨伐13头突击龙	·限制时间结束·3次力尽倒下
00692	讨伐酸翼龙	讨伐5头酸翼龙	·限制时间结束·3次力尽倒下
00693	狩猎岩贼龙	狩猎岩贼龙	·限制时间结束·3次力尽倒下
00694	料理长的！紧张刺激击退委托	讨伐奇面族10只	·限制时间结束·3次力尽倒下
00701	渴望的黑创	讨伐灭尽龙	·限制时间结束·3次力尽倒下
00731	特殊斗技场：樱火龙上位篇	狩猎樱火龙	·限制时间结束·3次力尽倒下
00732	特殊斗技场：风漂龙上位篇	狩猎风漂龙	·限制时间结束·3次力尽倒下
00733	特殊斗技场：惨爪龙上位篇	狩猎惨爪龙	·限制时间结束·3次力尽倒下
00734	特殊斗技场：爆锤龙上位篇	狩猎爆锤龙	·限制时间结束·3次力尽倒下
00735	特殊斗技场：火龙上位篇	狩猎火龙	·限制时间结束·3次力尽倒下
00736	特殊斗技场：苍火龙上位篇	狩猎苍火龙	·限制时间结束·3次力尽倒下
00737	特殊斗技场：角龙上位篇	狩猎角龙	·限制时间结束·3次力尽倒下
00738	特殊斗技场：黑角龙上位篇	狩猎黑角龙	·限制时间结束·3次力尽倒下
00751	狩猎火龙	狩猎火龙	·限制时间结束·3次力尽倒下
00752	狩猎苍火龙	狩猎苍火龙	·限制时间结束·3次力尽倒下
00753	苍红乱麻	狩猎所有目标	·限制时间结束·3次力尽倒下
00761	狩猎樱火龙	狩猎樱火龙	·限制时间结束·3次力尽倒下
00762	狩猎角龙	狩猎角龙	·限制时间结束·3次力尽倒下
00763	黑角龙钟爱沙地	狩猎黑角龙	·限制时间结束·3次力尽倒下
00764	荒野的大大大暴动！	狩猎所有目标	·限制时间结束·3次力尽倒下
00771	台地的暴风雪是樱色	狩猎樱火龙	·限制时间结束·3次力尽倒下
00772	狩猎风漂龙	狩猎风漂龙	·限制时间结束·3次力尽倒下
00773	好戏在惨爪龙之后	狩猎惨爪龙	·限制时间结束·3次力尽倒下
00774	凉爪与惨爪的交会之处	狩猎所有目标	·限制时间结束·3次力尽倒下
00781	狩猎惨爪龙	狩猎惨爪龙	·限制时间结束·3次力尽倒下
00791	熔岩龙	狩猎熔岩龙	·限制时间结束·3次力尽倒下
00792	爆锤龙翻倒了！	狩猎爆锤龙	·限制时间结束·3次力尽倒下
00793	其为苍空王者	狩猎苍火龙	·限制时间结束·3次力尽倒下
00794	奇袭燎原爆鳞龙	狩猎爆鳞龙	·限制时间结束·3次力尽倒下
00795	火与火交会者们	狩猎所有目标	·限制时间结束·3次力尽倒下
00801	钢铁的钢龙	讨伐钢龙	·限制时间结束·3次力尽倒下
00802	爆炎的炎王龙	讨伐炎王龙	·限制时间结束·3次力尽倒下
00803	冥底的尸套龙	讨伐尸套龙	·限制时间结束·3次力尽倒下
00804	收束之地	完成任务	·限制时间结束·3次力尽倒下
00805	超越爆鳞之道	狩猎2头爆鳞龙	·限制时间结束·3次力尽倒下
00806	此雷鸣是天罚？亦或是祝福？	讨伐麒麟	·限制时间结束·3次力尽倒下
00851	剎现的荒天预感	讨伐钢龙	·限制时间结束·3次力尽倒下
00861	热沙阳炎	讨伐炎王龙	·限制时间结束·3次力尽倒下
00871	幻兽如是美丽	讨伐麒麟	·限制时间结束·3次力尽倒下
00881	觉醒于墓标之底	讨伐尸套龙	·限制时间结束·3次力尽倒下
00891	噬岚者	讨伐灭尽龙	·限制时间结束·3次力尽倒下
00892	暴风之主	讨伐钢龙	·限制时间结束·3次力尽倒下
00893	狱炎的牙城	讨伐炎王龙	·限制时间结束·3次力尽倒下
00894	噬焰者	讨伐灭尽龙	·限制时间结束·3次力尽倒下
00895	飓风之瑕因缘不浅	讨伐钢龙	·限制时间结束·3次力尽倒下
00896	业火之瑕因缘不浅	讨伐炎王龙	·限制时间结束·3次力尽倒下
00961	超越爆鳞之道	狩猎2头爆鳞龙	·限制时间结束·3次力尽倒下
00971	此雷鸣是天罚？亦或是祝福？	讨伐麒麟	·限制时间结束·3次力尽倒下
00991	在冥河中揭起灯火	讨伐冥灯龙	·限制时间结束·3次力尽倒下
00992	新大陆的白风	狩猎所有目标	·限制时间结束·3次力尽倒下
00995	指引明路的苍蓝星	讨伐所有目标	·限制时间结束·3次力尽倒下
00996	泥土与骨锤的激烈大战	狩猎所有目标	·限制时间结束·3次力尽倒下
00997	新大陆的空与花	狩猎所有目标	·限制时间结束·3次力尽倒下
00998	在深渊之底呼唤你	狩猎所有目标	·限制时间结束·3次力尽倒下
01101	初次洗礼！？	狩猎冰鱼龙	·限制时间结束·3次力尽倒下
01102	粗活就交给猛牛龙	狩猎猛牛龙	·限制时间结束·3次力尽倒下
01121	深雪的潜水员	狩猎冰鱼龙	·限制时间结束·3次力尽倒下
01122	连猛牛也要敬畏猎人三分！？	狩猎猛牛龙	·限制时间结束·3次力尽倒下
01123	捕获：有志者雪竟融	捕获冰鱼龙	·限制时间结束·3次力尽倒下·讨伐冰鱼龙
01124	冰树下的闪耀眼神	讨伐10头冰豺狼	·限制时间结束·3次力尽倒下
01125	来自寒冷之地的招呼	交货20个特产款冬花芽	·限制时间结束·3次力尽倒下
01131	特殊斗技场：毒妖鸟大师篇	狩猎毒妖鸟	·限制时间结束·3次力尽倒下
01132	特殊斗技场：土砂龙大师篇	狩猎土砂龙	·限制时间结束·3次力尽倒下
01133	特殊斗技场：飞雷龙大师篇	狩猎飞雷龙	·限制时间结束·3次力尽倒下
01134	特殊斗技场：猛牛龙大师篇	狩猎猛牛龙	·限制时间结束·3次力尽倒下
01151	大贼龙的回归	狩猎大贼龙	·限制时间结束·3次力尽倒下
01152	长舌的捣蛋鬼	狩猎毒妖鸟	·限制时间结束·3次力尽倒下
01153	飞电迅如箭	狩猎飞雷龙	·限制时间结束·3次力尽倒下
01154	漂泊的收藏家，在此现身！	狩猎搔鸟	·限制时间结束·3次力尽倒下
01155	捕获：猛角扫千军	捕获猛牛龙	·限制时间结束·3次力尽倒下·讨伐猛牛龙
01161	荒地的宝物猎人	狩猎搔鸟	·限制时间结束·3次力尽倒下
01162	横冲直撞就是风格	狩猎土砂龙	·限制时间结束·3次力尽倒下
01163	你我之间的泥泞之战	狩猎泥鱼龙	·限制时间结束·3次力尽倒下
01164	毒妖鸟的美食之旅？	狩猎毒妖鸟	·限制时间结束·3次力尽倒下
01171	眩鸟☆闪光！	狩猎眩鸟	·限制时间结束·3次力尽倒下
01181	我们的教父	狩猎大痹贼龙	·限制时间结束·3次力尽倒下
01191	龙结晶晚餐	狩猎岩贼龙	·限制时间结束·3次力尽倒下
01192	巨角破坏王	狩猎猛牛龙	·限制时间结束·3次力尽倒下
01201	冰土守门者·痹毒龙	狩猎痹毒龙	·限制时间结束·3次力尽倒下
01202	眠之飞龙与四颗眼珠	狩猎浮眠龙	·限制时间结束·3次力尽倒下
01203	占领饮水处吧！	狩猎水妖鸟	·限制时间结束·3次力尽倒下
01221	狩猎痹毒龙	狩猎痹毒龙	·限制时间结束·3次力尽倒下
01222	捕获：用毒与麻痹的高手	捕获痹毒龙	·限制时间结束·3次力尽倒下·讨伐痹毒龙
01223	兽缠族！兽兽兽缠族！	讨伐14只兽缠族	·限制时间结束·3次力尽倒下
01224	双方团队的共同战线	狩猎冰鱼龙	·限制时间结束·3次力尽倒下
01225	鱼心冰意	狩猎冰鱼龙	·限制时间结束·3次力尽倒下
01231	特殊斗技场：蛮颚龙大师篇	狩猎蛮颚龙	·限制时间结束·3次力尽倒下
01232	特殊斗技场：骨锤龙大师篇	狩猎骨锤龙	·限制时间结束·3次力尽倒下
01233	特殊斗技场：水妖鸟大师篇	狩猎水妖鸟	·限制时间结束·3次力尽倒下
01234	特殊斗技场：痹毒龙大师篇	狩猎痹毒龙	·限制时间结束·3次力尽倒下
01235	特殊斗技场：雌火龙大师篇	狩猎雌火龙	·限制时间结束·3次力尽倒下
01236	特殊斗技场：樱火龙大师篇	狩猎樱火龙	·限制时间结束·3次力尽倒下
01237	特殊斗技场：浮空龙大师篇	狩猎浮空龙	·限制时间结束·3次力尽倒下
01238	特殊斗技场：浮眠龙大师篇	狩猎浮眠龙	·限制时间结束·3次力尽倒下
01251	森林的暴徒、再临	狩猎蛮颚龙	·限制时间结束·3次力尽倒下
01252	陆地女王·雌火龙的叹息	狩猎雌火龙	·限制时间结束·3次力尽倒下
01253	捕获：晚安了浮眠龙	捕获浮眠龙	·限制时间结束·3次力尽倒下·讨伐浮眠龙
01261	女王陛下优雅的一天	狩猎雌火龙	·限制时间结束·3次力尽倒下
01262	狩猎浮眠龙	狩猎浮眠龙	·限制时间结束·3次力尽倒下
01263	肆虐荒地的暴徒	狩猎蛮颚龙	·限制时间结束·3次力尽倒下
01264	华丽的皇后们	狩猎所有目标	·限制时间结束·3次力尽倒下
01271	高飞吧！浮空龙！	狩猎浮空龙	·限制时间结束·3次力尽倒下
01272	春神降临珊瑚大地	狩猎樱火龙	·限制时间结束·3次力尽倒下
01273	补充水分最重要！	狩猎水妖鸟	·限制时间结束·3次力尽倒下
01274	过度畅饮警报！	狩猎水妖鸟	·限制时间结束·3次力尽倒下
01281	狩猎骨锤龙	狩猎骨锤龙	·限制时间结束·3次力尽倒下
01282	虫？昆虫！？都是虫！！！	讨伐所有目标	·限制时间结束·3次力尽倒下
01291	寻找远古的光辉	交货20个大地琥珀	·限制时间结束·3次力尽倒下
01301	冰冻王国的白骑士	狩猎冰牙龙	·限制时间结束·3次力尽倒下
01302	绝影	狩猎迅龙	·限制时间结束·3次力尽倒下
01303	灼热之刃，斩龙！	狩猎斩龙	·限制时间结束·3次力尽倒下
01304	绝对强者	狩猎轰龙	·限制时间结束·3次力尽倒下
01305	粉碎的迎击拳	狩猎碎龙	·限制时间结束·3次力尽倒下
01306	来自冰炎一线间	击退冰呪龙	·限制时间结束·3次力尽倒下
01321	冰牙龙现身！	狩猎冰牙龙	·限制时间结束·3次力尽倒下
01322	捕获：理想房间喵！石篇	捕获轰龙	·限制时间结束·3次力尽倒下·讨伐轰龙
01323	孤高的白骑士	狩猎冰牙龙	·限制时间结束·3次力尽倒下
01331	特殊斗技场：风漂龙大师篇	狩猎风漂龙	·限制时间结束·3次力尽倒下
01332	特殊斗技场：惨爪龙大师篇	狩猎惨爪龙	·限制时间结束·3次力尽倒下
01333	特殊斗技场：爆锤龙大师篇	狩猎爆锤龙	·限制时间结束·3次力尽倒下
01334	特殊斗技场：火龙大师篇	狩猎火龙	·限制时间结束·3次力尽倒下
01335	特殊斗技场：角龙大师篇	狩猎角龙	·限制时间结束·3次力尽倒下
01336	特殊斗技场：冰牙龙大师篇	狩猎冰牙龙	·限制时间结束·3次力尽倒下
01337	特殊斗技场：迅龙大师篇	狩猎迅龙	·限制时间结束·3次力尽倒下
01338	特殊斗技场：斩龙大师篇	狩猎斩龙	·限制时间结束·3次力尽倒下
01339	特殊斗技场：碎龙大师篇	狩猎碎龙	·限制时间结束·3次力尽倒下
01340	特殊斗技场：轰龙大师篇	狩猎轰龙	·限制时间结束·3次力尽倒下
01351	空中之王君临的挑战	狩猎火龙	·限制时间结束·3次力尽倒下
01352	疾风的迅龙	狩猎迅龙	·限制时间结束·3次力尽倒下
01353	一刀两断的奥义	狩猎斩龙	·限制时间结束·3次力尽倒下
01354	最强的红与黑	狩猎所有目标	·限制时间结束·3次力尽倒下
01361	死斗，角龙现身！	狩猎角龙	·限制时间结束·3次力尽倒下
01362	眩目的一闪	狩猎斩龙	·限制时间结束·3次力尽倒下
01363	刀具与火侯决定了料理的一切	狩猎所有目标	·限制时间结束·3次力尽倒下
01371	欢迎来到天空舞会！	狩猎风漂龙	·限制时间结束·3次力尽倒下
01372	暗阎之风	狩猎迅龙	·限制时间结束·3次力尽倒下
01373	惨剧就在眼前	狩猎惨爪龙	·限制时间结束·3次力尽倒下
01381	龙爪的惨剧	狩猎惨爪龙	·限制时间结束·3次力尽倒下
01382	轰响山谷的咆哮	狩猎轰龙	·限制时间结束·3次力尽倒下
01383	暴走、狂转、大竞争！	狩猎所有目标	·限制时间结束·3次力尽倒下
01391	爆破警报发布中	狩猎碎龙	·限制时间结束·3次力尽倒下
01392	打倒熔岩龙要趁热	狩猎熔岩龙	·限制时间结束·3次力尽倒下
01393	回旋的爆锤龙	狩猎爆锤龙	·限制时间结束·3次力尽倒下
01394	捕获：秘诀就在于黏菌！？	捕获碎龙	·限制时间结束·3次力尽倒下·讨伐碎龙
01395	爆炸粉碎的庆典！	狩猎所有目标	·限制时间结束·3次力尽倒下
01401	剎那白雾	狩猎霜翼风漂龙	·限制时间结束·3次力尽倒下
01402	腐蚀之刃·硫斩龙	狩猎硫斩龙	·限制时间结束·3次力尽倒下
01403	凶终隙末·凶爪龙	狩猎凶爪龙	·限制时间结束·3次力尽倒下
01404	月辰防卫战	达成任务	·限制时间结束·3次力尽倒下·防卫失败
01405	暴徒大将的狩猎大作战！	狩猎雷颚龙	·限制时间结束·3次力尽倒下
01421	风霜高洁的猎人	狩猎霜翼风漂龙	·限制时间结束·3次力尽倒下
01422	不畏严寒的暴徒	狩猎雷颚龙	·限制时间结束·3次力尽倒下
01423	舞蹈家的双人舞	狩猎所有目标	·限制时间结束·3次力尽倒下
01424	重点就在水气中	交货2个汤华岩石	·限制时间结束·3次力尽倒下
01431	特殊斗技场：苍火龙大师篇	狩猎苍火龙	·限制时间结束·3次力尽倒下
01432	特殊斗技场：黑角龙大师篇	狩猎黑角龙	·限制时间结束·3次力尽倒下
01433	特殊斗技场：硫斩龙大师篇	狩猎硫斩龙	·限制时间结束·3次力尽倒下
01434	特殊斗技场：凶爪龙大师篇	狩猎凶爪龙	·限制时间结束·3次力尽倒下
01435	特殊斗技场：雷颚龙大师篇	狩猎雷颚龙	·限制时间结束·3次力尽倒下
01451	天苍恢恢！	狩猎苍火龙	·限制时间结束·3次力尽倒下
01452	林中凶爪	狩猎凶爪龙	·限制时间结束·3次力尽倒下
01461	从沙地冲出奔驰吧少女！	狩猎黑角龙	·限制时间结束·3次力尽倒下
01462	黑光炯炯	狩猎黑角龙	·限制时间结束·3次力尽倒下
01471	黑色的罪人	狩猎凶爪龙	·限制时间结束·3次力尽倒下
01481	腐蚀之剑	狩猎硫斩龙	·限制时间结束·3次力尽倒下
01482	捕获：理想房间喵！铁明篇	捕获硫斩龙	·限制时间结束·3次力尽倒下·讨伐硫斩龙
01483	理想房间喵！铁暗篇	狩猎所有目标	·限制时间结束·3次力尽倒下
01491	再调查·苍火龙	狩猎苍火龙	·限制时间结束·3次力尽倒下
01492	捕获：捉拿雷之颚吧！	捕获雷颚龙	·限制时间结束·3次力尽倒下·讨伐雷颚龙
01501	冰之龙	讨伐冰呪龙	·限制时间结束·3次力尽倒下
01502	大灾难，再次到来！	狩猎红莲爆鳞龙	·限制时间结束·3次力尽倒下
01503	雾瘴尸套龙	讨伐雾瘴尸套龙	·限制时间结束·3次力尽倒下
01504	直至点亮溟海指标	讨伐溟波龙	·限制时间结束·3次力尽倒下
01521	冰冠的交战	讨伐冰呪龙	·限制时间结束·3次力尽倒下
01551	召唤晴天的魔龙	讨伐钢龙	·限制时间结束·3次力尽倒下
01552	死亡之神降临	讨伐雾瘴尸套龙	·限制时间结束·3次力尽倒下
01561	沙漠中的晋见	讨伐炎王龙	·限制时间结束·3次力尽倒下
01562	恐暴的盛宴	狩猎惶怒恐暴龙	·限制时间结束·3次力尽倒下
01571	雷电闪光	讨伐麒麟	·限制时间结束·3次力尽倒下
01572	海神迷惘的记忆	讨伐溟波龙	·限制时间结束·3次力尽倒下
01581	吞食生命无返黄泉	讨伐雾瘴尸套龙	·限制时间结束·3次力尽倒下
01591	翔风之龙	讨伐钢龙	·限制时间结束·3次力尽倒下
01592	太阳的证明	讨伐炎王龙	·限制时间结束·3次力尽倒下
01593	爆裂滚滚爆鳞龙	狩猎红莲爆鳞龙	·限制时间结束·3次力尽倒下
01594	捕获：理想房间喵！银篇	捕获红莲爆鳞龙	·限制时间结束·3次力尽倒下·讨伐红莲爆鳞龙
01601	引导者之歌	达成任务	·限制时间结束·3次力尽倒下
01602	引导之歌	达成任务	·限制时间结束·3次力尽倒下
01603	惰眠与火酒的日子	狩猎所有目标	·限制时间结束·3次力尽倒下
01604	贯彻武道家魂！！	狩猎所有目标	·限制时间结束·3次力尽倒下
01605	与心爱的你行至世界尽头	讨伐歼世灭尽龙	·限制时间结束·3次力尽倒下
01606	目中无人的家伙来了！	狩猎黑狼鸟	·限制时间结束·3次力尽倒下
01631	荣冠的猎人们	狩猎所有目标	·限制时间结束·3次力尽倒下
01632	特殊斗技场：雷狼龙大师篇	狩猎雷狼龙	·限制时间结束·3次力尽倒下
01633	特殊斗技场：黑狼鸟大师篇	狩猎黑狼鸟	·限制时间结束·3次力尽倒下
01634	特殊斗技场：黑轰龙大师篇	狩猎黑轰龙	·限制时间结束·3次力尽倒下
01635	特殊斗技场：金火龙大师篇	狩猎金火龙	·限制时间结束·3次力尽倒下
01636	特殊斗技场：银火龙大师篇	狩猎银火龙	·限制时间结束·3次力尽倒下
01641	远方的萝蕾莱	讨伐天地煌啼龙	·限制时间结束·3次力尽倒下
01642	阴阳赞歌	狩猎所有目标	·限制时间结束·3次力尽倒下
01651	突从天降的别离与风暴	讨伐所有目标	·限制时间结束·3次力尽倒下
01661	与你的相遇是炎妃苍火	讨伐炎妃龙	·限制时间结束·3次力尽倒下
01671	神赐的台地	讨伐所有目标	·限制时间结束·3次力尽倒下
01691	皇妃镇座的炎之宫殿	讨伐炎妃龙	·限制时间结束·3次力尽倒下
01692	新大陆的猎人们啊	讨伐所有目标	·限制时间结束·3次力尽倒下
03001	斗技大会02	讨伐搔鸟	·限制时间结束·9次力尽倒下
03002	斗技大会03	讨伐雌火龙	·限制时间结束·9次力尽倒下
03031	斗技大会04	讨伐眩鸟	·限制时间结束·9次力尽倒下
03032	斗技大会05	讨伐土砂龙	·限制时间结束·9次力尽倒下
03033	斗技大会06	讨伐岩贼龙	·限制时间结束·9次力尽倒下
03034	斗技大会07	讨伐苍火龙	·限制时间结束·9次力尽倒下
03051	斗技大会08	讨伐所有目标	·限制时间结束·9次力尽倒下
03052	斗技大会09	讨伐所有目标	·限制时间结束·9次力尽倒下
03071	斗技大会大师级02	讨伐浮眠龙	·限制时间结束·9次力尽倒下
03072	斗技大会大师级03	讨伐迅龙	·限制时间结束·9次力尽倒下
03073	斗技大会大师级04	讨伐硫斩龙	·限制时间结束·9次力尽倒下
03074	斗技大会大师级05	讨伐所有目标	·限制时间结束·9次力尽倒下
03091	斗技大会大师级06	讨伐雷狼龙	·限制时间结束·9次力尽倒下
03092	斗技大会大师级07	讨伐所有目标	·限制时间结束·9次力尽倒下
03101	斗技大会01	讨伐毒妖鸟	·限制时间结束·9次力尽倒下
03171	斗技大会大师级01	讨伐猛牛龙	·限制时间结束·9次力尽倒下
05003	击退眩鸟吧！	狩猎2头眩鸟	·限制时间结束·3次力尽倒下
0	Invalid Message	Invalid Message	Invalid Message
30000	Unavailable	Unavailable	Unavailable
30001	Unavailable	Unavailable	Unavailable
30002	Unavailable	Unavailable	Unavailable
30003	Unavailable	Unavailable	Unavailable
30004	Unavailable	Unavailable	Unavailable
30005	Unavailable	Unavailable	Unavailable
30006	Unavailable	Unavailable	Unavailable
