部位ID	部位名称	防具ID	防具名称	模型地址
0	头盔	25	孽鬼头饰阿尓法	otomo/equip/ot073/helm
0	头盔	100	皮制猫头饰	otomo/equip/ot000/helm
0	头盔	101	燕尾蝶猫头饰	otomo/equip/ot040/helm
0	头盔	102	阿罗哈猫草帽	otomo/equip/ot041/helm
0	头盔	103	幽灵猫头饰	otomo/equip/ot042/helm
0	头盔	104	雪猫头饰	otomo/equip/ot043/helm
0	头盔	105	巨星猫头饰	otomo/equip/ot044/helm
0	头盔	55	绚辉龙猫毛皮阿尔法	otomo/equip/ot025/helm
0	头盔	56	残虐猫头盔阿尔法	otomo/equip/ot033/helm
0	头盔	57	伊莉萨猫王冠阿尔法	otomo/equip/ot034/helm
0	头盔	58	洛克人头饰阿尔法	otomo/equip/ot035/helm
0	头盔	59	HARDUMMY	otomo/equip/ot036/helm
0	头盔	60	苍星猫头盔	otomo/equip/ot037/helm
0	头盔	61	莫古力头饰阿尔法	otomo/equip/ot038/helm
0	头盔	62	武者猫头盔阿尔法	otomo/equip/ot039/helm
0	头盔	63	燕尾蝶猫头饰阿尔法	otomo/equip/ot040/helm
0	头盔	64	阿罗哈猫草帽阿尔法	otomo/equip/ot041/helm
0	头盔	65	幽灵猫头饰阿尔法	otomo/equip/ot042/helm
0	头盔	66	雪猫头饰阿尔法	otomo/equip/ot043/helm
0	头盔	67	巨星猫头饰阿尔法	otomo/equip/ot044/helm
0	头盔	110	精英·猫猫粗呢头巾阿尔法	otomo/equip/ot060/helm
0	头盔	111	精英·骨制猫头盔阿尔法	otomo/equip/ot028/helm
0	头盔	112	精英·合金猫头盔阿尔法	otomo/equip/ot029/helm
0	头盔	113	精英·贼龙猫头盔阿尔法	otomo/equip/ot002/helm
0	头盔	114	精英·搔鸟猫缠头巾阿尔法	otomo/equip/ot003/helm
0	头盔	115	精英·毒妖鸟猫头巾阿尔法	otomo/equip/ot004/helm
0	头盔	116	精英·土砂龙猫头盔阿尔法	otomo/equip/ot005/helm
0	头盔	117	精英·泥鱼龙猫头盔阿尔法	otomo/equip/ot006/helm
0	头盔	118	精英·冰鱼龙猫护目镜阿尔法	otomo/equip/ot051/helm
0	头盔	119	精英·飞雷龙猫头巾阿尔法	otomo/equip/ot007/helm
0	头盔	120	精英·猛牛龙猫头巾阿尔法	otomo/equip/ot052/helm
0	头盔	121	精英·蛮颚龙猫头盔阿尔法	otomo/equip/ot008/helm
0	头盔	122	精英·雌火龙猫头盔阿尔法	otomo/equip/ot009/helm
0	头盔	123	精英·浮空龙猫头盔阿尔法	otomo/equip/ot011/helm
0	头盔	124	精英·骨锤龙猫帽盔阿尔法	otomo/equip/ot013/helm
0	头盔	125	精英·瓢虫猫护头阿尔法	otomo/equip/ot030/helm
0	头盔	126	精英·死神猫头巾阿尔法	otomo/equip/ot027/helm
0	头盔	127	精英·冰牙龙猫头盔阿尔法	otomo/equip/ot046/helm
0	头盔	128	精英·火龙猫头盔阿尔法	otomo/equip/ot016/helm
0	头盔	129	精英·角龙猫头盔阿尔法	otomo/equip/ot017/helm
0	头盔	130	精英·风漂龙猫头盔阿尔法	otomo/equip/ot012/helm
0	头盔	131	精英·惨爪猫头盔阿尔法	otomo/equip/ot014/helm
0	头盔	132	精英·熔岩龙猫头盔阿尔法	otomo/equip/ot020/helm
0	头盔	133	精英·爆锤龙猫头盔阿尔法	otomo/equip/ot021/helm
0	头盔	134	精英·迅龙猫头盔阿尔法	otomo/equip/ot047/helm
0	头盔	135	精英·斩龙猫头盔阿尔法	otomo/equip/ot048/helm
0	头盔	136	精英·碎龙猫拳击护头阿尔法	otomo/equip/ot049/helm
0	头盔	137	精英·轰龙猫头盔阿尔法	otomo/equip/ot050/helm
0	头盔	138	精英·霜漂猫头盔阿尔法	otomo/equip/ot056/helm
0	头盔	139	精英·机械猫核心阿尔法	otomo/equip/ot061/helm
0	头盔	140	精英·奇面猫面具阿尔法	otomo/equip/ot031/helm
0	头盔	141	精英·兽缠族猫面具阿尔法	otomo/equip/ot062/helm
0	头盔	142	精英·雪崩猫头盔阿尔法	otomo/equip/ot053/helm
0	头盔	143	精英·矜持猫头盔阿尔法	otomo/equip/ot059/helm
0	头盔	144	精英·死灭猫骷髅阿尔法	otomo/equip/ot057/helm
0	头盔	145	精英·触角猫头巾阿尔法	otomo/equip/ot054/helm
0	头盔	146	精英·帝王猫皇冠阿尔法	otomo/equip/ot022/helm
0	头盔	147	精英·钢龙猫绸帽阿尔法	otomo/equip/ot023/helm
0	头盔	148	精英·麒麟猫角阿尔法	otomo/equip/ot018/helm
0	头盔	149	精英·迦楼罗猫宝冠阿尔法	otomo/equip/ot055/helm
0	头盔	150	精英·狂纹猫头盔阿尔法	otomo/equip/ot058/helm
0	头盔	151	精英·贪欲猫面具阿尔法	otomo/equip/ot069/helm
0	头盔	152	精英·剑术猫头盔阿尔法	otomo/equip/ot072/helm
0	头盔	153	精英·黑狼鸟猫头巾阿尔法	otomo/equip/ot064/helm
0	头盔	154	精英·雷狼龙猫头盔阿尔法	otomo/equip/ot065/helm
0	头盔	155	精英·斩龙猫铠甲阿尔法	otomo/equip/ot019/helm
0	头盔	156	精英·黑衣猫面罩阿尔法	otomo/equip/ot066/helm
0	头盔	157	精英·激昂猫头阿尔法	otomo/equip/ot071/helm
0	头盔	158	精英·爆碎猫拳击护头阿尔法	otomo/equip/ot070/helm
0	头盔	159	精英·赤龙猫封冠阿尔法	otomo/equip/ot067/helm
0	头盔	160	精英·煌黑龙猫智慧阿尔法	otomo/equip/ot068/helm
0	头盔	161	精英·伊莉萨猫王冠阿尔法	otomo/equip/ot034/helm
0	头盔	162	精英·绚辉龙猫毛皮阿尔法	otomo/equip/ot025/helm
0	头盔	163	精英·洛克人头饰阿尔法	otomo/equip/ot035/helm
0	头盔	164	精英·莫古利头饰阿尔法	otomo/equip/ot038/helm
0	头盔	165	HARDUMMY	otomo/equip/ot037/helm
0	头盔	166	HARDUMMY	otomo/equip/ot036/helm
0	头盔	167	精英·武者猫头盔阿尔法	otomo/equip/ot039/helm
0	头盔	168	精英·燕尾蝶猫头饰阿尔法	otomo/equip/ot040/helm
0	头盔	169	精英·阿罗哈猫草帽阿尔法	otomo/equip/ot041/helm
0	头盔	170	皮制猫头饰	otomo/equip/ot000/helm
0	头盔	171	精英·雪猫头饰阿尔法	otomo/equip/ot043/helm
0	头盔	172	精英·巨星猫头饰阿尔法	otomo/equip/ot044/helm
0	头盔	173	精英·皮制猫头饰阿尔法	otomo/equip/ot001/helm
0	头盔	174	精英·爆鳞龙猫头盔阿尔法	otomo/equip/ot026/helm
0	头盔	175	精英·残虐猫头盔阿尔法	otomo/equip/ot033/helm
0	头盔	176	精英·战纹猫头盔阿尔法	otomo/equip/ot010/helm
0	头盔	177	精英·乌尔德猫骷髅阿尔法	otomo/equip/ot015/helm
0	头盔	178	精英·异国猫头纱阿尔法	otomo/equip/ot024/helm
0	头盔	179	精英·公会猫帽阿尔法	otomo/equip/ot063/helm
0	头盔	180	精英·蔷薇猫头饰阿尔法	otomo/equip/ot075/helm
0	头盔	181	精英·毒妖鸟玩偶猫头饰阿尔法	otomo/equip/ot076/helm
0	头盔	182	皮制猫头饰	otomo/equip/ot000/helm
0	头盔	183	精英·狮子舞猫头饰阿尔法	otomo/equip/ot078/helm
0	头盔	184	精英·宇宙猫面具阿尔法	otomo/equip/ot079/helm
0	头盔	185	皮制猫头饰	otomo/equip/ot000/helm
0	头盔	186	皮制猫头饰	otomo/equip/ot000/helm
0	头盔	187	皮制猫头饰	otomo/equip/ot000/helm
0	头盔	188	HARDUMMY	otomo/equip/ot080/helm
0	头盔	189	HARDUMMY	otomo/equip/ot081/helm
0	头盔	190	精英·摇曳鳗头套阿尔法	otomo/equip/ot082/helm
0	头盔	191	皮制猫头饰	otomo/equip/ot000/helm
0	头盔	192	精英·霜刃冰牙猫头盔阿尔法	otomo/equip/ot083/helm
0	头盔	193	皮制猫头饰	otomo/equip/ot000/helm
0	头盔	194	皮制猫头饰	otomo/equip/ot000/helm
0	头盔	195	精英·巨匠猫发饰阿尔法	otomo/equip/ot085/helm
0	头盔	196	皮制猫头饰	otomo/equip/ot000/helm
0	头盔	197	精英·孽鬼头饰阿尔法	otomo/equip/ot073/helm
0	头盔	198	皮制猫头饰	otomo/equip/ot000/helm
0	头盔	199	皮制猫头饰	otomo/equip/ot000/helm
0	头盔	200	皮制猫头饰	otomo/equip/ot000/helm
1	铠甲	1	皮制猫服饰	otomo/equip/ot001/body
1	铠甲	28	骨制猫铠甲	otomo/equip/ot028/body
1	铠甲	29	合金猫铠甲	otomo/equip/ot029/body
1	铠甲	2	贼龙猫铠甲	otomo/equip/ot002/body
1	铠甲	3	搔鸟猫服饰	otomo/equip/ot003/body
1	铠甲	4	毒妖鸟猫外袍	otomo/equip/ot004/body
1	铠甲	5	土砂龙猫铠甲	otomo/equip/ot005/body
1	铠甲	6	泥鱼龙猫铠甲	otomo/equip/ot006/body
1	铠甲	7	飞雷龙猫服装	otomo/equip/ot007/body
1	铠甲	8	蛮颚龙猫铠甲	otomo/equip/ot008/body
1	铠甲	11	浮空龙猫披肩	otomo/equip/ot011/body
1	铠甲	9	雌火龙猫铠甲	otomo/equip/ot009/body
1	铠甲	13	骨锤龙猫服装	otomo/equip/ot013/body
1	铠甲	30	瓢虫猫上身	otomo/equip/ot030/body
1	铠甲	12	风漂龙猫铠甲	otomo/equip/ot012/body
1	铠甲	14	惨爪龙猫铠甲	otomo/equip/ot014/body
1	铠甲	16	火龙猫铠甲	otomo/equip/ot016/body
1	铠甲	17	角龙猫铠甲	otomo/equip/ot017/body
1	铠甲	18	麒麟猫服饰	otomo/equip/ot018/body
1	铠甲	27	死神猫风衣	otomo/equip/ot027/body
1	铠甲	32	皮制猫服饰阿尔法	otomo/equip/ot001/body
1	铠甲	33	骨制猫铠甲阿尔法	otomo/equip/ot028/body
1	铠甲	34	合金猫铠甲阿尔法	otomo/equip/ot029/body
1	铠甲	35	贼龙猫铠甲阿尔法	otomo/equip/ot002/body
1	铠甲	36	搔鸟猫服饰阿尔法	otomo/equip/ot003/body
1	铠甲	37	毒妖鸟猫外袍阿尔法	otomo/equip/ot004/body
1	铠甲	38	土砂龙猫铠甲阿尔法	otomo/equip/ot005/body
1	铠甲	39	泥鱼龙猫铠甲阿尔法	otomo/equip/ot006/body
1	铠甲	40	飞雷龙猫服装阿尔法	otomo/equip/ot007/body
1	铠甲	19	伟大猫服装阿尔法	otomo/equip/ot019/body
1	铠甲	41	蛮颚龙猫铠甲阿尔法	otomo/equip/ot008/body
1	铠甲	42	浮空龙猫披肩阿尔法	otomo/equip/ot011/body
1	铠甲	43	雌火龙猫铠甲阿尔法	otomo/equip/ot009/body
1	铠甲	44	骨锤龙猫服装阿尔法	otomo/equip/ot013/body
1	铠甲	45	瓢虫猫上身阿尔法	otomo/equip/ot030/body
1	铠甲	46	风漂龙猫铠甲阿尔法	otomo/equip/ot012/body
1	铠甲	47	惨爪龙猫铠甲阿尔法	otomo/equip/ot014/body
1	铠甲	48	火龙猫铠甲阿尔法	otomo/equip/ot016/body
1	铠甲	49	角龙猫铠甲阿尔法	otomo/equip/ot017/body
1	铠甲	50	麒麟猫服饰阿尔法	otomo/equip/ot018/body
1	铠甲	20	熔岩龙猫铠甲阿尔法	otomo/equip/ot020/body
1	铠甲	21	爆锤龙猫铠甲阿尔法	otomo/equip/ot021/body
1	铠甲	26	爆鳞龙铠甲阿尔法	otomo/equip/ot026/body
1	铠甲	51	死神猫风衣阿尔法	otomo/equip/ot027/body
1	铠甲	52	奇面猫蓑衣阿尔法	otomo/equip/ot031/body
1	铠甲	10	战纹猫铠甲阿尔法	otomo/equip/ot010/body
1	铠甲	15	乌尔德猫骨阿尔法	otomo/equip/ot015/body
1	铠甲	22	帝王猫胴铠阿尔法	otomo/equip/ot022/body
1	铠甲	23	钢龙猫业报阿尔法	otomo/equip/ot023/body
1	铠甲	24	异国猫礼服阿尔法	otomo/equip/ot024/body
1	铠甲	25	孽鬼身体阿尓法	otomo/equip/ot073/body
1	铠甲	53	Unavailable	otomo/equip/ot032/body
1	铠甲	100	皮制猫头饰	otomo/equip/ot000/body
1	铠甲	101	燕尾蝶猫服饰	otomo/equip/ot040/body
1	铠甲	102	阿罗哈猫阿罗哈	otomo/equip/ot041/body
1	铠甲	103	幽灵猫罩袍	otomo/equip/ot042/body
1	铠甲	104	雪猫身体	otomo/equip/ot043/body
1	铠甲	105	巨星猫服装	otomo/equip/ot044/body
1	铠甲	55	绚辉龙猫服装阿尔法	otomo/equip/ot025/body
1	铠甲	56	残虐猫铠甲阿尔法	otomo/equip/ot033/body
1	铠甲	57	伊莉萨猫胴铠阿尔法	otomo/equip/ot034/body
1	铠甲	58	洛克人身体阿尔法	otomo/equip/ot035/body
1	铠甲	59	HARDUMMY	otomo/equip/ot036/body
1	铠甲	60	苍星猫铠甲	otomo/equip/ot037/body
1	铠甲	61	莫古力衣装阿尔法	otomo/equip/ot038/body
1	铠甲	62	武者猫铠甲阿尔法	otomo/equip/ot039/body
1	铠甲	63	燕尾蝶猫服饰阿尔法	otomo/equip/ot040/body
1	铠甲	64	阿罗哈猫阿罗哈阿尔法	otomo/equip/ot041/body
1	铠甲	65	幽灵猫罩袍阿尔法	otomo/equip/ot042/body
1	铠甲	66	雪猫身体阿尔法	otomo/equip/ot043/body
1	铠甲	67	巨星猫服装阿尔法	otomo/equip/ot044/body
1	铠甲	110	精英·猫猫粗呢大衣阿尔法	otomo/equip/ot060/body
1	铠甲	111	精英·骨制猫铠甲阿尔法	otomo/equip/ot028/body
1	铠甲	112	精英·合金猫铠甲阿尔法	otomo/equip/ot029/body
1	铠甲	113	精英·贼龙猫铠甲阿尔法	otomo/equip/ot002/body
1	铠甲	114	精英·搔鸟猫服饰阿尔法	otomo/equip/ot003/body
1	铠甲	115	精英·毒妖鸟猫斗篷阿尔法	otomo/equip/ot004/body
1	铠甲	116	精英·土砂龙猫铠甲阿尔法	otomo/equip/ot005/body
1	铠甲	117	精英·泥鱼龙猫铠甲阿尔法	otomo/equip/ot006/body
1	铠甲	118	精英·冰鱼龙猫着服阿尔法	otomo/equip/ot051/body
1	铠甲	119	精英·飞雷龙猫服装阿尔法	otomo/equip/ot007/body
1	铠甲	120	精英·猛牛龙猫服装阿尔法	otomo/equip/ot052/body
1	铠甲	121	精英·蛮颚龙猫铠甲阿尔法	otomo/equip/ot008/body
1	铠甲	122	精英·雌火龙猫铠甲阿尔法	otomo/equip/ot009/body
1	铠甲	123	精英·浮空龙猫披肩阿尔法	otomo/equip/ot011/body
1	铠甲	124	精英·骨锤龙猫服装阿尔法	otomo/equip/ot013/body
1	铠甲	125	精英·瓢虫猫上身阿尔法	otomo/equip/ot030/body
1	铠甲	126	精英·死神猫风衣阿尔法	otomo/equip/ot027/body
1	铠甲	127	精英·冰牙龙猫铠甲阿尔法	otomo/equip/ot046/body
1	铠甲	128	精英·火龙猫铠甲阿尔法	otomo/equip/ot016/body
1	铠甲	129	精英·角龙猫铠甲阿尔法	otomo/equip/ot017/body
1	铠甲	130	精英·风漂龙猫铠甲阿尔法	otomo/equip/ot012/body
1	铠甲	131	精英·惨爪猫铠甲阿尔法	otomo/equip/ot014/body
1	铠甲	132	精英·熔岩龙猫铠甲阿尔法	otomo/equip/ot020/body
1	铠甲	133	精英·爆锤龙猫铠甲阿尔法	otomo/equip/ot021/body
1	铠甲	134	精英·迅龙猫铠甲阿尔法	otomo/equip/ot047/body
1	铠甲	135	精英·斩龙猫铠甲阿尔法	otomo/equip/ot048/body
1	铠甲	136	精英·碎龙猫拳击装阿尔法	otomo/equip/ot049/body
1	铠甲	137	精英·轰龙猫铠甲阿尔法	otomo/equip/ot050/body
1	铠甲	138	精英·霜漂猫铠甲阿尔法	otomo/equip/ot056/body
1	铠甲	139	精英·机械猫齿轮阿尔法	otomo/equip/ot061/body
1	铠甲	140	精英·奇面猫蓑衣阿尔法	otomo/equip/ot031/body
1	铠甲	141	精英·兽缠族猫风衣阿尔法	otomo/equip/ot062/body
1	铠甲	142	精英·雪崩猫铠甲阿尔法	otomo/equip/ot053/body
1	铠甲	143	精英·矜持猫铠甲阿尔法	otomo/equip/ot059/body
1	铠甲	144	精英·死灭猫风衣阿尔法	otomo/equip/ot057/body
1	铠甲	145	精英·触角猫服装阿尔法	otomo/equip/ot054/body
1	铠甲	146	精英·帝王猫胴铠阿尔法	otomo/equip/ot022/body
1	铠甲	147	精英·钢龙猫复仇阿尔法	otomo/equip/ot023/body
1	铠甲	148	精英·麒麟猫服饰阿尔法	otomo/equip/ot018/body
1	铠甲	149	精英·迦楼罗猫天衣阿尔法	otomo/equip/ot055/body
1	铠甲	150	精英·狂纹猫铠甲阿尔法	otomo/equip/ot058/body
1	铠甲	151	精英·贪欲猫服装阿尔法	otomo/equip/ot069/body
1	铠甲	152	精英·剑术猫铠甲阿尔法	otomo/equip/ot072/body
1	铠甲	153	精英·黑狼鸟猫衣阿尔法	otomo/equip/ot064/body
1	铠甲	154	精英·雷狼龙猫铠甲阿尔法	otomo/equip/ot065/body
1	铠甲	155	精英·伟大猫服装阿尔法	otomo/equip/ot019/body
1	铠甲	156	精英·黑衣猫装束阿尔法	otomo/equip/ot066/body
1	铠甲	157	精英·齐天猫上装阿尔法	otomo/equip/ot071/body
1	铠甲	158	精英·爆碎猫拳击装阿尔法	otomo/equip/ot070/body
1	铠甲	159	精英·赤龙猫封鎧阿尔法	otomo/equip/ot067/body
1	铠甲	160	精英·煌黑龙猫灵魂阿尔法	otomo/equip/ot068/body
1	铠甲	161	精英·伊莉萨猫胴铠阿尔法	otomo/equip/ot034/body
1	铠甲	162	精英·绚辉龙猫服装阿尔法	otomo/equip/ot025/body
1	铠甲	163	精英·洛克人身体阿尔法	otomo/equip/ot035/body
1	铠甲	164	精英·莫古利衣装阿尔法	otomo/equip/ot038/body
1	铠甲	165	HARDUMMY	otomo/equip/ot037/body
1	铠甲	166	HARDUMMY	otomo/equip/ot036/body
1	铠甲	167	精英·武者猫鎧甲阿尔法	otomo/equip/ot039/body
1	铠甲	168	精英·燕尾蝶猫服饰阿尔法	otomo/equip/ot040/body
1	铠甲	169	精英·阿罗哈猫阿罗哈阿尔法	otomo/equip/ot041/body
1	铠甲	170	皮制猫头饰	otomo/equip/ot000/body
1	铠甲	171	精英·雪猫身体阿尔法	otomo/equip/ot043/body
1	铠甲	172	精英·巨星猫服装阿尔法	otomo/equip/ot044/body
1	铠甲	173	精英·皮制猫服饰阿尔法	otomo/equip/ot001/body
1	铠甲	174	精英·爆鳞龙鎧甲阿尔法	otomo/equip/ot026/body
1	铠甲	175	精英·残虐猫鎧甲阿尔法	otomo/equip/ot033/body
1	铠甲	176	精英·战纹猫鎧甲阿尔法	otomo/equip/ot010/body
1	铠甲	177	精英·乌尔德猫骨阿尔法	otomo/equip/ot015/body
1	铠甲	178	精英·异国猫礼服阿尔法	otomo/equip/ot024/body
1	铠甲	179	精英·公会猫风衣阿尔法	otomo/equip/ot063/body
1	铠甲	180	精英·蔷薇猫礼服阿尔法	otomo/equip/ot075/body
1	铠甲	181	精英·毒妖鸟玩偶猫身体阿尔法	otomo/equip/ot076/body
1	铠甲	182	皮制猫头饰	otomo/equip/ot000/body
1	铠甲	183	精英·狮子舞猫身体阿尔法	otomo/equip/ot078/body
1	铠甲	184	精英·宇宙猫服装阿尔法	otomo/equip/ot079/body
1	铠甲	185	皮制猫头饰	otomo/equip/ot000/body
1	铠甲	186	皮制猫头饰	otomo/equip/ot000/body
1	铠甲	187	皮制猫头饰	otomo/equip/ot000/body
1	铠甲	188	HARDUMMY	otomo/equip/ot080/body
1	铠甲	189	HARDUMMY	otomo/equip/ot081/body
1	铠甲	190	精英·摇曳猫壶阿尔法	otomo/equip/ot082/body
1	铠甲	191	皮制猫头饰	otomo/equip/ot000/body
1	铠甲	192	精英·霜刃冰牙猫鎧甲阿尔法	otomo/equip/ot083/body
1	铠甲	193	皮制猫头饰	otomo/equip/ot000/body
1	铠甲	194	皮制猫头饰	otomo/equip/ot000/body
1	铠甲	195	精英·巨匠猫服装阿尔法	otomo/equip/ot085/body
1	铠甲	196	精英·野生猫橡子阿尔法	otomo/equip/ot086/body
1	铠甲	197	精英·孽鬼身体阿尔法	otomo/equip/ot073/body
1	铠甲	198	皮制猫头饰	otomo/equip/ot000/body
1	铠甲	199	皮制猫头饰	otomo/equip/ot000/body
1	铠甲	200	皮制猫头饰	otomo/equip/ot000/body
