装饰珠ID	物品ID	名称	孔位
130	2000	潜伏珠2【4】	4
131	2001	威吓珠2【4】	4
132	2002	指示珠2【4】	4
133	2003	潜伏珠3【4】	4
134	2004	威吓珠3【4】	4
135	2005	指示珠3【4】	4
136	2006	特射珠2【4】	4
137	2007	炮手珠2【4】	4
138	2008	植学珠2【4】	4
139	2009	地学珠2【4】	4
140	2010	环境珠2【4】	4
141	2011	沼渡珠2【4】	4
142	2012	标本珠2【4】	4
143	2013	鼓笛珠2【4】	4
144	2014	植学珠4【4】	4
145	2015	地学珠3【4】	4
146	2016	环境珠3【4】	4
147	2017	标本珠3【4】	4
148	2018	持续珠2【4】	4
149	2019	防御珠2【4】	4
150	2020	持续珠3【4】	4
151	2021	防御珠3【4】	4
152	2022	炮术珠2【4】	4
153	2023	防音珠2【4】	4
154	2024	防风珠2【4】	4
155	2025	攻击珠2【4】	4
156	2026	达人珠2【4】	4
157	2027	匠珠2【4】	4
158	2028	全开珠2【4】	4
159	2029	挑战珠2【4】	4
160	2030	底力珠2【4】	4
161	2031	逆上珠2【4】	4
162	2032	体术珠2【4】	4
163	2033	回避珠2【4】	4
164	2034	铁壁珠2【4】	4
165	2035	友爱珠2【4】	4
166	2036	夺气·体术珠【4】	4
167	2037	逆境·体术珠【4】	4
168	2038	绝路·体术珠【4】	4
169	2039	铁壁·体术珠【4】	4
170	2040	友爱·体术珠【4】	4
171	2041	节食·体术珠【4】	4
172	2042	投石·体术珠【4】	4
173	2043	耐属·体术珠【4】	4
174	2044	飞燕·体术珠【4】	4
175	2045	强走·体术珠【4】	4
176	2046	早气·体术珠【4】	4
177	2047	跳跃·体术珠【4】	4
178	2048	速纳·体术珠【4】	4
179	2049	快吃·体术珠【4】	4
180	2050	研磨·体术珠【4】	4
181	2051	爆师·体术珠【4】	4
182	2052	茸好·体术珠【4】	4
183	2053	滑走·体术珠【4】	4
184	2054	守势·体术珠【4】	4
185	2055	夺气·回避珠【4】	4
186	2056	逆境·回避珠【4】	4
187	2057	绝路·回避珠【4】	4
188	2058	铁壁·回避珠【4】	4
189	2059	友爱·回避珠【4】	4
190	2060	节食·回避珠【4】	4
191	2061	投石·回避珠【4】	4
192	2062	耐属·回避珠【4】	4
193	2063	飞燕·回避珠【4】	4
194	2064	强走·回避珠【4】	4
195	2065	早气·回避珠【4】	4
196	2066	跳跃·回避珠【4】	4
197	2067	速纳·回避珠【4】	4
198	2068	快吃·回避珠【4】	4
199	2069	研磨·回避珠【4】	4
200	2070	爆师·回避珠【4】	4
201	2071	茸好·回避珠【4】	4
202	2072	滑走·回避珠【4】	4
203	2073	守势·回避珠【4】	4
204	2074	夺气·攻击珠【4】	4
205	2075	逆境·攻击珠【4】	4
206	2076	绝路·攻击珠【4】	4
207	2077	铁壁·攻击珠【4】	4
208	2078	友爱·攻击珠【4】	4
209	2079	节食·攻击珠【4】	4
210	2080	投石·攻击珠【4】	4
211	2081	耐属·攻击珠【4】	4
212	2082	飞燕·攻击珠【4】	4
213	2083	强走·攻击珠【4】	4
214	2084	早气·攻击珠【4】	4
215	2085	跳跃·攻击珠【4】	4
216	2086	速纳·攻击珠【4】	4
217	2087	快吃·攻击珠【4】	4
218	2088	研磨·攻击珠【4】	4
219	2089	爆师·攻击珠【4】	4
220	2090	茸好·攻击珠【4】	4
221	2091	滑走·攻击珠【4】	4
222	2092	守势·攻击珠【4】	4
223	2093	夺气·达人珠【4】	4
224	2094	逆境·达人珠【4】	4
225	2095	绝路·达人珠【4】	4
226	2096	铁壁·达人珠【4】	4
227	2097	友爱·达人珠【4】	4
228	2098	节食·达人珠【4】	4
229	2099	投石·达人珠【4】	4
230	2100	耐属·达人珠【4】	4
231	2101	飞燕·达人珠【4】	4
232	2102	强走·达人珠【4】	4
233	2103	早气·达人珠【4】	4
234	2104	跳跃·达人珠【4】	4
235	2105	速纳·达人珠【4】	4
236	2106	快吃·达人珠【4】	4
237	2107	研磨·达人珠【4】	4
238	2108	爆师·达人珠【4】	4
239	2109	茸好·达人珠【4】	4
240	2110	滑走·达人珠【4】	4
241	2111	守势·达人珠【4】	4
242	2112	夺气·解放珠【4】	4
243	2113	逆境·解放珠【4】	4
244	2114	绝路·解放珠【4】	4
245	2115	铁壁·解放珠【4】	4
246	2116	友爱·解放珠【4】	4
247	2117	节食·解放珠【4】	4
248	2118	投石·解放珠【4】	4
249	2119	耐属·解放珠【4】	4
250	2120	飞燕·解放珠【4】	4
251	2121	强走·解放珠【4】	4
252	2122	早气·解放珠【4】	4
253	2123	跳跃·解放珠【4】	4
254	2124	速纳·解放珠【4】	4
255	2125	快吃·解放珠【4】	4
256	2126	研磨·解放珠【4】	4
257	2127	爆师·解放珠【4】	4
258	2128	茸好·解放珠【4】	4
259	2129	滑走·解放珠【4】	4
260	2130	守势·解放珠【4】	4
261	2131	夺气·匠珠【4】	4
262	2132	逆境·匠珠【4】	4
263	2133	绝路·匠珠【4】	4
264	2134	铁壁·匠珠【4】	4
265	2135	友爱·匠珠【4】	4
266	2136	节食·匠珠【4】	4
267	2137	投石·匠珠【4】	4
268	2138	耐属·匠珠【4】	4
269	2139	飞燕·匠珠【4】	4
270	2140	强走·匠珠【4】	4
271	2141	早气·匠珠【4】	4
272	2142	跳跃·匠珠【4】	4
273	2143	速纳·匠珠【4】	4
274	2144	快吃·匠珠【4】	4
275	2145	研磨·匠珠【4】	4
276	2146	爆师·匠珠【4】	4
277	2147	茸好·匠珠【4】	4
278	2148	滑走·匠珠【4】	4
279	2149	守势·匠珠【4】	4
280	2150	耐震·加护珠【4】	4
281	2151	缩短·加护珠【4】	4
282	2152	昂扬·加护珠【4】	4
283	2153	重击·加护珠【4】	4
284	2154	击晕·加护珠【4】	4
285	2155	底力·加护珠【4】	4
286	2156	防风·加护珠【4】	4
287	2157	拔刀·加护珠【4】	4
288	2158	全开·加护珠【4】	4
289	2159	挑战·加护珠【4】	4
290	2160	无伤·加护珠【4】	4
291	2161	逆上·加护珠【4】	4
292	2162	浑身·加护珠【4】	4
293	2163	耐冲·加护珠【4】	4
294	2164	转福·加护珠【4】	4
295	2165	防音·加护珠【4】	4
296	2166	超心·加护珠【4】	4
297	2167	痛击·加护珠【4】	4
298	2168	匠·加护珠【4】	4
299	2169	解放·加护珠【4】	4
300	2170	耐震·治愈珠【4】	4
301	2171	缩短·治愈珠【4】	4
302	2172	昂扬·治愈珠【4】	4
303	2173	重击·治愈珠【4】	4
304	2174	击晕·治愈珠【4】	4
305	2175	底力·治愈珠【4】	4
306	2176	防风·治愈珠【4】	4
307	2177	拔刀·治愈珠【4】	4
308	2178	全开·治愈珠【4】	4
309	2179	挑战·治愈珠【4】	4
310	2180	无伤·治愈珠【4】	4
311	2181	逆上·治愈珠【4】	4
312	2182	浑身·治愈珠【4】	4
313	2183	耐冲·治愈珠【4】	4
314	2184	转福·治愈珠【4】	4
315	2185	防音·治愈珠【4】	4
316	2186	超心·治愈珠【4】	4
317	2187	痛击·治愈珠【4】	4
318	2188	匠·治愈珠【4】	4
319	2189	解放·治愈珠【4】	4
320	2190	耐震·体力珠【4】	4
321	2191	缩短·体力珠【4】	4
322	2192	昂扬·体力珠【4】	4
323	2193	重击·体力珠【4】	4
324	2194	击晕·体力珠【4】	4
325	2195	底力·体力珠【4】	4
326	2196	防风·体力珠【4】	4
327	2197	拔刀·体力珠【4】	4
328	2198	全开·体力珠【4】	4
329	2199	挑战·体力珠【4】	4
330	2200	无伤·体力珠【4】	4
331	2201	逆上·体力珠【4】	4
332	2202	浑身·体力珠【4】	4
333	2203	耐冲·体力珠【4】	4
334	2204	转福·体力珠【4】	4
335	2205	防音·体力珠【4】	4
336	2206	超心·体力珠【4】	4
337	2207	痛击·体力珠【4】	4
338	2208	匠·体力珠【4】	4
339	2209	解放·体力珠【4】	4
340	2210	耐震·整备珠【4】	4
341	2211	缩短·整备珠【4】	4
342	2212	昂扬·整备珠【4】	4
343	2213	重击·整备珠【4】	4
344	2214	击晕·整备珠【4】	4
345	2215	底力·整备珠【4】	4
346	2216	防风·整备珠【4】	4
347	2217	拔刀·整备珠【4】	4
348	2218	全开·整备珠【4】	4
349	2219	挑战·整备珠【4】	4
350	2220	无伤·整备珠【4】	4
351	2221	逆上·整备珠【4】	4
352	2222	浑身·整备珠【4】	4
353	2223	耐冲·整备珠【4】	4
354	2224	转福·整备珠【4】	4
355	2225	防音·整备珠【4】	4
356	2226	超心·整备珠【4】	4
357	2227	痛击·整备珠【4】	4
358	2228	匠·整备珠【4】	4
359	2229	解放·整备珠【4】	4
360	2230	耐震·体术珠【4】	4
361	2231	缩短·体术珠【4】	4
362	2232	昂扬·体术珠【4】	4
363	2233	重击·体术珠【4】	4
364	2234	击晕·体术珠【4】	4
365	2235	底力·体术珠【4】	4
366	2236	防风·体术珠【4】	4
367	2237	拔刀·体术珠【4】	4
368	2238	全开·体术珠【4】	4
369	2239	挑战·体术珠【4】	4
370	2240	无伤·体术珠【4】	4
371	2241	逆上·体术珠【4】	4
372	2242	浑身·体术珠【4】	4
373	2243	耐冲·体术珠【4】	4
374	2244	转福·体术珠【4】	4
375	2245	防音·体术珠【4】	4
376	2246	超心·体术珠【4】	4
377	2247	痛击·体术珠【4】	4
378	2248	匠·体术珠【4】	4
379	2249	解放·体术珠【4】	4
380	2250	耐震·回避珠【4】	4
381	2251	缩短·回避珠【4】	4
382	2252	昂扬·回避珠【4】	4
383	2253	重击·回避珠【4】	4
384	2254	击晕·回避珠【4】	4
385	2255	底力·回避珠【4】	4
386	2256	防风·回避珠【4】	4
387	2257	拔刀·回避珠【4】	4
388	2258	全开·回避珠【4】	4
389	2259	挑战·回避珠【4】	4
390	2260	无伤·回避珠【4】	4
391	2261	逆上·回避珠【4】	4
392	2262	浑身·回避珠【4】	4
393	2263	耐冲·回避珠【4】	4
394	2264	转福·回避珠【4】	4
395	2265	防音·回避珠【4】	4
396	2266	超心·回避珠【4】	4
397	2267	痛击·回避珠【4】	4
398	2268	匠·回避珠【4】	4
399	2269	解放·回避珠【4】	4
400	2272	耐寒珠【2】	2
