猎虫ID	猎虫代码	猎虫名称	模型地址
46	ROD_INSECT_046_NAME	多伦奇塔虫2	mus018
47	ROD_INSECT_047_NAME	多伦奇塔虫3	mus018
48	ROD_INSECT_048_NAME	艾尔若阿尼亚虫1	mus019
49	ROD_INSECT_049_NAME	艾尔若阿尼亚虫2	mus019
50	ROD_INSECT_050_NAME	艾尔若阿尼亚虫3	mus019
51	ROD_INSECT_051_NAME	加尔黑尔虫1	mus020
52	ROD_INSECT_052_NAME	加尔黑尔虫2	mus020
53	ROD_INSECT_053_NAME	加尔黑尔虫3	mus020
54	ROD_INSECT_054_NAME	梅巴奇尔虫1	mus021
55	ROD_INSECT_055_NAME	梅巴奇尔虫2	mus021
56	ROD_INSECT_056_NAME	梅巴奇尔虫3	mus021
57	ROD_INSECT_057_NAME	梵里艾尔虫1	mus022
58	ROD_INSECT_058_NAME	梵里艾尔虫2	mus022
59	ROD_INSECT_059_NAME	梵里艾尔虫3	mus022
60	ROD_INSECT_190_NAME	龙魂虫	mus023
61	ROD_INSECT_191_NAME	龙魂虫·真	mus023
62	ROD_INSECT_060_NAME	齿钳锹形虫1·速	mus024
63	ROD_INSECT_061_NAME	齿钳锹形虫2·速	mus024
64	ROD_INSECT_062_NAME	齿钳锹形虫3·速	mus024
65	ROD_INSECT_063_NAME	齿钳锹形虫1·攻	mus024
66	ROD_INSECT_064_NAME	齿钳锹形虫2·攻	mus024
67	ROD_INSECT_065_NAME	齿钳锹形虫3·攻	mus024
68	ROD_INSECT_066_NAME	咒缚天牛1·速	mus025
69	ROD_INSECT_067_NAME	咒缚天牛2·速	mus025
70	ROD_INSECT_068_NAME	咒缚天牛3·速	mus025
71	ROD_INSECT_069_NAME	咒缚天牛1·攻	mus025
72	ROD_INSECT_070_NAME	咒缚天牛2·攻	mus025
73	ROD_INSECT_071_NAME	咒缚天牛3·攻	mus025
74	ROD_INSECT_072_NAME	西纳托红枫虫1·愈	mus026
75	ROD_INSECT_073_NAME	西纳托红枫虫2·愈	mus026
76	ROD_INSECT_074_NAME	西纳托红枫虫3·愈	mus026
77	ROD_INSECT_075_NAME	西纳托红枫虫1·攻	mus026
78	ROD_INSECT_076_NAME	西纳托红枫虫2·攻	mus026
79	ROD_INSECT_077_NAME	西纳托红枫虫3·攻	mus026
80	ROD_INSECT_078_NAME	金光圣甲虫1	mus002
81	ROD_INSECT_079_NAME	金光圣甲虫2	mus002
82	ROD_INSECT_080_NAME	金光圣甲虫3	mus002
83	ROD_INSECT_081_NAME	光辉独角仙1·速	mus027
84	ROD_INSECT_082_NAME	光辉独角仙2·速	mus027
85	ROD_INSECT_083_NAME	光辉独角仙3·速	mus027
86	ROD_INSECT_084_NAME	光辉独角仙1·愈	mus027
87	ROD_INSECT_085_NAME	光辉独角仙2·愈	mus027
88	ROD_INSECT_086_NAME	光辉独角仙3·愈	mus027
89	ROD_INSECT_087_NAME	爱心巨虫1·攻	mus028
90	ROD_INSECT_088_NAME	爱心巨虫2·攻	mus028
91	ROD_INSECT_089_NAME	爱心巨虫3·攻	mus028
92	ROD_INSECT_090_NAME	爱心巨虫1·速	mus028
93	ROD_INSECT_091_NAME	爱心巨虫2·速	mus028
94	ROD_INSECT_092_NAME	爱心巨虫3·速	mus028
95	ROD_INSECT_093_NAME	弹头雀蛾1·攻	mus029
96	ROD_INSECT_094_NAME	弹头雀蛾2·攻	mus029
97	ROD_INSECT_095_NAME	弹头雀蛾3·攻	mus029
98	ROD_INSECT_096_NAME	弹头雀蛾1·愈	mus029
99	ROD_INSECT_097_NAME	弹头雀蛾2·愈	mus029
100	ROD_INSECT_098_NAME	弹头雀蛾3·愈	mus029
101	ROD_INSECT_099_NAME	恐惧银色金龟子1	mus013
102	ROD_INSECT_100_NAME	恐惧银色金龟子2	mus013
103	ROD_INSECT_101_NAME	恐惧银色金龟子3	mus013
104	ROD_INSECT_192_NAME	龙魂虫·极	mus023
