食材代码	食材名称	食材介绍
FISH_14_ID	咬鱼的下巴	鱼类食材，容易发动[热血]系用餐技能。需要仔细烧烤，风味绝佳。
FISH_15_ID	咬鱼的肝	鱼类食材，容易发动[热血]系用餐技能。含有大量良性脂肪，非常美味。
FISH_16_ID	将军鲣鱼	鱼类食材，容易发动[热血]系用餐技能。全身花纹宛如甲胄的了不起的鱼。
FISH_17_ID	红莲鲷	鱼类食材，容易发动[热血]系用餐技能。有如燃烧般赤红，特征鲜明的高级食材。
FISH_18_ID	仰背虾	鱼类食材，容易发动[智囊]系用餐技能。背部弯曲的特色鲜明的甲壳类。不易食用。
FISH_19_ID	铠甲蟹	鱼类食材，容易发动[智囊]系用餐技能。身披铠甲般硬壳的甲壳类。
FISH_20_ID	珊瑚虾	鱼类食材，容易发动[智囊]系用餐技能。外观呈美丽的樱花色，小型的甲壳类。
FISH_21_ID	要塞蟹	鱼类食材，容易发动[智囊]系用餐技能。壳与贝类共生，让身体看起来更显得庞大。
FISH_22_ID	女王虾	鱼类食材，容易发动[智囊]系用餐技能。称霸族群的女王虾。
FISH_23_ID	千年蟹	鱼类食材，容易发动[智囊]系用餐技能。据说活了上千年的厉害螃蟹。
FISH_24_ID	骨章鱼	鱼类食材，容易发动[烟火师]系用餐技能。口感如骨头般硬实带有嚼劲的食材。
FISH_25_ID	粉红鱼子酱	鱼类食材，容易发动[烟火师]系用餐技能。闪耀鲜艳粉红色的盐渍鱼卵。
FISH_26_ID	百合乌贼	鱼类食材，容易发动[烟火师]系用餐技能。似乎会带来出乎意料的灵感。
FISH_27_ID	章鱼祭典	鱼类食材，容易发动[烟火师]系用餐技能。烹饪后会呈现如跳舞般的扭曲形状。
FISH_28_ID	灵魂鱼子酱	鱼类食材，容易发动[烟火师]系用餐技能。美味足以震撼灵魂的鱼类珍馐。
FISH_29_ID	大王乌贼	鱼类食材，容易发动[烟火师]系用餐技能。压倒性的巨型尺寸，不辱大王名号的食材。
VEGE_00_ID	主厨芹	蔬菜类食材，容易发动[勇敢]系用餐技能。风味独特，令人不禁食指大动。
VEGE_01_ID	鬼洋葱	蔬菜类食材，容易发动[勇敢]系用餐技能。生吃的话，有着连鬼都会掉泪的刺激。
VEGE_02_ID	大颗仙人掌	蔬菜类食材，容易发动[勇敢]系用餐技能。既大颗又满满的果肉。
VEGE_03_ID	龙花果	蔬菜类食材，容易发动[勇敢]系用餐技能。坚硬度可比龙的鳞片的花。
VEGE_04_ID	国王仙人掌	蔬菜类食材，容易发动[勇敢]系用餐技能。品质配得上国王之名的植物。
VEGE_05_ID	霜降蕃茄	蔬菜类食材，容易发动[勇敢]系用餐技能。一口咬下甜汁满溢的最高级蕃茄。
VEGE_06_ID	坚牢蜀黍	蔬菜类食材，容易发动[忍耐]系用餐技能。光剥皮就让人累得半死的蔬菜。
VEGE_07_ID	坚定土豆	蔬菜类食材，容易发动[忍耐]系用餐技能。根部抓地力强，收获时就很辛苦。
VEGE_08_ID	严选茸菇	蔬菜类食材，容易发动[忍耐]系用餐技能。连料理人都会赞不绝口的优质蘑菇。
VEGE_09_ID	月夜菌	蔬菜类食材，容易发动[忍耐]系用餐技能。散发出月光般淡淡光芒的茸菇。
VEGE_10_ID	灵光茸菇	蔬菜类食材，容易发动[忍耐]系用餐技能。环绕着幻想般的光辉的蘑菇。
VEGE_11_ID	土笋	蔬菜类食材，容易发动[忍耐]系用餐技能。由于难得一见，曾被称为梦幻食材。
VEGE_12_ID	土堤南瓜	蔬菜类食材，容易发动[热血]系用餐技能。沉甸甸硕大的南瓜，至于味道嘛……
VEGE_13_ID	棍棒葱	蔬菜类食材，容易发动[热血]系用餐技能。特色是如其名般的粗野外型以及辛辣的口感。
VEGE_14_ID	亮光花	蔬菜类食材，容易发动[热血]系用餐技能。散发的花香，令人想起枝叶间洒落的阳光。
VEGE_15_ID	百阳草	蔬菜类食材，容易发动[热血]系用餐技能。据说可以治疗百病的植物。
VEGE_16_ID	黄金花	蔬菜类食材，容易发动[热血]系用餐技能。美丽到被喻为黄金般的鲜花。
VEGE_17_ID	帝王松露	蔬菜类食材，容易发动[热血]系用餐技能。只在料理里加入一些，就会洋溢着幸福的香气。
VEGE_18_ID	五香芹菜	蔬菜类食材，容易发动[智囊]系用餐技能。香气会随调理方式变化的食材。
VEGE_19_ID	七彩甜椒	蔬菜类食材，容易发动[智囊]系用餐技能。色彩会随调理方式变化的食材。
VEGE_20_ID	瘴气果实	蔬菜类食材，容易发动[智囊]系用餐技能。在严苛环境下依然坚强成长的果实。
VEGE_21_ID	天堂莓果	蔬菜类食材，容易发动[智囊]系用餐技能。味道刺激，会令食用者有升天感觉的植物。
VEGE_22_ID	彼岸的果实	蔬菜类食材，容易发动[智囊]系用餐技能。散发出的香气，彷佛不属于这世界的果实。
VEGE_23_ID	百万卷心菜	蔬菜类食材，容易发动[智囊]系用餐技能。叶片异于常理的重迭造就出如奇迹般的口感。
VEGE_24_ID	怪鸟豆	蔬菜类食材，容易发动[烟火师]系用餐技能。有时会混入辣度足以令人喷火的果实。
VEGE_25_ID	炎熟芒果	蔬菜类食材，容易发动[烟火师]系用餐技能。收获后依然保有温度，会急速持续成熟。
VEGE_26_ID	岩石果	蔬菜类食材，容易发动[烟火师]系用餐技能。外皮如岩石般坚硬的植物食材。
VEGE_27_ID	热带菠萝	蔬菜类食材，容易发动[烟火师]系用餐技能。不易种植的热带水果。
VEGE_28_ID	狂野水果	蔬菜类食材，容易发动[烟火师]系用餐技能。老饕喜爱的狂野味道。
VEGE_29_ID	绿宝石榴莲	蔬菜类食材，容易发动[烟火师]系用餐技能。被喻为有如闪耀着绿色宝石般的稀有果实。
LIQUOR_00_ID	泥芋酒	酒类，容易发动[眼力]系用餐技能。注意别喝到烂醉。
LIQUOR_01_ID	龙酒	酒类，容易发动[眼力]系用餐技能。连龙都会醉倒的烈酒。
LIQUOR_02_ID	鬼芋酒	酒类，容易发动[眼力]系用餐技能。连鬼都赞不绝口的呛辣好酒。
LIQUOR_03_ID	龙琥珀酒	酒类，容易发动[眼力]系用餐技能。熟成后的香气和层次丰富的味道广受欢迎。
LIQUOR_04_ID	黄金芋酒	酒类，容易发动[眼力]系用餐技能。难以入手的梦幻之酒。
LIQUOR_05_ID	大吟酿·屠龙	酒类，容易发动[眼力]系用餐技能。经过工匠长年研究与酿造后，所制出的顶级成品。
LIQUOR_06_ID	猎人啤酒	酒类，容易发动[运气]系用餐技能。狩猎之后一定要来一杯！
LIQUOR_07_ID	星星白兰地	酒类，容易发动[运气]系用餐技能。带有调查团认证推荐的星星标记的酒。
LIQUOR_08_ID	达人啤酒	酒类，容易发动[运气]系用餐技能。味道层次丰富，老饕喜爱的黑啤酒！
LIQUOR_09_ID	火龙威士忌	酒类，容易发动[运气]系用餐技能。在以火龙吐息烧焦的圆木桶里，熟成过的名酒。
LIQUOR_10_ID	星辰啤酒	酒类，容易发动[运气]系用餐技能。在调查据点制作的当地啤酒，适合用来庆功。
LIQUOR_11_ID	吐息酒	酒类，容易发动[运气]系用餐技能。“一辈子至少想喝一次看看的葡萄酒”排行榜第一名。
LIQUOR_12_ID	猛角药膳酒	酒类食材，容易发动《旅行准备》体系料理技能。使用了以永霜冻土生物的角制成的生药。
LIQUOR_13_ID	幸运龙舌兰酒	酒类食材，容易发动《旅行准备》体系料理技能。祈祷旅途幸运，吉祥的酒。
LIQUOR_14_ID	款冬酒	酒类食材，容易发动《旅行准备》体系料理技能。浸入特产的款冬花芽，具滋养强壮之效。
LIQUOR_15_ID	特浓蜂蜜酒	酒类食材，容易发动《旅行准备》体系料理技能。严选天然素材，彻底温暖身体。
LIQUOR_16_ID	魔女苹果酒	酒类食材，容易发动《旅行准备》体系料理技能。甜美又妖艳的香味，有如魔女的诱惑。
LIQUOR_17_ID	疯狂龙舌兰酒	酒类食材，容易发动《旅行准备》体系料理技能。勇敢猎人测试勇气时饮用的，让人陷入疯狂的酒。
LIQUOR_18_ID	冰柱伏特加	酒类食材，容易发动《开拓者》体系料理技能。在伏特加中豪爽加入冰柱的自信作品。
LIQUOR_19_ID	快乐龙舌兰酒	酒类食材，容易发动《开拓者》体系料理技能。在祝贺狩猎成功等宴席上，用于干杯的酒。
LIQUOR_20_ID	融雪高球鸡尾酒	酒类食材，容易发动《开拓者》体系料理技能。融雪给人以爽快感，最适合修复人际关系的一杯酒。
LIQUOR_21_ID	银岭高球鸡尾酒	酒类食材，容易发动《开拓者》体系料理技能。使用闪耀银色的超高硬度的冰块，奢侈的一杯酒。
LIQUOR_22_ID	水晶高球鸡尾酒	酒类食材，容易发动《开拓者》体系料理技能。杯中像是只有气泡漂浮，澄净的一杯酒。
LIQUOR_23_ID	灼炎生命之水	酒类食材，容易发动《开拓者》体系料理技能。只要喝下一口，身体就会变得炽热。
