武器ID	武器名称	模型地址
58	洛克飛彈α	otomo/wp/ot_we035
59	HARDUMMY	otomo/wp/ot_we036
60	蒼星貓指揮	otomo/wp/ot_we037
61	金陸行鳥手杖α	otomo/wp/ot_we038
62	武者貓的太刀α	otomo/wp/ot_we039
63	燕尾蝶貓杖	otomo/wp/ot_we040
64	阿羅哈貓烏克麗麗	otomo/wp/ot_we041
65	幽靈貓燈	otomo/wp/ot_we042
66	雪貓鈴	otomo/wp/ot_we043
67	巨星貓杖	otomo/wp/ot_we044
68	燕尾蝶貓杖α	otomo/wp/ot_we040
69	阿羅哈貓烏克麗麗α	otomo/wp/ot_we041
70	幽靈貓燈α	otomo/wp/ot_we042
71	雪貓鈴α	otomo/wp/ot_we043
72	巨星貓杖α	otomo/wp/ot_we044
110	精英·探索貓錐α	otomo/wp/ot_we060
111	精英·骨製貓大錘α	otomo/wp/ot_we028
112	精英·鐵製貓長刀α	otomo/wp/ot_we029
113	精英·凶豺龍貓銃槌α	otomo/wp/ot_we002
114	精英·搔鳥貓烏德琴α	otomo/wp/ot_we003
115	精英·毒妖鳥貓弓α	otomo/wp/ot_we004
116	精英·土砂龍貓鏈錘α	otomo/wp/ot_we005
117	精英·泥魚龍貓劍α	otomo/wp/ot_we006
118	精英·冰魚龍貓雪板α	otomo/wp/ot_we051
119	精英·飛雷龍貓叉α	otomo/wp/ot_we007
120	精英·猛牛龍貓人偶α	otomo/wp/ot_we052
121	精英·蠻顎龍貓骨槌α	otomo/wp/ot_we008
122	精英·雌火龍貓細劍α	otomo/wp/ot_we009
123	精英·浮空龍貓肉球α	otomo/wp/ot_we011
124	精英·骨鎚龍貓球α	otomo/wp/ot_we013
125	精英·鈴蘭貓杖α	otomo/wp/ot_we030
126	精英·死神貓鐮刀α	otomo/wp/ot_we027
127	精英·冰牙龍貓料理刀α	otomo/wp/ot_we046
128	精英·火龍貓劍α	otomo/wp/ot_we016
129	精英·角龍貓大錘α	otomo/wp/ot_we017
130	精英·風漂龍貓劍α	otomo/wp/ot_we012
131	精英·慘爪龍貓鐮鎖α	otomo/wp/ot_we014
132	精英·熔岩龍貓鏈錘α	otomo/wp/ot_we020
133	精英·爆鎚貓鐵塊α	otomo/wp/ot_we021
134	精英·迅龍貓飛鏢α	otomo/wp/ot_we047
135	精英·灼炎之喵劍α	otomo/wp/ot_we048
136	精英·爆碎貓拳α	otomo/wp/ot_we049
137	精英·轟龍貓轟錘α	otomo/wp/ot_we050
138	精英·霜漂貓劍α	otomo/wp/ot_we056
139	精英·機械貓圓盤α	otomo/wp/ot_we061
140	精英·奇面貓石器α	otomo/wp/ot_we031
141	精英·獸纏族貓骨槌α	otomo/wp/ot_we062
142	精英·雪崩貓長槍α	otomo/wp/ot_we053
143	精英·矜持貓錘α	otomo/wp/ot_we059
144	精英·死滅貓權杖α	otomo/wp/ot_we057
145	精英·觸角貓杖α	otomo/wp/ot_we054
146	精英·帝王貓鎧甲α	otomo/wp/ot_we022
147	精英·貓魔杖＝寒風α	otomo/wp/ot_we023
148	精英·神貓劍雷鳴閃α	otomo/wp/ot_we018
149	精英·迦樓羅貓寶珠α	otomo/wp/ot_we055
150	精英·狂紋貓爪α	otomo/wp/ot_we058
151	精英·強欲貓骨鎚α	otomo/wp/ot_we069
152	精英·貓飛龍刀【綠】α	otomo/wp/ot_we072
153	精英·黑狼鳥貓羽扇α	otomo/wp/ot_we064
154	精英·王貓劍雷鳴α	otomo/wp/ot_we065
155	精英·馬格達貓傀儡α	otomo/wp/ot_we019
156	精英·金色貓機械人偶α	otomo/wp/ot_we066
157	精英·齊天貓如意棒α	otomo/wp/ot_we071
158	精英·爆碎貓拳α	otomo/wp/ot_we070
159	精英‧赤龍貓封槍α	otomo/wp/ot_we067
160	精英·煌黑龍貓鐮刀α	otomo/wp/ot_we068
161	精英·伊麗莎貓陽傘α	otomo/wp/ot_we034
162	精英‧絢輝龍貓扇α	otomo/wp/ot_we025
163	精英‧洛克飛彈α	otomo/wp/ot_we035
164	精英‧金陸行鳥手杖α	otomo/wp/ot_we038
165	HARDUMMY	otomo/wp/ot_we037
166	HARDUMMY	otomo/wp/ot_we036
167	精英‧武者貓的太刀α	otomo/wp/ot_we039
168	精英‧燕尾蝶貓杖α	otomo/wp/ot_we040
169	精英·阿羅哈貓烏克麗麗α	otomo/wp/ot_we041
170	橡子貓鏟	otomo/wp/ot_we000
171	精英‧雪貓鈴α	otomo/wp/ot_we043
172	精英‧巨星貓杖α	otomo/wp/ot_we044
173	精英‧橡子貓鏟α	otomo/wp/ot_we001
174	精英‧爆鱗龍貓鏈錘α	otomo/wp/ot_we026
175	精英‧殘虐貓暴鎚α	otomo/wp/ot_we033
176	精英‧戰紋貓大錘α	otomo/wp/ot_we010
177	精英‧烏爾德貓劍α	otomo/wp/ot_we015
178	精英‧異國貓花束α	otomo/wp/ot_we024
179	精英·公會貓書籍α	otomo/wp/ot_we063
180	精英‧薔薇貓籃α	otomo/wp/ot_we075
181	精英·毒妖鳥玩偶貓喇叭α	otomo/wp/ot_we076
182	橡子貓鏟	otomo/wp/ot_we000
183	精英‧獅子舞貓燈α	otomo/wp/ot_we078
184	精英‧宇宙貓機械α	otomo/wp/ot_we079
185	橡子貓鏟	otomo/wp/ot_we000
186	橡子貓鏟	otomo/wp/ot_we000
187	橡子貓鏟	otomo/wp/ot_we000
188	HARDUMMY	otomo/wp/ot_we080
189	HARDUMMY	otomo/wp/ot_we081
190	精英·搖曳貓珊瑚α	otomo/wp/ot_we082
191	獸纏族骨槌	otomo/wp/ot_we062
192	精英·霜刃冰牙貓佩劍α	otomo/wp/ot_we083
193	橡子貓鏟	otomo/wp/ot_we000
194	橡子貓鏟	otomo/wp/ot_we000
195	精英‧巨匠貓指揮棒α	otomo/wp/ot_we085
196	精英‧野生貓錐α	otomo/wp/ot_we086
197	精英‧怪物的咒杖α	otomo/wp/ot_we073
198	橡子貓鏟	otomo/wp/ot_we000
199	橡子貓鏟	otomo/wp/ot_we000
200	橡子貓鏟	otomo/wp/ot_we000
