成就ID	成就名称	成就要求
061	宿命的結局	在聚魔之地討伐殲世滅盡龍，解放了Master Rank上限限制。
062	調查達人	在永霜凍土所有營地設營。
063	治癒之源	在自然的溫泉中獲得治癒。
064	飛翔爪使用者	接受飛翔爪指南，習得新的狩獵術。
065	金色耀眼	在永霜凍土捕捉到金色耀眼的生物。
066	指示者	捕捉到似乎在指示著什麼的生物。
067	演奏美妙旋律	捕捉到演奏美妙旋律的生物。
068	潛伏水面下之神秘	捕捉到潛伏水面下之神秘生物。
069	浮空虛幻	捕捉到浮空虛幻的生物。
070	挖掘大地為生	捕捉到以挖掘大地為生的生物。
071	善於在各地挖掘為生	首次捕捉到善於在各地挖掘為生的生物。
072	耐受一切之守護	獲得５種非常珍貴的防具。
073	擊退萬物之攻勢	獲得５種非常珍貴的武器。
074	自豪的裝飾	首次裝備飾物。
075	駕馭新手	首次駕馭魔物。
076	駕馭熟手	駕馭許多魔物。
077	新手收藏家	首次獲得寶物。
078	老手收藏家	獲得任何原野的所有寶物。
079	究極收藏家	獲得所有寶物。
080	轉換心情	首次變更設計。
081	充滿愛的收藏品	可選擇的家具超過５０種。
082	自豪的收藏品	可選擇的家具超過１２０種。
083	積極工作的技師	協助蒸氣機關管理所２０次。
084	可靠的高明技師	讓蒸氣機關管理所發生蒸氣力極限突破。
085	另一個迷你皇冠	在Master Rank任務或探索中，首次捕捉到最小冠的環境生物。
086	另一個巨大皇冠	在Master Rank任務或探索中，首次捕捉到金冠的環境生物。
087	觀察紀錄世界之入門	首次完成獸人族學者的觀察委託。
088	一流的觀察紀錄師	完成許多獸人族學者的觀察委託。
089	互相幫助的精神	以Master Rank獵人的身分，協助初階、進階獵人１０次任務。
090	師中大師	邁入Master Rank 200。
091	魔物大博士	幾乎所有大型魔物之研究等級都達到MAX。
092	真正的迷你皇冠收集者	狩獵記錄中幾乎所有魔物都取得了最小冠。
093	真正的巨大皇冠收集者	狩獵記錄中幾乎所有魔物都取得了金冠。
094	深入狩獵造詣之序幕	首次狩獵Master Rank任務之大型魔物。
095	狩獵之化身	在Master Rank任務中狩獵了１００頭大型魔物。
096	喜好捕獲之謀士	在Master Rank任務中捕獲了５０頭大型魔物。
097	討伐之匠	在Master Rank任務中討伐了５０頭古龍。
098	與不尋常之物對峙	首次狩獵特殊個體。
099	絕壁超越者	狩獵了３０頭特殊個體。
