NPC代码	NPC名称	模型地址
N610_NPC_NAME	加工屋的徒弟	npc610
N611_NPC_NAME	植生研究所所長	npc611
N612_NPC_NAME	熱情的生物調查員	npc612
N613_NPC_NAME	老練的獸人族學者	npc613
N251_NPC_NAME	調查員	npc251
N252_NPC_NAME	調查員	npc252
N253_NPC_NAME	調查員	npc253
N254_NPC_NAME	調查員	npc254
N255_NPC_NAME	調查員	npc255
N256_NPC_NAME	調查員	npc256
N257_NPC_NAME	調查員	npc257
N258_NPC_NAME	調查員	npc258
N301_NPC_NAME	集會區域的接待員	npc301
N302_NPC_NAME	鬥技場的接待員	npc302
N303_NPC_NAME	集會區域補給物資的人	npc303
N304_NPC_NAME	活動的接待員	npc304
N305_NPC_NAME	配膳艾路	npc305
N307_NPC_NAME	配膳艾路	npc307
N701_NPC_NAME	月辰的料理長	npc701
N702_NPC_NAME	月辰的補給物資負責人	npc702
N703_NPC_NAME	月辰的神秘鍊金負責人	npc703
N704_NPC_NAME	月辰的船員	npc704
N706_NPC_NAME	月辰的武器店	npc706
N707_NPC_NAME	管家	npc707
N708_NPC_NAME	酒場的活動接待員	npc708
N709_NPC_NAME	酒場的鬥技場接待員	npc709
N710_NPC_NAME	酒場的接待員	npc710
N711_NPC_NAME	酒場的補給物資負責人	npc711
N712_NPC_NAME	積雪處的古代龍人	npc712
N713_NPC_NAME	酒場的調查資源管理負責人	npc713
N714_NPC_NAME	酒場的船員	npc714
N715_NPC_NAME	管家	npc715
N730_NPC_NAME	助理艾路	npc730
N731_NPC_NAME	助理艾路	npc731
N732_NPC_NAME	熱心助人的第五期團員	npc732
N741_NPC_NAME	野心勃勃的第四期團員	npc741
N743_NPC_NAME	沉穩可靠的第五期團員	npc743
N749_NPC_NAME	熱情的生物學者	npc749
N754_NPC_NAME	調查員	npc754
N755_NPC_NAME	配膳艾路	npc755
N756_NPC_NAME	配膳艾路	npc756
N757_NPC_NAME	調查員	npc757
N758_NPC_NAME	調查員	npc758
N759_NPC_NAME	調查員	npc759
N760_NPC_NAME	調查員	npc760
N761_NPC_NAME	調查員	npc761
N762_NPC_NAME	調查員	npc762
N763_NPC_NAME	調查員	npc763
N764_NPC_NAME	士氣高昂的第四期團員	npc764
N765_NPC_NAME	勇於嘗鮮的第五期團員	npc765
N766_NPC_NAME	興趣多元的第四期團員	npc766
N767_NPC_NAME	急性子的第五期團員	npc767
N781_NPC_NAME	加工屋的大徒弟	npc781
N782_NPC_NAME	生態研究所的副所長	npc782
N785_NPC_NAME	將軍	npc785
N786_NPC_NAME	將軍的部下	npc786
N787_NPC_NAME	將軍的部下	npc787
N792_NPC_NAME	加工屋幫手	npc792
N793_NPC_NAME	基地的調查資源管理負責人	npc793
N788_NPC_NAME	阿提蜜絲	npc788
HUNTER_00_NAME	新手獵人	
HUNTER_01_NAME	生澀獵人	
HUNTER_02_NAME	年輕獵人	
HUNTER_03_NAME	見習獵人	
HUNTER_04_NAME	一般獵人	
HUNTER_05_NAME	中堅獵人	
HUNTER_06_NAME	堅實獵人	
HUNTER_07_NAME	熱血獵人	
HUNTER_08_NAME	資深獵人	
HUNTER_09_NAME	一流獵人	
HUNTER_10_NAME	流浪獵人	
HUNTER_11_NAME	孤高獵人	
OTOMO_00_NAME	亞瑟	
OTOMO_01_NAME	亞蒙德	
OTOMO_02_NAME	阿波羅	
OTOMO_03_NAME	輝	
OTOMO_04_NAME	泉	
OTOMO_05_NAME	烏冬	
OTOMO_06_NAME	麻糬	
OTOMO_07_NAME	加魯泰	
OTOMO_08_NAME	基德	
OTOMO_09_NAME	慶	
OTOMO_10_NAME	可可亞	
OTOMO_11_NAME	小次郎	
OTOMO_12_NAME	科登	
OTOMO_13_NAME	賽門	
OTOMO_14_NAME	佐助	
OTOMO_15_NAME	札克	
OTOMO_16_NAME	傑特	
OTOMO_17_NAME	茉莉	
OTOMO_18_NAME	十兵衛	
OTOMO_19_NAME	翔	
OTOMO_20_NAME	自來也	
OTOMO_21_NAME	白瀧	
OTOMO_22_NAME	金格	
OTOMO_23_NAME	史考特	
OTOMO_24_NAME	史派克	
OTOMO_25_NAME	塞巴斯蒂安	
OTOMO_26_NAME	積木	
OTOMO_27_NAME	德夫	
OTOMO_28_NAME	漢卓	
OTOMO_29_NAME	彼特	
OTOMO_30_NAME	皮克	
OTOMO_31_NAME	貝爾	
OTOMO_32_NAME	弁慶	
OTOMO_33_NAME	政宗	
OTOMO_34_NAME	密斯堤	
OTOMO_35_NAME	武藏	
OTOMO_36_NAME	小桃	
OTOMO_37_NAME	露西	
OTOMO_38_NAME	洛克	
OTOMO_39_NAME	羅伯	
