食材代码	食材名称	食材介绍
MEAT_28_ID	岩漿羊肉	肉類食材，容易發動《煙火師》體系料理技能。燉煮越久味道越濃厚的食材。
MEAT_29_ID	帝王火雞肉	肉類食材，容易發動《煙火師》體系料理技能。壓倒性的肉量，不辱皇帝的名號。
FISH_00_ID	鬃毛鮪魚	魚類食材，容易發動《勇敢》體系料理技能。鬃毛越是雄偉，風味越佳。
FISH_01_ID	蛇鮭魚	魚類食材，容易發動《勇敢》體系料理技能。如蛇般彎曲蠕動的鮭魚。
FISH_02_ID	勇氣鰻魚	魚類食材，容易發動《勇敢》體系料理技能。據說吃了就鼓起勇氣。
FISH_03_ID	刺身魚	魚類食材，容易發動《勇敢》體系料理技能。油脂豐厚的美味魚肉，親民的大眾食材。
FISH_04_ID	古代真鯛	魚類食材，容易發動《勇敢》體系料理技能。從古代流傳至今的親民高級食材。
FISH_05_ID	粗野鰤魚	魚類食材，容易發動《勇敢》體系料理技能。外觀粗野，卻是生態富含勇氣的魚。
FISH_06_ID	大螺貝	魚類食材，容易發動《忍耐》體系料理技能。螺殼越大，市場價值越高。
FISH_07_ID	扇貝片	魚類食材，容易發動《忍耐》體系料理技能。保存用的乾燥食品，也可用於煮湯。
FISH_08_ID	嚴選藤壺鮑魚	魚類食材，容易發動《忍耐》體系料理技能。味道和大小都頂級品的藤壺鮑魚。
FISH_09_ID	藤壺色鮑魚	魚類食材，容易發動《忍耐》體系料理技能。香氣與味道有獨特變化的鮑魚。
FISH_10_ID	祕藏藤壺鮑魚	魚類食材，容易發動《忍耐》體系料理技能。被視為珍品中的珍品的藤壺鮑魚。
FISH_11_ID	大角蠑螺	魚類食材，容易發動《忍耐》體系料理技能。殼上有大角，其生態尚在調查中。
FISH_12_ID	軍團沙丁魚	魚類食材，容易發動《熱血》體系料理技能。據說會聚結成群保護自己的地盤。
FISH_13_ID	武士鰹魚	魚類食材，容易發動《熱血》體系料理技能。特色是宛如頭盔般的帥氣花紋。
FISH_14_ID	咬魚的下巴	魚類食材，容易發動《熱血》體系料理技能。需要仔細燒烤，風味絕佳。
FISH_15_ID	咬魚的肝	魚類食材，容易發動《熱血》體系料理技能。含有大量良性脂肪，非常美味。
FISH_16_ID	將軍鰹魚	魚類食材，容易發動《熱血》體系料理技能。全身花紋宛如甲冑，出人頭地的魚。
FISH_17_ID	紅蓮鯛	魚類食材，容易發動《熱血》體系料理技能。有如燃燒般赤紅，特徵鮮明的高級食材。
FISH_18_ID	仰背蝦	魚類食材，容易發動《智囊》體系料理技能。背部彎曲的特色鮮明的甲殼類。不易食用。
FISH_19_ID	鎧甲蟹	魚類食材，容易發動《智囊》體系料理技能。身披鎧甲般硬殼的甲殼類。
FISH_20_ID	珊瑚蝦	魚類食材，容易發動《智囊》體系料理技能。外觀呈美麗的櫻花色，小型的甲殼類。
FISH_21_ID	要塞蟹	魚類食材，容易發動《智囊》體系料理技能。外觀呈美麗的櫻花色，小型的甲殼類。
FISH_22_ID	女王蝦	魚類食材，容易發動《智囊》體系料理技能。稱霸族群的女王蝦。
FISH_23_ID	千年蟹	魚類食材，容易發動《智囊》體系料理技能。據說活了上千年的厲害螃蟹。
FISH_24_ID	骨章魚	魚類食材，容易發動《煙火師》體系料理技能。口感如骨頭般硬實帶有咬勁的食材。
FISH_25_ID	粉紅魚子醬	魚類食材，容易發動《煙火師》體系料理技能。閃耀鮮艷粉紅色的鹽漬魚卵。
FISH_26_ID	百合烏賊	魚類食材，容易發動《煙火師》體系料理技能。似乎會帶來出乎意料的閃光。
FISH_27_ID	章魚祭典	魚類食材，容易發動《煙火師》體系料理技能。調理後會呈現如跳舞般的扭曲形狀。
FISH_28_ID	靈魂魚子醬	魚類食材，容易發動《煙火師》體系料理技能。美味足以震撼靈魂的魚類珍饈。
FISH_29_ID	大王烏賊	魚類食材，容易發動《煙火師》體系料理技能。壓倒性的巨大尺寸，不辱大王名號的食材。
VEGE_00_ID	主廚芹	蔬菜類食材，容易發動《勇敢》體系料理技能。風味獨特，令人不禁食指大動。
VEGE_01_ID	鬼洋蔥	蔬菜類食材，容易發動《勇敢》體系料理技能。生吃的話，有著連鬼都會掉淚的刺激。
VEGE_02_ID	大顆仙人掌	蔬菜類食材，容易發動《勇敢》體系料理技能。既大顆又滿滿的果肉。
VEGE_03_ID	龍花果	蔬菜類食材，容易發動《勇敢》體系料理技能。堅硬度可比龍的鱗片的花。
VEGE_04_ID	國王仙人掌	蔬菜類食材，容易發動《勇敢》體系料理技能。品質符合國王之名的植物。
VEGE_05_ID	霜降蕃茄	蔬菜類食材，容易發動《勇敢》體系料理技能。一口咬下甜汁滿溢的最高級蕃茄。
VEGE_06_ID	堅牢蜀黍	蔬菜類食材，容易發動《忍耐》體系料理技能。光剝皮就累得半死的蔬菜。
VEGE_07_ID	堅定馬鈴薯	蔬菜類食材，容易發動《忍耐》體系料理技能。根部抓地力強，收穫時就很辛苦。
VEGE_08_ID	嚴選茸菇	蔬菜類食材，容易發動《忍耐》體系料理技能。連料理人都會讚不絕口的優質香菇。
VEGE_09_ID	月夜茸	蔬菜類食材，容易發動《忍耐》體系料理技能。散發出月光般淡淡光芒的茸菇。
VEGE_10_ID	靈光茸菇	蔬菜類食材，容易發動《忍耐》體系料理技能。環繞著幻想般的光輝的香菇。
VEGE_11_ID	土筍	蔬菜類食材，容易發動《忍耐》體系料理技能。由於難得一見，曾有一時被稱為夢幻食材。
VEGE_12_ID	土堤南瓜	蔬菜類食材，容易發動《熱血》體系料理技能。沉甸甸碩大的南瓜，至於味道嘛……
VEGE_13_ID	棍棒蔥	蔬菜類食材，容易發動《熱血》體系料理技能。特色是如其名般的粗野外型以及辛辣的口感。
VEGE_14_ID	亮光花	蔬菜類食材，容易發動《熱血》體系料理技能。散發的花香令人想起枝葉間灑落的陽光。
VEGE_15_ID	百陽草	蔬菜類食材，容易發動《熱血》體系料理技能。據說可以治百病的植物。
VEGE_16_ID	黃金花	蔬菜類食材，容易發動《熱血》體系料理技能。美麗到被喻為黃金般的花朵。
VEGE_17_ID	帝王松露	蔬菜類食材，容易發動《熱血》體系料理技能。只在料理裡加入一些，就會洋溢著幸福的香氣。
VEGE_18_ID	五香芹菜	蔬菜類食材，容易發動《智囊》體系料理技能。香氣會隨調理方式變化的食材。
VEGE_19_ID	七彩甜椒	蔬菜類食材，容易發動《智囊》體系料理技能。色彩會隨調理方式變化的食材。
VEGE_20_ID	瘴氣果實	蔬菜類食材，容易發動《智囊》體系料理技能。在嚴苛環境下依然成長出來的果實。
VEGE_21_ID	天堂莓果	蔬菜類食材，容易發動《智囊》體系料理技能。味道刺激，會令食用者有升天感覺的植物。
VEGE_22_ID	彼岸的果實	蔬菜類食材，容易發動《智囊》體系料理技能。散發出的香氣彷彿不屬於這世界的果實。
VEGE_23_ID	百萬高麗菜	蔬菜類食材，容易發動《智囊》體系料理技能。葉片異於常理的重疊造就出如奇蹟般的口感。
VEGE_24_ID	怪鳥豆	蔬菜類食材，容易發動《煙火師》體系料理技能。有時會混入辣度足以令人噴火的果實。
VEGE_25_ID	炎熟芒果	蔬菜類食材，容易發動《煙火師》體系料理技能。收穫後依然保有溫度，會急速持續成熟。
VEGE_26_ID	岩石果	蔬菜類食材，容易發動《煙火師》體系料理技能。外皮如岩石般堅硬的植物食材。
VEGE_27_ID	熱帶鳳梨	蔬菜類食材，容易發動《煙火師》體系料理技能。不易種植成長的熱帶水果。
VEGE_28_ID	狂野水果	蔬菜類食材，容易發動《煙火師》體系料理技能。老饕喜愛的狂野味道。
VEGE_29_ID	綠寶石榴槤	蔬菜類食材，容易發動《煙火師》體系料理技能。被喻為有如閃耀著綠色寶石般的稀有果實。
LIQUOR_00_ID	泥芋酒	酒類食材，容易發動《眼力》體系料理技能。注意別喝到爛醉。
LIQUOR_01_ID	龍酒	酒類食材，容易發動《眼力》體系料理技能。連龍都會醉倒的烈酒。
LIQUOR_02_ID	鬼芋酒	酒類食材，容易發動《眼力》體系料理技能。連鬼都讚不絕口的嗆辣好酒。
LIQUOR_03_ID	龍琥珀酒	酒類食材，容易發動《眼力》體系料理技能。熟成後的香氣和層次豐富的味道廣受歡迎。
LIQUOR_04_ID	黃金芋酒	酒類食材，容易發動《眼力》體系料理技能。如夢幻般很難到手的酒。
LIQUOR_05_ID	大吟釀‧屠龍	酒類食材，容易發動《眼力》體系料理技能。經過工匠長年研究與釀造後，所製出的頂級成品。
LIQUOR_06_ID	獵人啤酒	酒類食材，容易發動《運氣》體系料理技能。狩獵之後一定要來一杯！
LIQUOR_07_ID	星星白蘭地	酒類食材，容易發動《運氣》體系料理技能。調查團認證推薦，帶有星星的酒。
LIQUOR_08_ID	達人啤酒	酒類食材，容易發動《運氣》體系料理技能。味道層次豐富，老饕喜愛的黑啤酒！
LIQUOR_09_ID	火龍威士忌	酒類食材，容易發動《運氣》體系料理技能。放入以火龍吐息燒焦的圓木桶裡，熟成過的名酒。
LIQUOR_10_ID	星辰啤酒	酒類食材，容易發動《運氣》體系料理技能。在調查據點製作的當地啤酒，用適合用來做慶功。
LIQUOR_11_ID	吐息酒	酒類食材，容易發動《運氣》體系料理技能。一輩子至少想喝一次看看的葡萄酒，排行榜第一名。
LIQUOR_12_ID	猛角藥膳酒	酒類食材，容易發動《旅行準備》體系料理技能。配合永霜凍土生物的角為生藥的酒。
LIQUOR_13_ID	幸運龍舌蘭酒	酒類食材，容易發動《旅行準備》體系料理技能。祈禱旅途幸運，吉祥的酒。
LIQUOR_14_ID	款冬酒	酒類食材，容易發動《旅行準備》體系料理技能。浸入特產的款冬花芽，具滋養強壯之效。
LIQUOR_15_ID	特濃蜂蜜酒	酒類食材，容易發動《旅行準備》體系料理技能。嚴選天然素材，徹底溫暖身體。
LIQUOR_16_ID	魔女蘋果酒	酒類食材，容易發動《旅行準備》體系料理技能。甜美又妖豔的香味，有如魔女的誘惑般。
LIQUOR_17_ID	瘋狂龍舌蘭酒	酒類食材，容易發動《旅行準備》體系料理技能。勇敢獵人測試勇氣而喝，讓人陷入瘋狂的酒。
LIQUOR_18_ID	冰柱伏特加	酒類食材，容易發動《開拓者》體系料理技能。在伏特加中豪爽加入冰柱的自信作品。
LIQUOR_19_ID	快樂龍舌蘭酒	酒類食材，容易發動《開拓者》體系料理技能。用於祝賀狩獵成功等宴席，乾杯用的酒。
LIQUOR_20_ID	融雪高球雞尾酒	酒類食材，容易發動《開拓者》體系料理技能。融雪喝來爽快，最適合修復舊好的一杯酒。
LIQUOR_21_ID	銀嶺高球雞尾酒	酒類食材，容易發動《開拓者》體系料理技能。使用閃耀銀色超高硬度的冰，奢侈的一杯酒。
LIQUOR_22_ID	水晶高球雞尾酒	酒類食材，容易發動《開拓者》體系料理技能。杯中像是只有氣泡漂浮，澄淨的一杯酒。
LIQUOR_23_ID	灼炎生命之水	酒類食材，容易發動《開拓者》體系料理技能。只要喝下一口，身體就會變得赤熱。
