奖金任务ID	奖金任务名称	奖金任务目标
147	環境調查：植物	採集可以作為道具的植物８次。
148	環境調查：香菇	採集可以作為道具的香菇８次。
149	環境調查：蟲的生態	採集可以作為道具的蟲６次。
150	環境調查：蜂蜜	採集蜂蜜６次。
151	生態調查：狩獵大型魔物	狩獵Master Rank的大型魔物３頭。
152	生態調查：捕獲大型魔物	捕獲Master Rank的大型魔物３頭。
153	生態調查：討伐小型魔物	討伐Master Rank的小型魔物１０頭。
154	生態調查：狩獵牙龍種	狩獵Master Rank的牙龍種大型魔物２頭。
155	生態調查：捕獲牙龍種	捕獲Master Rank的牙龍種大型魔物２頭。
156	生態調查：狩獵鳥龍種	狩獵Master Rank的鳥龍種大型魔物２頭。
157	生態調查：捕獲鳥龍種	捕獲Master Rank的鳥龍種大型魔物２頭。
158	生態調查：狩獵獸龍種	狩獵Master Rank的獸龍種大型魔物２頭。
159	生態調查：捕獲獸龍種	捕獲Master Rank的獸龍種大型魔物２頭。
160	生態調查：狩獵魚龍種	狩獵Master Rank的魚龍種大型魔物２頭。
161	生態調查：捕獲魚龍種	捕獲Master Rank的魚龍種大型魔物２頭。
162	調查活動：古代樹森林	完成Master Rank的古代樹森林任務２次。
163	調查活動：大蟻塚荒地	完成Master Rank的大蟻塚荒地任務２次。
164	調查活動：陸珊瑚台地	完成Master Rank的陸珊瑚台地任務２次。
165	調查活動：瘴氣之谷	完成Master Rank的瘴氣之谷任務２次。
166	調查活動：龍結晶之地	完成Master Rank的龍結晶之地任務２次。
167	調查活動：調查任務	完成Master Rank的調查任務２次。
168	調查活動：永霜凍土	完成Master Rank的永霜凍土任務２次。
169	生態調查：狩獵飛龍種	狩獵Master Rank的飛龍種大型魔物２頭。
170	生態調查：捕獲飛龍種	捕獲Master Rank的飛龍種大型魔物２頭。
171	生態調查：狩獵大型魔物	狩獵Master Rank的大型魔物６頭。
172	生態調查：狩獵牙龍種	狩獵Master Rank的牙龍種大型魔物４頭。
173	生態調查：狩獵鳥龍種	狩獵Master Rank的鳥龍種大型魔物４頭。
174	生態調查：狩獵獸龍種	狩獵Master Rank的獸龍種大型魔物４頭。
175	生態調查：狩獵飛龍種	狩獵Master Rank的飛龍種大型魔物４頭。
176	生態調查：狩獵魚龍種	狩獵Master Rank的魚龍種大型魔物４頭。
177	生態調查：討伐古龍種	討伐Master Rank的古龍種魔物２隻。
178	生態調查：討伐古龍種	討伐Master Rank的古龍種魔物４隻。
179	生態調查：狩獵歷戰個體	狩獵Master Rank的歷戰個體２隻。
180	生態調查：狩獵歷戰個體	狩獵Master Rank的歷戰個體４隻。
181	文化交流：永霜凍土	「探索」永霜凍土，狩獵１頭大型魔物。
182	文化交流：續‧永霜凍土	前往獸纏族的棲地，打聽作戰內容。
183	文化交流：完‧永霜凍土	完成ＭR★２「雙方團隊的共同戰線」。
