物品ID	物品名称	物品类型	稀有度	物品介绍
92	守護之護符	物品	4	提升防禦力的護符。光持有就可使皮膚硬質化得如岩石一般。
93	守護之爪	物品	4	提升防禦力的護符。加入了龍的素材，更加提高護符的效果。
94	針果實	物品	0	像針一樣銳利的樹果。為散彈的核心素材。
95	爆裂果實	物品	0	作為徹甲榴彈核心素材的樹果。
96	龍擊果實	物品	1	受到衝擊就會爆炸的樹果。為龍擊彈的核心素材。
97	斬裂果實	物品	0	作為斬裂彈核心素材的樹果。
98	螺旋果實	物品	0	具有螺旋狀溝槽的樹果。為貫通彈的核心素材。
99	擴散果實	物品	1	受到衝擊就會破裂的樹果。為擴散彈的核心素材。
100	著火果實	物品	1	作為提高彈藥威力的火藥粉的核心素材的樹果。
101	發火果實	物品	1	作為大幅提高彈藥威力的火藥粉的所需核心素材的樹果。
102	LV2 火藥粉	物品	1	粉末狀的火藥。與LV1的彈藥調合即可提升彈藥的等級。
103	LV3 火藥粉	物品	1	優質的粉末狀火藥。與LV1的彈藥調合即可提升彈藥的等級。
104	堅硬竹筴魚的鰭	物品	1	可以研磨武器的背鰭。研磨所需次數比砥石更少，銳利度的回復量也較大。
105	堅硬竹筴魚的上鰭	物品	3	可以研磨武器的背鰭。效果高過砥石，運氣好的話可多次重複使用。
106	刺身魚鱗片	物品	1	刺身魚的鱗片。吃下即可少量回復體力。對裂傷狀態也有效果。
107	大刺身魚鱗片	物品	3	大刺身魚的鱗片。吃下即可大量回復體力，並使自然回復力UP。對裂傷狀態也有效果。
108	火藥金魚鱗片	物品	2	火藥金魚的鱗片。與大爆彈桶調合即可飛躍性地提高威力。
109	大火藥金魚鱗片	物品	3	大火藥金魚的鱗片。與大桶調合即可製作出大爆彈桶Ｇ。
110	破裂鱗片	物品	1	破裂龍魚的鱗片。與火藥草調合即可精製出許多LV2 火藥粉。
111	大破裂鱗片	物品	3	上等破裂龍魚的鱗片。與火藥草調合即可精製出大量的LV2 火藥粉。
112	爆裂鱗片	物品	1	爆裂龍魚的鱗片。與火藥草調合即可精製出許多LV3 火藥粉。
113	大爆裂鱗片	物品	3	上等爆裂龍魚的鱗片。與火藥草調合即可精製出大量的LV3 火藥粉。
114	砥石	物品	3	標準尺寸的砥石。可以研磨武器，回復武器的銳利度。
115	捕獲用網子	物品	3	裝填到投射器後使用的道具。可以捕獲小型生物。
116	釣竿	物品	3	釣魚用的道具。
117	烤肉組合	物品	3	可以將生肉燒烤成可食用的肉，是獵人的必須用品。
118	隱身衣裝	物品	3	可在魔物的視野範圍內隱身一段時間。一旦進行攻擊或受到傷害，隱身效果即失效。
119	轉身衣裝	物品	3	受到高威力的攻擊時，使傷害無效，並自動採取迴避行動。
120	療癒煙筒	物品	3	設置煙筒，放出能逐漸恢復玩家體力的煙。
121	不動衣裝	物品	3	消除受到傷害時的反應，可獲得風壓無效、聽覺保護、耐震，以及減輕傷害的效果。
122	挑釁衣裝	物品	3	容易成為魔物的目標，可利用此特性將魔物誘導至期望的地方。
123	體力衣裝	物品	3	吸收一定量的傷害。一旦超過吸收量上限時即失效。
124	耐熱衣裝	物品	3	減輕火屬性的傷害。此外，使火屬性異常狀態、爆破異常狀態、以及炎熱地形造成的傷害無效。
125	耐水衣裝	物品	3	可減輕水屬性傷害，使泥濘狀態、水屬性異常狀態，及深水區影響減輕甚至無效。
126	耐寒衣裝	物品	3	減輕冰屬性的傷害。使冰屬性異常狀態無效。
127	耐雷衣裝	物品	3	減輕雷屬性的傷害。使雷屬性異常狀態與麻痺無效。
128	耐龍衣裝	物品	3	減輕龍屬性的傷害。使龍屬性異常狀態無效，並強化武器的龍屬性。
129	解除煙筒	物品	3	設置煙筒，放出能使玩家從狀態異常恢復的煙。
130	滑空衣裝	物品	3	跳躍時滯空時間變長，更容易騎上魔物。在強風吹拂的地方可以乘風移動。
131	迴避衣裝	物品	3	迴避行動中的無敵時間變長。若於瞬間迴避魔物的攻擊，即可暫時提升攻擊力。
132	強打衣裝	物品	3	可追加昏厥值至大部分的攻擊。若原本的攻擊已附帶昏厥值，則效果提升。
133	化合衣裝	物品	3	以異常狀態屬性的武器攻擊命中時，會提升給予屬性值攻擊的發動機率。
134	免疫衣裝	物品	3	解除所有狀態異常，免疫效果生效時不會陷入狀態異常。
135	達人煙筒	物品	3	設置煙筒，放出能提升玩家會心率的煙。
136	盜掠衣裝	物品	3	攻擊大型魔物時，可使現金兌換率高的道具掉落。
137	LV1通常彈	弹药或瓶	3	可說是入門用的彈藥。威力不太能期待。
138	LV2通常彈	弹药或瓶	1	一般彈藥。威力較LV1大增。最多攜帶99發。
139	LV3通常彈	弹药或瓶	2	使用優質火藥，提升更多威力的彈藥。即便是單發也能發揮足夠的力量。最多攜帶99發。
140	LV1貫通彈	弹药或瓶	0	持續貫通飛行的彈藥。視魔物不同甚至可命中多次。最多攜帶60發。
141	LV2貫通彈	弹药或瓶	1	持續貫通飛行的彈藥。命中次數更勝LV1。最多攜帶60發。
142	LV3貫通彈	弹药或瓶	2	貫通飛行的彈藥。命中次數為貫通彈系最高。最多攜帶60發。
143	LV1散彈	弹药或瓶	0	可攻擊大範圍的彈藥。靠近發射的話，可複數次命中目標。最多攜帶80發。
144	LV2散彈	弹药或瓶	1	可攻擊大範圍的彈藥。命中次數更勝LV1。最多攜帶70發。
145	LV3散彈	弹药或瓶	2	可攻擊大範圍的彈藥。命中次數為散彈系最高。最多攜帶60發。
146	LV1徹甲榴彈	弹药或瓶	0	穿刺後會爆炸的彈藥。具有高超的威力與昏厥效果。最多攜帶9發。
147	LV2徹甲榴彈	弹药或瓶	1	穿刺後會爆炸的彈藥。具有相當高超的威力與昏厥效果。最多攜帶9發。
148	LV3徹甲榴彈	弹药或瓶	2	穿刺後會爆炸的彈藥。具有驚人的威力與昏厥效果。最多攜帶9發。
149	LV1擴散彈	弹药或瓶	1	命中時會飛散出3顆炸彈的彈藥。必須小心不要打中夥伴。最多3發。
150	LV2擴散彈	弹药或瓶	2	命中時會飛散出4顆炸彈的彈藥。必須小心不要打中夥伴。最多3發。
151	LV3擴散彈	弹药或瓶	3	命中時會飛散出5顆炸彈的彈藥。必須小心不要打中夥伴。最多3發。
152	火炎彈	弹药或瓶	1	擁有強力火屬性的彈藥。對怕火的魔物相當有效。最多攜帶60發。
153	水冷彈	弹药或瓶	1	擁有強力水屬性的彈藥。對怕水的魔物相當有效。最多攜帶60發。
154	電擊彈	弹药或瓶	1	擁有強力雷屬性的彈藥。對怕雷的魔物相當有效。最多攜帶60發。
155	冰結彈	弹药或瓶	1	擁有強力冰屬性的彈藥。對怕冰的魔物相當有效。最多攜帶60發。
156	滅龍彈	弹药或瓶	2	擁有龍屬性，具備龍封力的彈藥。對害怕龍屬性的魔物相當有效。最多攜帶3發。
157	LV1毒彈	弹药或瓶	1	造成毒狀態的彈藥。視魔物不同可能需要多發。最多攜帶12發。
158	LV2毒彈	弹药或瓶	2	造成毒狀態的彈藥強化版。視魔物不同可能需要多發。最多攜帶12發。
159	LV1麻痺彈	弹药或瓶	1	造成麻痺狀態的彈藥。視魔物不同可能需要多發。最多攜帶12發。
160	LV2麻痺彈	弹药或瓶	2	造成麻痺狀態的彈藥強化版。視魔物不同可能需要多發。最多攜帶8發。
161	LV1睡眠彈	弹药或瓶	1	造成睡眠狀態的彈藥。視魔物不同可能需要多發。最多攜帶12發。
162	LV2睡眠彈	弹药或瓶	2	造成睡眠狀態的彈藥強化版。視魔物不同可能需要多發。最多攜帶8發。
163	LV1減氣彈	弹药或瓶	1	奪取魔物耐力的特殊彈藥。最多攜帶12發。
164	LV2減氣彈	弹药或瓶	2	奪取魔物耐力的特殊彈藥強化版。最多攜帶8發。
165	LV1回復彈	弹药或瓶	1	可少量回復命中對象體力的彈藥。最多攜帶12發。
166	LV2回復彈	弹药或瓶	2	可中量回復命中對象體力的彈藥。最多攜帶12發。
167	龍擊彈	弹药或瓶	2	研究龍擊砲構造所製成的彈藥。射程極短，但是擁有壓倒性的破壞力。最多攜帶5發。
168	斬裂彈	弹药或瓶	1	在命中位置飛散刀片的切斷屬性彈藥。可以切斷尾巴。最多攜帶30發。
169	捕獲用麻醉彈	弹药或瓶	2	捕獲中陷阱的魔物時，所使用的弩槍專用麻醉彈。最多攜帶8發。
170	鬼人彈	弹药或瓶	3	據說會給命中對象帶來修羅般力量的彈藥。最多攜帶5發。
171	硬化彈	弹药或瓶	3	據說會使命中對象的皮膚硬質化得如岩石一般的彈藥。最多攜帶5發。
172	無瓶狀態	弹药或瓶	0	Unavailable
173	接擊瓶	弹药或瓶	3	裝備在弓上，可提高近身射擊的威力，但射程距離會衰減。
174	空瓶	物品	0	沒有任可東西的空瓶。原封不動的話，就只是瓶子。
175	強擊瓶	弹药或瓶	1	裝備在弓上，可提升攻擊力的瓶。最多攜帶50個。
176	毒瓶	弹药或瓶	2	裝備在弓上，可賦予箭矢毒屬性的瓶。最多攜帶20個。
177	麻痺瓶	弹药或瓶	2	裝備在弓上，可賦予箭矢麻痺屬性的瓶。最多攜帶20個。
178	睡眠瓶	弹药或瓶	2	裝備在弓上，可賦予箭矢睡眠屬性的瓶。最多攜帶20個。
179	dummy02	素材	3	dummy
180	爆破瓶	弹药或瓶	2	裝備在弓上，可賦予箭矢爆破屬性的瓶。最多攜帶20個。
181	應急藥	物品	0	可少量回復體力的藥。<STYL MOJI_YELLOW_DEFAULT>（補給品專用）</STYL>
182	應急藥‧大	物品	1	可中量回復體力的藥。<STYL MOJI_YELLOW_DEFAULT>（補給品專用）</STYL>
183	補給專用隨身食物	物品	0	可少量回復耐力的食物。<STYL MOJI_YELLOW_DEFAULT>（補給品專用）</STYL>
184	補給專用生命粉塵	物品	1	使用後會擴散的生命之粉，具有療癒接觸者的能力。<STYL MOJI_YELLOW_DEFAULT>（補給品專用）</STYL>
185	補給專用秘藥	物品	1	提升體力上限到最大，並完全回復的藥。<STYL MOJI_YELLOW_DEFAULT>（補給品專用）</STYL>
186	補給專用大爆彈桶	物品	2	大爆彈桶的改良強化版。沒寫Ｇ卻有Ｇ級的威力。<STYL MOJI_YELLOW_DEFAULT>（補給品專用）</STYL>
187	補給專用麻痺陷阱	物品	2	能夠阻止魔物行動的陷阱。亦可用於捕獲。<STYL MOJI_YELLOW_DEFAULT>（補給品專用）</STYL>
188	補給專用地洞	物品	2	使獵物墜落用的地洞。<STYL MOJI_YELLOW_DEFAULT>（補給品專用）</STYL>
189	補給專用漢方粉塵	物品	3	中和周圍對象的毒並少量回復體力。<STYL MOJI_YELLOW_DEFAULT>（補給品專用）</STYL>
190	補給專用鬼人粉塵	物品	3	暫時提高周圍對象的攻擊力。<STYL MOJI_YELLOW_DEFAULT>（補給品專用）</STYL>
191	補給專用硬化粉塵	物品	3	暫時提高周圍對象的防禦力。<STYL MOJI_YELLOW_DEFAULT>（補給品專用）</STYL>
192	補給專用異臭彈	物品	1	命中後會發出使魔物厭惡逃跑的異臭。<STYL MOJI_YELLOW_DEFAULT>（補給品專用）</STYL>
193	補給專用閃光彈	物品	1	以投射器發射，會發出強烈的閃光。<STYL MOJI_YELLOW_DEFAULT>（補給品專用）</STYL>
194	補給專用音爆彈	物品	1	以投射器發射，會發出高頻率不舒服的擾人噪音。<STYL MOJI_YELLOW_DEFAULT>（補給品專用）</STYL>
195	飛刀	物品	0	裝填到投射器上的飛刀。加工後可塗抹藥品使用。<STYL MOJI_YELLOW_DEFAULT>（補給品專用）</STYL>
196	毒飛刀	物品	1	會帶給對象毒效果的飛刀。裝填到投射器後發射。<STYL MOJI_YELLOW_DEFAULT>（補給品專用）</STYL>
197	睡眠飛刀	物品	1	會帶給對象睡眠效果的飛刀。裝填到投射器後發射。<STYL MOJI_YELLOW_DEFAULT>（補給品專用）</STYL>
198	麻痺飛刀	物品	1	會帶給對象麻痺效果的飛刀。裝填到投射器後發射。<STYL MOJI_YELLOW_DEFAULT>（補給品專用）</STYL>
199	捕獲用麻醉飛刀	物品	2	捕獲中陷阱的魔物時，所使用的專用小刀。裝填到投射器後發射。<STYL MOJI_YELLOW_DEFAULT>（補給品專用）</STYL>
200	補給專用回歸球	物品	2	可呼叫翼龍，返回最靠近的營地。<STYL MOJI_YELLOW_DEFAULT>（補給品專用）</STYL>
201	補給專用麻醉球	物品	2	捕獲中陷阱的魔物時，所專用的投擲式麻醉球。<STYL MOJI_YELLOW_DEFAULT>（補給品專用）</STYL>
202	弩彈	弹药或瓶	3	大型弩砲專用的彈藥。<STYL MOJI_YELLOW_DEFAULT>（補給品專用）</STYL>
203	單發式拘束彈	弹药或瓶	3	大型弩砲專用的拘束彈。用完即丟型，但可連續使用。<STYL MOJI_YELLOW_DEFAULT>（補給品專用）</STYL>
204	大砲彈	物品	3	對巨大龍專用的鋼鐵彈丸。沉重而搬運不易。<STYL MOJI_YELLOW_DEFAULT>（補給品專用）</STYL>
205	鐵礦石	素材	3	一般會採掘到的礦石。加以精鍊可以製作出富含泛用性的金屬。
206	燕雀石	素材	3	採掘量少於鐵礦石的礦石。可以精鍊出優質的金屬。
207	輝龍石	素材	3	可精鍊出金屬品質更勝燕雀鋼的礦石。製作堅硬裝備時不可或缺。
208	靈鶴石	素材	5	可以在礦脈採掘到的進階礦石。尚在研究中的素材，已知可精鍊出品質相當好的金屬。
209	白鳩石	素材	5	在龍結晶之地採掘的礦石。礦石內部含有可以聯繫各種素材的神奇金屬。
210	大地結晶	素材	3	主要可在大蟻塚荒地採掘到的石頭。作為裝備的研磨材料，在工房頗受重視。
211	深海結晶	素材	3	主要可在陸珊瑚台地採掘到的石頭。作為上好的研磨材料，在工房頗受重視。
212	龍脈結晶	素材	5	可在進階採掘到的石頭。是新發現的素材，可期待為加工技術帶來革新。
213	亮水晶	素材	4	採掘量稀少的貴重水晶。硬度非常高，在工房或製作道具之類都會使用到。
214	璀璨水晶	素材	6	亮水晶的進階素材。具有高度稀有價值，連工房都只會使用在重要用途上。
215	獄炎石	素材	6	可在龍結晶之地採掘到的貴重礦石。只有高手工匠有能力運用，使用到其性質的裝備都是頂級品。
216	水晶原石	素材	3	作為護石素材不可或缺的石頭。澄澈水面般的光芒，令人感到無盡的可能性。
217	精晶原石	素材	5	作為護石素材不可或缺的石頭。帶有自然感的溫暖光芒，令人感到更遠的進化。
218	幻晶原石	素材	6	作為護石素材不可或缺的石頭。夢幻般的搖曳光芒，令人感到革命性的未來。
219	龍晶原石	素材	7	作為護石素材不可或缺的石頭。蘊含悠久感的神秘光芒，令人感到通往未知世界的門扉。
220	鎧玉	素材	3	蒸鍍在武具上提高強度的素材。可些微提升防具的強化值。
221	上鎧玉	素材	4	蒸鍍在武具上提高強度的素材。可少量提升防具的強化值。
222	尖鎧玉	素材	5	蒸鍍在武具上提高強度的素材。可提升防具的強化值。
223	堅鎧玉	素材	6	蒸鍍在武具上提高強度的素材。可大幅提升防具的強化值。
224	重鎧玉	素材	7	蒸鍍在武具上提高強度的素材。可重重提升防具的強化值。
225	硬質骨頭	素材	3	主要在陸珊瑚台地及瘴氣之谷的骨塚可採集到的骨素材。
226	良質硬骨	素材	5	可在骨塚採集的進階素材。加工難度低，利用其硬度可以製作更優質的武具。
227	太古大骨	素材	3	可在古代樹森林的骨塚採集的骨素材。令人感覺到原始氣息的雄偉。
228	堅硬岩骨	素材	3	可在大蟻塚荒地的骨塚採集的骨素材。令人感覺到歷史累積的沉重感。
229	珊瑚紅骨	素材	3	可在陸珊瑚台地的骨塚採集的骨素材。令人感覺到千變萬化時代的質感。
230	扭曲狂骨	素材	3	可在瘴氣之谷的骨塚採集的骨素材。令人感覺到抗拒殘酷環境本能的強大力量。
231	狂亂蠻骨	素材	5	可在龍結晶之地的骨塚採集的骨素材。令人感覺到在無盡鬥爭倖存的生命力帶來的威壓感。
232	古老龍骨	素材	6	可在骨塚採集到的貴重進階素材。遙遠過往在此地逝去的龍所留下的貴重龍骨。
233	謎樣的頭骨	素材	6	可在龍結晶之地的骨塚採集到的珍貴骨素材。可判斷出是某種動物的頭骨。
234	大角鳳蝶	素材	4	具有大角與甲殼，翅膀如蝴蝶般美麗的神奇昆蟲。在植生研究所等處發現的。
235	災禍之布	素材	4	隨從探險隊不知道從哪裡找來的詭異布料。有種災厄的氛圍。
236	龍骨【小】	素材	3	在骨塚一般可採集到的骨素材。非常便於使用，生活及狩獵都不可或缺。
237	龍骨【中】	素材	3	從大型魔物採集的骨素材。尺寸恰到好處，與鋼材及木材都能搭配，具有超群安定感的素材。
238	龍骨【大】	素材	3	從大型魔物採集的骨素材。一般礦材難以尋得這麼大的尺寸，頂級品加工時不可或缺。
239	上龍骨	素材	3	從大型魔物採集的骨素材。取得不易，是強力武具加工時不可或缺的素材。
240	尖龍骨	素材	5	從進階的大型魔物採集的骨素材。前端尖銳，可維持素材本身的強度加以活用。
241	堅龍骨	素材	5	從進階的大型魔物採集的骨素材。每隻大型龍只能採得幾根的貴重龍骨。
242	古龍骨	素材	6	從古龍種的魔物採集的骨素材。光是龍骨本身都能感覺到那股威嚴。
243	尖爪	素材	3	小型牙龍種的素材。和飛龍的爪不同，形狀較適合抓住物體。
244	銳爪	素材	5	小型牙龍種的進階素材。空手直接觸碰會有點危險，銳利度足以代替小刀。
245	魔物體液	素材	3	小型甲蟲種的素材。只要混合蟲的消化液，就會呈現出接著劑的效用。
246	魔物濃液	素材	5	小型甲蟲種的進階素材。萃取體液中較濃部份所得的液體。相當濃厚。
247	毒袋	素材	3	魔物的內臟器官之一。積存有致命性的毒液，要注意使用。
248	猛毒袋	素材	5	魔物的內臟器官之一。積存有高濃度毒液的袋子。光是觸摸到都會有危險。
249	麻痺袋	素材	3	魔物的內臟器官之一。積存有神經性毒液，中毒就會麻痺。
250	強力麻痺袋	素材	5	魔物的內臟器官之一。積存有強力的神經性毒液，光是觸摸到就會麻痺。
251	睡眠袋	素材	3	魔物的內臟器官之一。器官內累積含有睡眠效果的粉塵，吸入就會昏倒。
252	昏睡袋	素材	5	魔物的內臟器官之一。若是吸入累積在這裡的粉塵，即使只有微量也會陷入昏睡狀態。
253	火炎袋	素材	3	魔物的內臟器官之一。裝滿了可燃性的粉塵，要注意使用。
254	爆炎袋	素材	5	魔物的內臟器官之一。裝滿了一接觸外在空氣便會起火的粉塵，很危險！
255	水袋	素材	3	魔物的內臟器官之一。可用於儲水，保水性極佳的袋子。
256	大水袋	素材	5	魔物的內臟器官之一。可儲存大量的水，保水性極佳的巨大袋子。
257	冰結袋	素材	3	魔物的內臟器官之一。裝有超低溫的體液，要注意使用。
258	凍結袋	素材	5	魔物的內臟器官之一。祕藏著強烈的冷凍效果，一瞬間就能使周圍結冰。
259	電氣袋	素材	3	魔物的內臟器官之一。袋內積蓄著電氣，若受到衝擊就會放電。
260	電擊袋	素材	5	魔物的內臟器官之一。特殊臟器中積蓄著電氣，其電力足以匹敵高壓電流。
261	鳥龍玉	素材	6	從鳥龍種身上採集的貴重寶玉。與其他鳥龍種素材相比，交易價格更高。
262	龍玉	素材	6	長年累積在龍體內的不純物質所形成如結石狀的東西。是特異的物質。
263	古龍之血	素材	6	含有未知成份的古龍種之血。是學者們的研究對象。
264	菌豬苔皮	素材	3	菌豬的皮。包覆著苔癬。
265	溫暖的毛皮	素材	3	從小型獸採集到的毛皮。有多種用途，但主要是在泛用的衣服上加工。
266	良質毛皮	素材	5	從小型獸身上採集的進階素材。觸感極佳的良質毛皮。調查團也會使用的貴重素材。
267	巨蜂的甲殼	素材	3	巨蜂的素材。可經由剝取獲得。是用途廣泛、應用性佳的材質。
268	巨蜂的堅殼	素材	5	巨蜂的進階素材。可經由剝取獲得。是用途廣泛、應用性佳的材質。
269	巨蜂的翅膀	素材	3	巨蜂的素材。可經由剝取獲得。材質輕巧銳利，常用於武器上。
270	巨蜂的薄羽	素材	5	巨蜂的進階素材。可經由剝取獲得。材質輕巧銳利，常用於武器上。
271	巨甲蟲的甲殼	素材	3	巨甲蟲的素材。可經由剝取獲得。是用途廣泛、應用性佳的材質。
272	巨甲蟲的翅膀	素材	3	巨甲蟲的素材。可經由剝取獲得。是用途廣泛、應用性佳的材質。
273	巨甲蟲的頭	素材	3	巨甲蟲的素材。可經由剝取獲得。材質特殊，只能用於限定的裝備。
