猎虫ID	猎虫代码	猎虫名称	模型地址
72	ROD_INSECT_070_NAME	體力型切斷蟲Ⅱ‧守攻	mus025
73	ROD_INSECT_071_NAME	體力型切斷蟲Ⅲ‧守攻	mus025
74	ROD_INSECT_072_NAME	速度型切斷蟲Ⅰ‧速癒	mus026
75	ROD_INSECT_073_NAME	速度型切斷蟲Ⅱ‧速癒	mus026
76	ROD_INSECT_074_NAME	速度型切斷蟲Ⅲ‧速癒	mus026
77	ROD_INSECT_075_NAME	速度型切斷蟲Ⅰ‧速攻	mus026
78	ROD_INSECT_076_NAME	速度型切斷蟲Ⅱ‧速攻	mus026
79	ROD_INSECT_077_NAME	速度型切斷蟲Ⅲ‧速攻	mus026
80	ROD_INSECT_078_NAME	聖光切斷蟲Ⅰ‧極癒	mus002
81	ROD_INSECT_079_NAME	聖光切斷蟲Ⅱ‧極癒	mus002
82	ROD_INSECT_080_NAME	聖光切斷蟲Ⅲ‧極癒	mus002
83	ROD_INSECT_081_NAME	威力型打擊蟲Ⅰ‧攻速	mus027
84	ROD_INSECT_082_NAME	威力型打擊蟲Ⅱ‧攻速	mus027
85	ROD_INSECT_083_NAME	威力型打擊蟲Ⅲ‧攻速	mus027
86	ROD_INSECT_084_NAME	威力型打擊蟲Ⅰ‧攻癒	mus027
87	ROD_INSECT_085_NAME	威力型打擊蟲Ⅱ‧攻癒	mus027
88	ROD_INSECT_086_NAME	威力型打擊蟲Ⅲ‧攻癒	mus027
89	ROD_INSECT_087_NAME	體力型打擊蟲Ⅰ‧癒攻	mus028
90	ROD_INSECT_088_NAME	體力型打擊蟲Ⅱ‧癒攻	mus028
91	ROD_INSECT_089_NAME	體力型打擊蟲Ⅲ‧癒攻	mus028
92	ROD_INSECT_090_NAME	體力型打擊蟲Ⅰ‧癒速	mus028
93	ROD_INSECT_091_NAME	體力型打擊蟲Ⅱ‧癒速	mus028
94	ROD_INSECT_092_NAME	體力型打擊蟲Ⅲ‧癒速	mus028
95	ROD_INSECT_093_NAME	速度型打擊蟲Ⅰ‧速攻	mus029
96	ROD_INSECT_094_NAME	速度型打擊蟲Ⅱ‧速攻	mus029
97	ROD_INSECT_095_NAME	速度型打擊蟲Ⅲ‧速攻	mus029
98	ROD_INSECT_096_NAME	速度型打擊蟲Ⅰ‧速癒	mus029
99	ROD_INSECT_097_NAME	速度型打擊蟲Ⅱ‧速癒	mus029
100	ROD_INSECT_098_NAME	速度型打擊蟲Ⅲ‧速癒	mus029
101	ROD_INSECT_099_NAME	咒紋打擊蟲Ⅰ‧極癒	mus013
102	ROD_INSECT_100_NAME	咒紋打擊蟲Ⅱ‧極癒	mus013
103	ROD_INSECT_101_NAME	咒紋打擊蟲Ⅲ‧極癒	mus013
104	ROD_INSECT_192_NAME	龍魂蟲‧極	mus023
