部位ID	部位名称	防具ID	防具名称	幻化ID	防御	稀有度	模型地址
0	头盔	70	土砂龍頭盔β	70	42	4	pl012_0000
0	头盔	67	泥魚龍頭盔α	67	44	4	pl011_0000
0	头盔	68	泥魚龍頭盔β	68	44	4	pl011_0000
0	头盔	71	飛雷龍頭盔α	71	44	4	pl013_0000
0	头盔	72	飛雷龍頭盔β	72	44	4	pl013_0000
0	头盔	93	蠻顎龍頭盔α	93	44	4	pl020_0000
0	头盔	94	蠻顎龍頭盔β	94	44	4	pl020_0010
0	头盔	73	雌火龍頭盔α	73	46	4	pl021_0000
0	头盔	74	雌火龍頭盔β	74	46	4	pl021_0010
0	头盔	77	眩鳥頭盔α	77	40	4	pl023_0000
0	头盔	78	眩鳥頭盔β	78	40	4	pl023_0000
0	头盔	79	浮空龍頭盔α	79	44	4	pl024_0000
0	头盔	80	浮空龍頭盔β	80	44	4	pl024_0000
0	头盔	75	凶顎龍頭盔α	75	40	4	pl022_0000
0	头盔	76	凶顎龍頭盔β	76	40	4	pl022_0000
0	头盔	97	骨鎚龍頭盔α	97	46	5	pl028_0000
0	头盔	98	骨鎚龍頭盔β	98	46	5	pl028_0010
0	头盔	89	礦石頭盔α	89	50	5	pl025_0000
0	头盔	90	礦石頭盔β	90	50	5	pl025_0000
0	头盔	91	鑄鐵頭盔α	91	50	5	pl031_0000
0	头盔	92	鑄鐵頭盔β	92	50	5	pl031_0000
0	头盔	166	突擊龍角α	53	48	4	pl015_0000
0	头盔	167	突擊龍角β	54	48	4	pl015_0000
0	头盔	87	火龍心頭盔α	87	52	5	pl021_0100
0	头盔	88	火龍心頭盔β	88	52	5	pl021_0110
0	头盔	95	風漂龍頭盔α	95	54	5	pl027_0000
0	头盔	96	風漂龍頭盔β	96	54	5	pl027_0010
0	头盔	81	慘爪龍頭盔α	81	54	5	pl029_0000
0	头盔	82	慘爪龍頭盔β	82	54	5	pl029_0010
0	头盔	101	火龍頭盔α	101	54	5	pl033_0000
0	头盔	102	火龍頭盔β	102	54	5	pl033_0010
0	头盔	111	火龍魂頭盔α	111	56	6	pl033_0100
0	头盔	112	火龍魂頭盔β	112	56	6	pl033_0110
0	头盔	103	角龍頭盔α	103	54	5	pl034_0000
0	头盔	104	角龍頭盔β	104	54	5	pl034_0010
0	头盔	113	暴君角龍頭盔α	113	56	6	pl034_0100
0	头盔	114	暴君角龍頭盔β	114	56	6	pl034_0110
0	头盔	83	岩賊龍頭盔α	83	48	4	pl039_0000
0	头盔	84	岩賊龍頭盔β	84	48	4	pl039_0000
0	头盔	85	熔岩龍頭盔α	85	56	5	pl040_0000
0	头盔	86	熔岩龍頭盔β	86	56	5	pl040_0010
0	头盔	109	爆鎚龍頭盔α	109	60	6	pl041_0000
0	头盔	110	爆鎚龍頭盔β	110	60	6	pl041_0010
0	头盔	107	戰紋頭盔α	107	64	7	pl030_0000
0	头盔	108	戰紋頭盔β	108	64	7	pl030_0010
0	头盔	117	獨角仙護頭α	117	42	4	pl019_0000 (男性限定)
0	头盔	118	獨角仙護頭β	118	42	4	pl019_0000 (男性限定)
0	头盔	170	燕尾蝶護頭α	165	42	4	pl019_0000 (女性限定)
0	头盔	171	燕尾蝶護頭β	166	42	4	pl019_0000 (女性限定)
0	头盔	119	旅團帽α	119	52	5	pl036_0000
0	头盔	120	旅團帽β	120	52	5	pl036_0000
0	头盔	121	大馬士革頭盔α	121	60	6	pl043_0000
0	头盔	122	大馬士革頭盔β	122	60	6	pl043_0010
0	头盔	123	杜賓頭盔α	123	60	6	pl044_0000
0	头盔	124	杜賓頭盔β	124	60	6	pl044_0000
0	头盔	129	鋼龍強力α	129	64	7	pl047_0000
0	头盔	130	鋼龍強力β	130	64	7	pl047_0010
0	头盔	127	帝王皇冠α	127	64	7	pl046_0000
0	头盔	128	帝王皇冠β	128	64	7	pl046_0010
0	头盔	105	麒麟角α	105	64	7	pl035_0000
0	头盔	106	麒麟角β	106	64	7	pl035_0010
0	头盔	99	烏爾德頭盔α	99	64	7	pl032_0000
0	头盔	100	烏爾德頭盔β	100	64	7	pl032_0010
0	头盔	115	爆鱗龍頭盔α	115	58	6	pl042_0000
0	头盔	116	爆鱗龍頭盔β	116	58	6	pl042_0010
0	头盔	131	死神首腦α	133	62	6	pl026_0000
0	头盔	132	死神首腦β	134	62	6	pl026_0000
0	头盔	133	公會十字頭飾α	135	62	7	pl048_0000
0	头盔	134	公會十字頭飾β	136	62	7	pl048_0000
0	头盔	149	骷髏面罩α	131	64	6	pl054_0000
0	头盔	150	Unavailable	132	2	0	pl001_0000
0	头盔	153	艾路頭套α	151	56	5	pl055_0000
0	头盔	187	Unavailable	180	2	0	pl001_0000
0	头盔	154	菌豬頭套α	152	40	4	pl056_0000
0	头盔	188	Unavailable	181	2	0	pl001_0000
0	头盔	179	Unavailable	172	2	0	pl001_0000
0	头盔	180	Unavailable	173	2	0	pl001_0000
0	头盔	181	封龍耳飾α	174	60	6	pl059_0000
0	头盔	182	Unavailable	175	2	0	pl001_0000
0	头盔	183	知性眼鏡α	176	56	5	pl060_0000
0	头盔	184	Unavailable	177	2	0	pl001_0000
0	头盔	185	龍王的獨眼α	178	70	7	pl061_0000
0	头盔	186	Unavailable	179	2	0	pl001_0000
0	头盔	125	冥燈幽火頭飾α	125	72	7	pl045_0000
0	头盔	126	冥燈幽火頭飾β	126	72	7	pl045_0010
0	头盔	135	Unavailable	137	2	0	pl001_0000
0	头盔	136	Unavailable	138	2	0	pl001_0000
0	头盔	137	鑄島熔岩頭飾α	139	44	5	pl038_0000
0	头盔	138	鑄島熔岩頭飾β	140	44	5	pl038_0010
0	头盔	151	追蹤者頭飾α	141	70	7	pl053_0000
0	头盔	152	追蹤者頭飾β	142	70	7	pl053_0000
0	头盔	172	Unavailable	143	2	0	pl001_0000
0	头盔	173	Unavailable	144	2	0	pl001_0000
0	头盔	155	【旅團】服裝‧頭部	145	0	6	pl036_0000
0	头盔	156	【公會十字】服裝‧頭部	146	0	6	pl048_0000
0	头盔	145	【巴魯特】服裝‧頭部	147	0	3	pl074_0000
0	头盔	146	【潛水夫】服裝‧頭部	148	0	3	pl075_0000
0	头盔	157	【收穫】服裝‧頭部	149	0	3	pl076_0000
0	头盔	158	【獵戶星】服裝‧頭部	150	0	3	pl077_0000
0	头盔	159	【盛裝】服裝‧頭部	153	0	3	pl078_0000
0	头盔	160	Unavailable	158	2	0	pl001_0000
0	头盔	299	HARDUMMY	154	0	7	pl068_0000
0	头盔	291	HARDUMMY	155	0	7	pl069_0000
0	头盔	292	HARDUMMY	156	0	7	pl070_0000
0	头盔	144	Unavailable	157	2	0	pl001_0000
0	头盔	297	【巴耶克】服裝‧頭部	159	0	7	pl120_0000
0	头盔	162	Unavailable	160	2	0	pl001_0000
0	头盔	177	Unavailable	170	2	0	pl001_0000
0	头盔	178	Unavailable	171	2	0	pl001_0000
0	头盔	176	原型頭盔	169	6	0	pl018_0000
0	头盔	190	Unavailable	182	2	0	pl001_0000
0	头盔	191	絢輝龍鎧羅頭盔α	183	72	7	pl049_0000
0	头盔	192	絢輝龍鎧羅頭盔β	184	72	7	pl049_0010
0	头盔	193	巴魯特頭飾	185	18	2	pl074_0000
0	头盔	194	潛水夫修羅	186	22	2	pl075_0000
0	头盔	195	收穫頭飾	187	26	2	pl076_0000
0	头盔	196	獵戶星頭飾	188	30	3	pl077_0000
0	头盔	197	盛裝頭飾	189	34	3	pl078_0000
0	头盔	200	鎧武者‧頭部	190	0	3	pl067_0000
0	头盔	201	殘虐頭盔α	191	58	6	pl050_0000
0	头盔	202	殘虐頭盔β	192	58	6	pl050_0010
0	头盔	203	Unavailable	193	2	0	pl001_0000
0	头盔	204	黎明武士【寂】‧頭部	194	0	6	pl066_0000
0	头盔	205	黎明武士【譽】‧頭部	195	0	6	pl066_0010
0	头盔	206	騰龍戰盔α	196	72	7	pl073_0000
0	头盔	207	巴魯特頭飾α	197	40	4	pl074_0000
0	头盔	208	潛水夫修羅α	198	46	4	pl075_0000
0	头盔	209	收穫頭飾α	199	52	5	pl076_0000
0	头盔	210	獵戶星頭飾α	200	58	5	pl077_0000
0	头盔	211	盛裝頭飾α	201	64	6	pl078_0000
0	头盔	212	燕尾蝶男護頭	202	22	2	pl057_0000 (男性限定)
0	头盔	213	燕尾蝶男護頭α	203	42	4	pl057_0000 (男性限定)
0	头盔	214	燕尾蝶男護頭β	204	42	4	pl057_0010 (男性限定)
0	头盔	215	獨角仙后護頭	205	22	2	pl057_0000 (女性限定)
0	头盔	216	獨角仙后護頭α	206	42	4	pl057_0000 (女性限定)
0	头盔	217	獨角仙后護頭β	207	42	4	pl057_0000 (女性限定)
0	头盔	218	烏爾德頭盔γ	208	72	7	pl032_0020
0	头盔	219	麒麟角γ	209	72	7	pl035_0020
0	头盔	220	帝王皇冠γ	210	72	7	pl046_0020
0	头盔	221	鋼龍強力γ	211	72	7	pl047_0020
0	头盔	222	戰紋頭盔γ	212	72	7	pl030_0020
0	头盔	223	鑄島熔岩頭飾γ	213	72	7	pl038_0020
0	头盔	224	冥燈幽火頭飾γ	214	72	7	pl045_0020
0	头盔	225	HARDUMMY	215	46	4	pl068_0000
0	头盔	226	HARDUMMY	216	12	1	pl069_0000
0	头盔	227	HARDUMMY	217	60	6	pl069_0000
0	头盔	228	HARDUMMY	218	50	5	pl070_0000
0	头盔	229	蒼星之將【頭盔】α	219	56	6	pl072_0000
0	头盔	230	但丁假髮α	220	64	7	pl071_0000
0	头盔	231	皇后琴弦α	221	70	7	pl051_0000
0	头盔	232	皇后琴弦β	222	70	7	pl051_0010
0	头盔	233	封印的眼罩α	223	46	4	pl063_0000
0	头盔	234	墨鏡α	224	46	4	pl062_0000
0	头盔	235	扒手龍頭套α	225	46	4	pl065_0000
0	头盔	236	搖曳鰻頭套α	226	46	4	pl064_0000
0	头盔	237	【蝴蝶】服裝‧頭部	227	0	6	pl117_0000
0	头盔	238	【死神】服裝‧頭部	228	0	6	pl026_0000
0	头盔	239	【但丁】服裝‧頭部	230	0	7	pl071_0000
0	头盔	240	【騰龍】服裝‧頭部	231	0	7	pl073_0000
0	头盔	241	【追蹤者】服裝‧頭部	234	0	6	pl053_0000
0	头盔	242	【原型】服裝‧頭部	237	0	6	pl018_0000
0	头盔	243	【甲蟲】服裝‧頭部	238	0	6	pl116_0000
0	头盔	244	dummy013	239	2	0	pl001_0000
0	头盔	245	【墨鏡】服裝	229	0	3	pl062_0000
0	头盔	246	【菌豬頭套】服裝	232	0	3	pl056_0000
0	头盔	247	【艾路頭套】服裝	233	0	3	pl055_0000
0	头盔	248	【封印的眼罩】服裝	235	0	3	pl063_0000
0	头盔	249	【搖曳鰻頭套】服裝	236	0	3	pl064_0000
0	头盔	250	【骷髏面罩】服裝	240	0	3	pl054_0000
0	头盔	251	【扒手龍頭套】服裝	241	0	3	pl065_0000
0	头盔	298	HARDUMMY	242	64	7	pl068_0000
0	头盔	253	皇后琴弦γ	243	70	7	pl051_0020
0	头盔	293	傑洛特面罩α	244	70	7	pl118_0000
0	头盔	294	希里面罩α	245	70	7	pl119_0000
0	头盔	295	【傑洛特】服裝‧頭部	246	0	7	pl118_0000
0	头盔	296	【希里】服裝‧頭部	247	0	7	pl119_0000
0	头盔	258	絢輝龍鎧羅頭盔γ	248	72	7	pl049_0020
0	头盔	259	防衛隊【頭盔】α	249	50	5	pl121_0000
0	头盔	300	【冰狼】服裝‧頭部	250	0	8	pl105_0000
0	头盔	301	【守護者】服裝‧頭部	545	0	5	pl121_0000
0	头盔	302	精英·骨製頭盔α	252	114	8	pl003_0000
0	头盔	303	精英·骨製頭盔β	253	114	8	pl003_0000
0	头盔	304	精英·合金頭盔α	254	114	8	pl004_0000
0	头盔	305	精英·合金頭盔β	255	114	8	pl004_0000
0	头盔	306	精英·巨蜂頭盔α	256	116	8	pl007_0001
0	头盔	307	精英·巨蜂頭盔β	257	116	8	pl007_0001
0	头盔	308	精英·巨甲蟲頭盔α	258	116	8	pl017_0001
0	头盔	309	精英·巨甲蟲頭盔β	259	116	8	pl017_0001
0	头盔	314	精英·貓蜥龍護目鏡α	264	116	8	pl058_0000
0	头盔	315	精英·貓蜥龍護目鏡β	265	116	8	pl058_0000
0	头盔	316	精英·突擊龍角α	266	116	8	pl015_0000
0	头盔	317	精英·突擊龍角β	267	116	8	pl015_0000
0	头盔	320	精英·冰豺狼圍巾α	270	116	8	pl102_0000
0	头盔	321	精英·冰豺狼圍巾β	271	116	8	pl102_0000
0	头盔	324	精英·凶豺龍頭盔α	274	116	8	pl008_0001
0	头盔	325	精英·凶豺龍頭盔β	275	116	8	pl008_0001
0	头盔	326	精英·眩鳥頭盔α	276	116	8	pl023_0001
0	头盔	327	精英·眩鳥頭盔β	277	116	8	pl023_0001
0	头盔	328	精英·凶顎龍頭盔α	278	116	8	pl022_0001
0	头盔	329	精英·凶顎龍頭盔β	279	116	8	pl022_0001
0	头盔	330	精英·岩賊龍頭盔α	280	120	8	pl039_0001
0	头盔	331	精英·岩賊龍頭盔β	281	120	8	pl039_0001
0	头盔	332	精英·搔鳥頭盔α	282	116	8	pl009_0001
0	头盔	333	精英·搔鳥頭盔β	283	116	8	pl009_0001
0	头盔	334	精英·毒妖鳥頭盔α	284	118	8	pl010_0001
0	头盔	335	精英·毒妖鳥頭盔β	285	118	8	pl010_0001
0	头盔	336	精英·土砂龍頭盔α	286	118	8	pl012_0001
0	头盔	337	精英·土砂龍頭盔β	287	118	8	pl012_0001
0	头盔	338	精英·泥魚龍頭盔α	288	118	8	pl011_0001
0	头盔	339	精英·泥魚龍頭盔β	289	118	8	pl011_0001
0	头盔	340	精英·冰魚龍頭盔α	290	118	8	pl110_0000
0	头盔	341	精英·冰魚龍頭盔β	291	118	8	pl110_0000
0	头盔	342	精英·飛雷龍頭盔α	292	120	8	pl013_0001
0	头盔	343	精英·飛雷龍頭盔β	293	120	8	pl013_0001
0	头盔	344	精英·礦石頭盔α	294	128	8	pl025_0000
0	头盔	345	精英·礦石頭盔β	295	128	8	pl025_0000
0	头盔	346	精英·猛牛龍頭盔α	296	130	8	pl084_0000
0	头盔	347	精英·猛牛龍頭盔β	297	130	8	pl084_0010
0	头盔	348	精英·蠻顎龍頭盔α	298	132	8	pl020_0001
0	头盔	349	精英·蠻顎龍頭盔β	299	132	8	pl020_0011
0	头盔	350	精英·雌火龍頭盔α	300	130	8	pl021_0001
0	头盔	351	精英·雌火龍頭盔β	301	130	8	pl021_0011
0	头盔	352	精英·火龍心頭盔α	302	132	8	pl021_0101
0	头盔	353	精英·火龍心頭盔β	303	132	8	pl021_0111
0	头盔	354	精英·浮空龍頭盔α	304	130	8	pl024_0001
0	头盔	355	精英·浮空龍頭盔β	305	130	8	pl024_0001
0	头盔	356	精英·浮夢頭盔α	306	132	8	pl024_0101
0	头盔	357	精英·浮夢頭盔β	307	132	8	pl024_0101
0	头盔	358	精英·妖水頭盔α	308	132	8	pl010_0101
0	头盔	359	精英·妖水頭盔β	309	132	8	pl010_0101
0	头盔	360	精英·朱毒頭盔α	310	132	8	pl013_0101
0	头盔	361	精英·朱毒頭盔β	311	132	8	pl013_0101
0	头盔	362	精英·骨鎚龍頭盔α	312	134	8	pl028_0001
0	头盔	363	精英·骨鎚龍頭盔β	313	134	8	pl028_0001
0	头盔	364	【皮製】服裝‧頭部	314	0	4	pl001_0000
0	头盔	365	【鎖甲】服裝‧頭部	315	0	4	pl014_0000
0	头盔	366	【獵人α】服裝‧頭部	316	0	4	pl002_0000
0	头盔	367	【獵人β】服裝‧頭部	317	0	4	pl002_0010
0	头盔	368	【骨製】服裝‧頭部	318	0	4	pl003_0000
0	头盔	369	【合金】服裝‧頭部	319	0	4	pl004_0000
0	头盔	370	【巨蜂】服裝‧頭部	320	0	4	pl007_0000
0	头盔	371	【巨甲】服裝‧頭部	321	0	4	pl017_0000
0	头盔	374	精英·敏捷耳飾α	324	154	10	pl095_0000
0	头盔	375	【溫泉金猴】服裝‧頭部	325	0	11	pl113_0001
0	头盔	376	【貓蜥龍】服裝‧頭部	326	0	4	pl058_0000
0	头盔	377	【精靈鹿頭套】服裝‧頭部	327	0	8	pl096_0000
0	头盔	378	精英·鑄鐵頭盔α	328	136	9	pl031_0000
0	头盔	379	精英·鑄鐵頭盔β	329	136	9	pl031_0000
0	头盔	380	精英·冰牙龍頭盔α	330	138	9	pl089_0000
0	头盔	381	精英·冰牙龍頭盔β	331	138	9	pl089_0010
0	头盔	382	精英·火龍頭盔α	332	140	9	pl033_0001
0	头盔	383	精英·火龍頭盔β	333	140	9	pl033_0011
0	头盔	384	精英·角龍頭盔α	334	140	9	pl034_0001
0	头盔	385	精英·角龍頭盔β	335	140	9	pl034_0011
0	头盔	386	精英·風漂龍頭盔α	336	140	9	pl027_0001
0	头盔	387	精英·風漂龍頭盔β	337	140	9	pl027_0011
0	头盔	388	精英·慘爪頭盔α	338	140	9	pl029_0001
0	头盔	389	精英·慘爪頭盔β	339	140	9	pl029_0011
0	头盔	390	精英·熔岩龍頭盔α	340	140	9	pl040_0001
0	头盔	391	精英·熔岩龍頭盔β	341	140	9	pl040_0001
0	头盔	392	精英·爆鎚龍頭盔α	342	144	9	pl041_0001
0	头盔	393	精英·爆鎚龍頭盔β	343	144	9	pl041_0001
0	头盔	394	精英·迅龍頭盔α	344	140	9	pl080_0000
0	头盔	395	精英·迅龍頭盔β	345	140	9	pl080_0010
0	头盔	396	精英·斬龍頭盔α	346	142	9	pl081_0000
0	头盔	397	精英·斬龍頭盔β	347	142	9	pl081_0010
0	头盔	398	精英·碎龍頭盔α	348	142	9	pl082_0000
0	头盔	399	精英·碎龍頭盔β	349	142	9	pl082_0010
0	头盔	400	精英·轟龍頭盔α	350	142	9	pl083_0000
0	头盔	401	精英·轟龍頭盔β	351	142	9	pl083_0010
0	头盔	402	精英·雷顎頭盔α	352	146	10	pl020_0101
0	头盔	403	精英·雷顎頭盔β	353	146	10	pl020_0111
0	头盔	404	【凶豺龍】服裝‧頭部	354	0	4	pl008_0000
0	头盔	405	【搔鳥】服裝‧頭部	355	0	4	pl009_0000
0	头盔	406	精英·黑帶頭盔α	356	150	10	pl093_0000
0	头盔	407	精英·黑帶頭盔β	357	150	10	pl093_0000
0	头盔	408	【龍王的獨眼】服裝	358	0	8	pl061_0000
0	头盔	409	【知性眼鏡】服裝	359	0	8	pl060_0000
0	头盔	410	【羽毛裝飾】服裝	360	0	8	pl037_0000
0	头盔	411	【眩鳥】服裝‧頭部	361	0	4	pl023_0000
0	头盔	412	【凶顎龍】服裝‧頭部	362	0	4	pl022_0000
0	头盔	413	精英·霜漂頭盔α	363	146	10	pl027_0500
0	头盔	414	精英·霜漂頭盔β	364	146	10	pl027_0510
0	头盔	415	精英·火龍魂頭盔α	365	148	10	pl033_0101
0	头盔	416	精英·火龍魂頭盔β	366	148	10	pl033_0111
0	头盔	417	精英·暴君角龍頭盔α	367	148	10	pl034_0101
0	头盔	418	精英·暴君角龍頭盔β	368	148	10	pl034_0111
0	头盔	419	精英·亡爪頭盔α	369	148	10	pl029_0101
0	头盔	420	精英·亡爪頭盔β	370	148	10	pl029_0111
0	头盔	421	精英·斬黃頭盔α	371	150	10	pl081_0100
0	头盔	422	精英·斬黃頭盔β	372	150	10	pl081_0110
0	头盔	423	精英·機械頭盔α	373	142	9	pl091_0000
0	头盔	424	精英·機械頭盔β	374	142	9	pl091_0000
0	头盔	425	Unavailable	375	0	0	无
0	头盔	426	【毒妖鳥α】服裝‧頭部	376	0	4	pl010_0000
0	头盔	427	【毒妖鳥β】服裝‧頭部	377	0	4	pl010_0010
0	头盔	428	精英·杜賓頭盔α	378	152	10	pl044_0000
0	头盔	429	精英·杜賓頭盔β	379	152	10	pl044_0000
0	头盔	430	精英·大馬士革頭盔α	380	152	10	pl043_0000
0	头盔	431	精英·大馬士革頭盔β	381	152	10	pl043_0010
0	头盔	432	精英·雪崩頭盔α	382	154	11	pl085_0000
0	头盔	433	精英·雪崩頭盔β	383	154	11	pl085_0010
0	头盔	434	精英·矜持頭盔α	384	154	10	pl042_0500
0	头盔	435	精英·矜持頭盔β	385	154	10	pl042_0510
0	头盔	436	精英·死滅頭盔α	386	156	11	pl032_0500
0	头盔	437	精英·死滅頭盔β	387	156	11	pl032_0510
0	头盔	438	精英·帝王皇冠α	388	156	11	pl046_0001
0	头盔	439	精英·帝王皇冠β	389	156	11	pl046_0011
0	头盔	440	精英·鋼龍強力α	390	156	11	pl047_0001
0	头盔	441	精英·鋼龍強力β	391	156	11	pl047_0011
0	头盔	442	精英·麒麟角α	392	154	11	pl035_0001
0	头盔	443	精英·麒麟角β	393	154	11	pl035_0011
0	头盔	444	精英·觸角頭盔α	394	158	11	pl086_0000
0	头盔	445	精英·觸角頭盔β	395	158	11	pl086_0010
0	头盔	446	Unavailable	396	0	0	无
0	头盔	447	【土砂龍】服裝‧頭部	397	0	4	pl012_0000
0	头盔	448	精英·公會宮殿頭盔α	398	154	10	pl094_0000
0	头盔	449	精英·公會宮殿頭盔β	399	154	10	pl094_0000
0	头盔	450	精英·蒸汽貴族頭盔α	400	142	9	pl104_0000
0	头盔	451	精英·蒸汽貴族頭盔β	401	142	9	pl104_0010
0	头盔	452	【水晶耳環】服裝	402	0	8	pl059_0000
0	头盔	453	精英·狂紋頭盔α	403	166	11	pl030_0500
0	头盔	454	精英·狂紋頭盔β	404	166	11	pl030_0510
0	头盔	455	精英·迦樓羅頭盔α	405	162	11	pl088_0000
0	头盔	456	精英·迦樓羅頭盔β	406	162	11	pl088_0010
0	头盔	457	精英·貪欲頭盔α	407	156	10	pl050_0500
0	头盔	458	精英·貪欲頭盔β	408	156	10	pl050_0510
0	头盔	459	【蠻顎龍α】服裝‧頭部	409	0	4	pl020_0000
0	头盔	460	【蠻顎龍β】服裝‧頭部	410	0	4	pl020_0010
0	头盔	461	精英·公會成果頭飾α	411	162	11	pl092_0000
0	头盔	462	精英·公會成果頭飾β	412	162	11	pl092_0000
0	头盔	463	精英·佯動耳飾α	413	162	11	pl095_0010
0	头盔	464	精英·金黃澄月頭盔α	414	162	11	pl021_0200
0	头盔	465	精英·金黃澄月頭盔β	415	162	11	pl021_0210
0	头盔	466	精英·銀白耀日頭盔α	416	164	11	pl033_0200
0	头盔	467	精英·銀白耀日頭盔β	417	164	11	pl033_0210
0	头盔	468	【泥魚龍】服裝‧頭部	418	0	4	pl011_0000
0	头盔	469	【飛雷龍】服裝‧頭部	419	0	4	pl013_0000
0	头盔	470	精英·雷狼龍頭盔α	420	158	10	pl107_0000
0	头盔	471	精英·雷狼龍頭盔β	421	158	10	pl107_0010
0	头盔	472	精英·獄狼龍頭盔α	422	160	10	pl107_0100
0	头盔	473	精英·獄狼龍頭盔β	423	160	10	pl107_0110
0	头盔	474	精英·黑狼鳥頭盔α	424	154	10	pl108_0000
0	头盔	475	精英·黑狼鳥頭盔β	425	154	10	pl108_0010
0	头盔	476	精英·鑄島熔岩頭飾α	426	160	11	pl038_0000
0	头盔	477	精英·鑄島熔岩頭飾β	427	160	11	pl038_0010
0	头盔	478	精英·金色毛髮α	428	158	10	pl109_0000
0	头盔	479	精英·金色毛髮β	429	158	10	pl109_0010
0	头盔	480	精英·齊天毛髮α	430	170	11	pl109_0500
0	头盔	481	精英·齊天毛髮β	431	170	11	pl109_0510
0	头盔	482	精英·鐵腕頭盔α	432	170	11	pl082_0500
0	头盔	483	精英·鐵腕頭盔β	433	170	11	pl082_0510
0	头盔	484	精英‧龍紋刻印封冠α	434	168	11	pl087_0000
0	头盔	485	精英‧龍紋刻印封冠β	435	168	11	pl087_0010
0	头盔	486	精英·煌黑龍智慧α	436	160	11	pl052_0000
0	头盔	487	精英·煌黑龍智慧β	437	160	11	pl052_0010
0	头盔	488	精英‧封印的龍骸布α	438	152	11	pl100_0000
0	头盔	489	精英‧龍人族之耳α	439	140	8	pl101_0000
0	头盔	490	【草食龍頭套】服裝‧頭部	440	0	8	pl097_0000
0	头盔	491	精英‧企鵝頭套α	441	138	8	pl098_0000
0	头盔	492	精英·皇后琴弦α	442	164	11	pl051_0001
0	头盔	493	精英·皇后琴弦β	443	164	11	pl051_0011
0	头盔	494	精英·絢輝龍鎧羅頭盔α	444	176	11	pl049_0001
