任务ID	任务名称	任务目标	任务失败条件
00407	狩獵骨鎚龍為粉身碎骨之戰！	狩獵骨鎚龍	‧限制時間結束‧３次力竭倒下
00408	華麗獵人‧風漂龍	狩獵風漂龍	‧限制時間結束‧３次力竭倒下
00431	特殊鬥技場：蠻顎龍篇	狩獵蠻顎龍	‧限制時間結束‧３次力竭倒下
00432	特殊鬥技場：雌火龍篇	狩獵雌火龍	‧限制時間結束‧３次力竭倒下
00433	特殊鬥技場：浮空龍篇	狩獵浮空龍	‧限制時間結束‧３次力竭倒下
00434	特殊鬥技場：骨鎚龍篇	狩獵骨鎚龍	‧限制時間結束‧３次力竭倒下
00451	與蠻勇之牙對峙	狩獵蠻顎龍	‧限制時間結束‧３次力竭倒下
00452	我是森林的搬運工	交貨飛龍的蛋２個	‧限制時間結束‧３次力竭倒下
00461	女王在荒地中燃燒	狩獵雌火龍	‧限制時間結束‧３次力竭倒下
00471	纏繞黑暗的紅光	討伐貓蜥龍１１頭	‧限制時間結束‧３次力竭倒下
00472	來自薄暗的眩鳥	狩獵眩鳥	‧限制時間結束‧３次力竭倒下
00473	輕盈飄浮的浮空龍	狩獵浮空龍	‧限制時間結束‧３次力竭倒下
00474	陸之貝是否夢想深海之夢？	交貨特產藤壺鮑魚１０個	‧限制時間結束‧３次力竭倒下
00475	捕獲：浮空龍的生態調查	捕獲浮空龍	‧限制時間結束‧３次力竭倒下‧討伐浮空龍
00481	怒濤的巨甲蟲祭	討伐巨甲蟲１４隻	‧限制時間結束‧３次力竭倒下
00482	大凶顎龍是麻痺的香氣	狩獵大凶顎龍	‧限制時間結束‧３次力竭倒下
00483	骨戰車前往山谷	狩獵骨鎚龍	‧限制時間結束‧３次力竭倒下
00484	展翅的惡夢	討伐芳翼龍５頭	‧限制時間結束‧３次力竭倒下
00501	深入谷底	達成任務	‧限制時間結束‧３次力竭倒下
00502	火龍為森林之頂	狩獵火龍	‧限制時間結束‧３次力竭倒下
00503	角龍為沙地之底	狩獵角龍	‧限制時間結束‧３次力竭倒下
00504	熔山龍誘導作戰	達成任務	‧限制時間結束‧３次力竭倒下‧誘導失敗
00531	特殊鬥技場：風漂龍篇	狩獵風漂龍	‧限制時間結束‧３次力竭倒下
00532	特殊鬥技場：慘爪龍篇	狩獵慘爪龍	‧限制時間結束‧３次力竭倒下
00533	特殊鬥技場：火龍篇	狩獵火龍	‧限制時間結束‧３次力竭倒下
00534	特殊鬥技場：角龍篇	狩獵角龍	‧限制時間結束‧３次力竭倒下
00551	王在頂點沉睡	狩獵火龍	‧限制時間結束‧３次力竭倒下
00552	最強、最恐、最棒夫妻！	狩獵所有目標	‧限制時間結束‧３次力竭倒下
00561	沙上的雙角	狩獵角龍	‧限制時間結束‧３次力竭倒下
00571	冰結奏鳴曲	狩獵風漂龍	‧限制時間結束‧３次力竭倒下
00572	蒼白之蹄的旋律	討伐麒麟	‧限制時間結束‧３次力竭倒下
00581	殘忍凶爪	狩獵慘爪龍	‧限制時間結束‧３次力竭倒下
00582	捕獲：慘爪龍的生態調查	捕獲慘爪龍	‧限制時間結束‧３次力竭倒下‧討伐慘爪龍
00583	不入虎穴焉得虎肉	交貨肉塊２個	‧限制時間結束‧３次力竭倒下
00601	驚愕的！毒妖鳥！調查！	狩獵毒妖鳥	‧限制時間結束‧３次力竭倒下
00605	暴徒變得更粗暴了	狩獵蠻顎龍	‧限制時間結束‧３次力竭倒下
00607	神秘王國的女王	達成任務	‧限制時間結束‧３次力竭倒下
00631	特殊鬥技場：毒妖鳥進階篇	狩獵毒妖鳥	‧限制時間結束‧３次力竭倒下
00632	特殊鬥技場：土砂龍進階篇	狩獵土砂龍	‧限制時間結束‧３次力竭倒下
00633	特殊鬥技場：飛雷龍進階篇	狩獵飛雷龍	‧限制時間結束‧３次力竭倒下
00634	特殊鬥技場：蠻顎龍進階篇	狩獵蠻顎龍	‧限制時間結束‧３次力竭倒下
00635	特殊鬥技場：雌火龍進階篇	狩獵雌火龍	‧限制時間結束‧３次力竭倒下
00636	特殊鬥技場：浮空龍進階篇	狩獵浮空龍	‧限制時間結束‧３次力竭倒下
00637	特殊鬥技場：骨鎚龍進階篇	狩獵骨鎚龍	‧限制時間結束‧３次力竭倒下
00641	令人懷念的落日餘暉	誘導熔山龍	‧限制時間結束‧３次力竭倒下‧誘導失敗
00651	狩獵大凶豺龍	狩獵大凶豺龍	‧限制時間結束‧３次力竭倒下
00652	狩獵毒妖鳥	狩獵毒妖鳥	‧限制時間結束‧３次力竭倒下
00653	狩獵飛雷龍	狩獵飛雷龍	‧限制時間結束‧３次力竭倒下
00654	狩獵蠻顎龍	狩獵蠻顎龍	‧限制時間結束‧３次力竭倒下
00655	沉睡之森的女王	狩獵雌火龍	‧限制時間結束‧３次力竭倒下
00656	捕獲：有如飛雷般的那個	捕獲飛雷龍	‧限制時間結束‧３次力竭倒下‧討伐飛雷龍
00661	狩獵搔鳥	狩獵搔鳥	‧限制時間結束‧３次力竭倒下
00662	狩獵土砂龍	狩獵土砂龍	‧限制時間結束‧３次力竭倒下
00663	毒妖鳥潛伏荒地	狩獵毒妖鳥	‧限制時間結束‧３次力竭倒下
00665	狩獵泥魚龍	狩獵泥魚龍	‧限制時間結束‧３次力竭倒下
00666	狩獵雌火龍	狩獵雌火龍	‧限制時間結束‧３次力竭倒下
00667	暴徒到訪荒地	狩獵蠻顎龍	‧限制時間結束‧３次力竭倒下
00671	狩獵眩鳥	狩獵眩鳥	‧限制時間結束‧３次力竭倒下
00672	狩獵浮空龍	狩獵浮空龍	‧限制時間結束‧３次力竭倒下
00681	用來提味的是麻痺的那傢伙	狩獵大凶顎龍	‧限制時間結束‧３次力竭倒下
00682	狩獵骨鎚龍	狩獵骨鎚龍	‧限制時間結束‧３次力竭倒下
00683	料理長的！興奮期待交貨委託	交貨古老化石４個	‧限制時間結束‧３次力竭倒下
00684	料理長的！心跳加速討伐委託	討伐凶顎龍１０頭	‧限制時間結束‧３次力竭倒下
00691	無法阻止急速衝刺的突擊龍	討伐突擊龍１３頭	‧限制時間結束‧３次力竭倒下
00692	討伐酸翼龍	討伐酸翼龍５頭	‧限制時間結束‧３次力竭倒下
00693	狩獵岩賊龍	狩獵岩賊龍	‧限制時間結束‧３次力竭倒下
00694	料理長的！緊張刺激擊退委託	討伐奇面族１０隻	‧限制時間結束‧３次力竭倒下
00701	渴望的黑創	討伐滅盡龍	‧限制時間結束‧３次力竭倒下
00731	特殊鬥技場：櫻火龍進階篇	狩獵櫻火龍	‧限制時間結束‧３次力竭倒下
00732	特殊鬥技場：風漂龍進階篇	狩獵風漂龍	‧限制時間結束‧３次力竭倒下
00733	特殊鬥技場：慘爪龍進階篇	狩獵慘爪龍	‧限制時間結束‧３次力竭倒下
00734	特殊鬥技場：爆鎚龍進階篇	狩獵爆鎚龍	‧限制時間結束‧３次力竭倒下
00735	特殊鬥技場：火龍進階篇	狩獵火龍	‧限制時間結束‧３次力竭倒下
00736	特殊鬥技場：蒼火龍進階篇	狩獵蒼火龍	‧限制時間結束‧３次力竭倒下
00737	特殊鬥技場：角龍進階篇	狩獵角龍	‧限制時間結束‧３次力竭倒下
00738	特殊鬥技場：黑角龍進階篇	狩獵黑角龍	‧限制時間結束‧３次力竭倒下
00751	狩獵火龍	狩獵火龍	‧限制時間結束‧３次力竭倒下
00752	狩獵蒼火龍	狩獵蒼火龍	‧限制時間結束‧３次力竭倒下
00753	蒼紅亂麻	狩獵所有目標	‧限制時間結束‧３次力竭倒下
00761	狩獵櫻火龍	狩獵櫻火龍	‧限制時間結束‧３次力竭倒下
00762	狩獵角龍	狩獵角龍	‧限制時間結束‧３次力竭倒下
00763	黑角龍鍾愛沙地	狩獵黑角龍	‧限制時間結束‧３次力竭倒下
00764	荒野的大大大暴動！	狩獵所有目標	‧限制時間結束‧３次力竭倒下
00771	台地的暴風雪是櫻色	狩獵櫻火龍	‧限制時間結束‧３次力竭倒下
00772	狩獵風漂龍	狩獵風漂龍	‧限制時間結束‧３次力竭倒下
00773	好戲在慘爪龍之後	狩獵慘爪龍	‧限制時間結束‧３次力竭倒下
00774	涼爪與慘爪的交會之處	狩獵所有目標	‧限制時間結束‧３次力竭倒下
00781	狩獵慘爪龍	狩獵慘爪龍	‧限制時間結束‧３次力竭倒下
00791	熔岩龍	狩獵熔岩龍	‧限制時間結束‧３次力竭倒下
00792	爆鎚龍翻倒了！	狩獵爆鎚龍	‧限制時間結束‧３次力竭倒下
00793	其為蒼空王者	狩獵蒼火龍	‧限制時間結束‧３次力竭倒下
00794	奇襲燎原爆鱗龍	狩獵爆鱗龍	‧限制時間結束‧３次力竭倒下
00795	火與火交會者們	狩獵所有目標	‧限制時間結束‧３次力竭倒下
00801	鋼鐵的鋼龍	討伐鋼龍	‧限制時間結束‧３次力竭倒下
00802	爆炎的炎王龍	討伐炎王龍	‧限制時間結束‧３次力竭倒下
00803	冥底的屍套龍	討伐屍套龍	‧限制時間結束‧３次力竭倒下
00804	收束之地	達成任務	‧限制時間結束‧３次力竭倒下
00805	超越爆鱗之道	狩獵２頭爆鱗龍	‧限制時間結束‧３次力竭倒下
00806	此雷鳴是天罰？亦或是祝福？	討伐麒麟	‧限制時間結束‧３次力竭倒下
00851	剎現的荒天預感	討伐鋼龍	‧限制時間結束‧３次力竭倒下
00861	熱沙陽炎	討伐炎王龍	‧限制時間結束‧３次力竭倒下
00871	幻獸如是美麗	討伐麒麟	‧限制時間結束‧３次力竭倒下
00881	覺醒於墓標之底	討伐屍套龍	‧限制時間結束‧３次力竭倒下
00891	噬嵐者	討伐滅盡龍	‧限制時間結束‧３次力竭倒下
00892	暴風之主	討伐鋼龍	‧限制時間結束‧３次力竭倒下
00893	獄炎的牙城	討伐炎王龍	‧限制時間結束‧３次力竭倒下
00894	噬焰者	討伐滅盡龍	‧限制時間結束‧３次力竭倒下
00895	颶風之瑕因緣不淺	討伐鋼龍	‧限制時間結束‧３次力竭倒下
00896	業火之瑕因緣不淺	討伐炎王龍	‧限制時間結束‧３次力竭倒下
00961	超越爆鱗之道	狩獵２頭爆鱗龍	‧限制時間結束‧３次力竭倒下
00971	此雷鳴是天罰？亦或是祝福？	討伐麒麟	‧限制時間結束‧３次力竭倒下
00991	在冥河中揭起燈火	討伐冥燈龍	‧限制時間結束‧３次力竭倒下
00992	新大陸的白風	狩獵所有目標	‧限制時間結束‧３次力竭倒下
00995	指引明路的蒼藍星	討伐所有目標	‧限制時間結束‧３次力竭倒下
00996	泥土與骨鎚的激烈大戰	狩獵所有目標	‧限制時間結束‧３次力竭倒下
00997	新大陸的空與花	狩獵所有目標	‧限制時間結束‧３次力竭倒下
00998	在深淵之底呼喚你	狩獵所有目標	‧限制時間結束‧３次力竭倒下
01101	初次洗禮！？	狩獵冰魚龍	‧限制時間結束‧３次力竭倒下
01102	粗活就交給猛牛龍	狩獵猛牛龍	‧限制時間結束‧３次力竭倒下
01121	深雪的潛水員	狩獵冰魚龍	‧限制時間結束‧３次力竭倒下
01122	連猛牛也要敬畏獵人三分！？	狩獵猛牛龍	‧限制時間結束‧３次力竭倒下
01123	捕獲：有志者雪竟融	捕獲冰魚龍	‧限制時間結束‧３次力竭倒下‧討伐冰魚龍
01124	冰樹下的閃耀眼神	討伐１０頭冰豺狼	‧限制時間結束‧３次力竭倒下
01125	來自寒冷之地的招呼	交貨２０個特產款冬花芽	‧限制時間結束‧３次力竭倒下
01131	特殊鬥技場：毒妖鳥Master篇	狩獵毒妖鳥	‧限制時間結束‧３次力竭倒下
01132	特殊鬥技場：土砂龍Master篇	狩獵土砂龍	‧限制時間結束‧３次力竭倒下
01133	特殊鬥技場：飛雷龍Master篇	狩獵飛雷龍	‧限制時間結束‧３次力竭倒下
01134	特殊鬥技場：猛牛龍Master篇	狩獵猛牛龍	‧限制時間結束‧３次力竭倒下
01151	大凶豺龍的回歸	狩獵大凶豺龍	‧限制時間結束‧３次力竭倒下
01152	長舌的搗蛋鬼	狩獵毒妖鳥	‧限制時間結束‧３次力竭倒下
01153	飛電迅如箭	狩獵飛雷龍	‧限制時間結束‧３次力竭倒下
01154	漂泊的收藏家，在此現身！	狩獵搔鳥	‧限制時間結束‧３次力竭倒下
01155	捕獲：猛角掃千軍	捕獲猛牛龍	‧限制時間結束‧３次力竭倒下‧討伐猛牛龍
01161	荒地的寶物獵人	狩獵搔鳥	‧限制時間結束‧３次力竭倒下
01162	橫衝直撞就是風格	狩獵土砂龍	‧限制時間結束‧３次力竭倒下
01163	你我之間的泥濘之戰	狩獵泥魚龍	‧限制時間結束‧３次力竭倒下
01164	毒妖鳥的美食之旅？	狩獵毒妖鳥	‧限制時間結束‧３次力竭倒下
01171	眩鳥☆閃光！	狩獵眩鳥	‧限制時間結束‧３次力竭倒下
01181	我們的教父	狩獵大凶顎龍	‧限制時間結束‧３次力竭倒下
01191	龍結晶晚餐	狩獵岩賊龍	‧限制時間結束‧３次力竭倒下
01192	巨角破壞王	狩獵猛牛龍	‧限制時間結束‧３次力竭倒下
01201	冰土守門者‧痺毒龍	狩獵痺毒龍	‧限制時間結束‧３次力竭倒下
01202	眠之飛龍與四顆眼珠	狩獵浮眠龍	‧限制時間結束‧３次力竭倒下
01203	佔領飲水處吧！	狩獵水妖鳥	‧限制時間結束‧３次力竭倒下
01221	狩獵痺毒龍	狩獵痺毒龍	‧限制時間結束‧３次力竭倒下
01222	捕獲：用毒與麻痺的高手	捕獲痺毒龍	‧限制時間結束‧３次力竭倒下‧討伐痺毒龍
01223	獸纏族！獸獸獸纏族！	討伐１４隻獸纏族	‧限制時間結束‧３次力竭倒下
01224	雙方團隊的共同戰線	狩獵冰魚龍	‧限制時間結束‧３次力竭倒下
01225	魚心冰意	狩獵冰魚龍	‧限制時間結束‧３次力竭倒下
01231	特殊鬥技場：蠻顎龍Master篇	狩獵蠻顎龍	‧限制時間結束‧３次力竭倒下
01232	特殊鬥技場：骨鎚龍Master篇	狩獵骨鎚龍	‧限制時間結束‧３次力竭倒下
01233	特殊鬥技場：水妖鳥Master篇	狩獵水妖鳥	‧限制時間結束‧３次力竭倒下
01234	特殊鬥技場：痺毒龍Master篇	狩獵痺毒龍	‧限制時間結束‧３次力竭倒下
01235	特殊鬥技場：雌火龍Master篇	狩獵雌火龍	‧限制時間結束‧３次力竭倒下
01236	特殊鬥技場：櫻火龍Master篇	狩獵櫻火龍	‧限制時間結束‧３次力竭倒下
01237	特殊鬥技場：浮空龍Master篇	狩獵浮空龍	‧限制時間結束‧３次力竭倒下
01238	特殊鬥技場：浮眠龍Master篇	狩獵浮眠龍	‧限制時間結束‧３次力竭倒下
01251	森林的暴徒、再臨	狩獵蠻顎龍	‧限制時間結束‧３次力竭倒下
01252	陸地女王‧雌火龍的嘆息	狩獵雌火龍	‧限制時間結束‧３次力竭倒下
01253	捕獲：晚安了浮眠龍	捕獲浮眠龍	‧限制時間結束‧３次力竭倒下‧討伐浮眠龍
01261	女王陛下優雅的一天	狩獵雌火龍	‧限制時間結束‧３次力竭倒下
01262	狩獵浮眠龍	狩獵浮眠龍	‧限制時間結束‧３次力竭倒下
01263	肆虐荒地的暴徒	狩獵蠻顎龍	‧限制時間結束‧３次力竭倒下
01264	華麗的皇后們	狩獵所有目標	‧限制時間結束‧３次力竭倒下
01271	高飛吧！浮空龍！	狩獵浮空龍	‧限制時間結束‧３次力竭倒下
01272	春神降臨珊瑚大地	狩獵櫻火龍	‧限制時間結束‧３次力竭倒下
01273	補充水分最重要！	狩獵水妖鳥	‧限制時間結束‧３次力竭倒下
01274	過度暢飲警報！	狩獵水妖鳥	‧限制時間結束‧３次力竭倒下
01281	狩獵骨鎚龍	狩獵骨鎚龍	‧限制時間結束‧３次力竭倒下
01282	蟲？昆蟲！？都是蟲！！！	討伐所有目標	‧限制時間結束‧３次力竭倒下
01291	尋找遠古的光輝	交貨２０個大地琥珀	‧限制時間結束‧３次力竭倒下
01301	冰凍王國的白騎士	狩獵冰牙龍	‧限制時間結束‧３次力竭倒下
01302	絕影	狩獵迅龍	‧限制時間結束‧３次力竭倒下
01303	灼熱之刃，斬龍！	狩獵斬龍	‧限制時間結束‧３次力竭倒下
01304	絕對強者	狩獵轟龍	‧限制時間結束‧３次力竭倒下
01305	粉碎的迎擊拳	狩獵碎龍	‧限制時間結束‧３次力竭倒下
01306	來自冰炎一線間	擊退冰呪龍	‧限制時間結束‧３次力竭倒下
01321	冰牙龍現身！	狩獵冰牙龍	‧限制時間結束‧３次力竭倒下
01322	捕獲：理想房間喵！石篇	捕獲轟龍	‧限制時間結束‧３次力竭倒下‧討伐轟龍
01323	孤高的白騎士	狩獵冰牙龍	‧限制時間結束‧３次力竭倒下
01331	特殊鬥技場：風漂龍Master篇	狩獵風漂龍	‧限制時間結束‧３次力竭倒下
01332	特殊鬥技場：慘爪龍Master篇	狩獵慘爪龍	‧限制時間結束‧３次力竭倒下
01333	特殊鬥技場：爆鎚龍Master篇	狩獵爆鎚龍	‧限制時間結束‧３次力竭倒下
01334	特殊鬥技場：火龍Master篇	狩獵火龍	‧限制時間結束‧３次力竭倒下
01335	特殊鬥技場：角龍Master篇	狩獵角龍	‧限制時間結束‧３次力竭倒下
01336	特殊鬥技場：冰牙龍Master篇	狩獵冰牙龍	‧限制時間結束‧３次力竭倒下
01337	特殊鬥技場：迅龍Master篇	狩獵迅龍	‧限制時間結束‧３次力竭倒下
01338	特殊鬥技場：斬龍Master篇	狩獵斬龍	‧限制時間結束‧３次力竭倒下
01339	特殊鬥技場：碎龍Master篇	狩獵碎龍	‧限制時間結束‧３次力竭倒下
01340	特殊鬥技場：轟龍Master篇	狩獵轟龍	‧限制時間結束‧３次力竭倒下
01351	空中之王君臨的挑戰	狩獵火龍	‧限制時間結束‧３次力竭倒下
01352	疾風的迅龍	狩獵迅龍	‧限制時間結束‧３次力竭倒下
01353	一刀兩斷的奧義	狩獵斬龍	‧限制時間結束‧３次力竭倒下
01354	最強的紅與黑	狩獵所有目標	‧限制時間結束‧３次力竭倒下
01361	死鬥，角龍現身！	狩獵角龍	‧限制時間結束‧３次力竭倒下
01362	眩目的一閃	狩獵斬龍	‧限制時間結束‧３次力竭倒下
01363	刀具與火侯決定了料理的一切	狩獵所有目標	‧限制時間結束‧３次力竭倒下
01371	歡迎來到天空舞會！	狩獵風漂龍	‧限制時間結束‧３次力竭倒下
01372	暗閻之風	狩獵迅龍	‧限制時間結束‧３次力竭倒下
01373	慘劇就在眼前	狩獵慘爪龍	‧限制時間結束‧３次力竭倒下
01381	龍爪的慘劇	狩獵慘爪龍	‧限制時間結束‧３次力竭倒下
01382	轟響山谷的咆哮	狩獵轟龍	‧限制時間結束‧３次力竭倒下
01383	暴走、狂轉、大競爭！	狩獵所有目標	‧限制時間結束‧３次力竭倒下
01391	爆破警報發布中	狩獵碎龍	‧限制時間結束‧３次力竭倒下
01392	打倒熔岩龍要趁熱	狩獵熔岩龍	‧限制時間結束‧３次力竭倒下
01393	迴旋的爆鎚龍	狩獵爆鎚龍	‧限制時間結束‧３次力竭倒下
01394	捕獲：秘訣就在於黏菌！？	捕獲碎龍	‧限制時間結束‧３次力竭倒下‧討伐碎龍
01395	爆炸粉碎的慶典！	狩獵所有目標	‧限制時間結束‧３次力竭倒下
01401	剎那白霧	狩獵霜翼風漂龍	‧限制時間結束‧３次力竭倒下
01402	腐蝕之刃‧硫斬龍	狩獵硫斬龍	‧限制時間結束‧３次力竭倒下
01403	兇終隙末‧兇爪龍	狩獵兇爪龍	‧限制時間結束‧３次力竭倒下
01404	月辰防衛戰	達成任務	‧限制時間結束‧３次力竭倒下‧防衛失敗
01405	暴徒大將的狩獵大作戰！	狩獵雷顎龍	‧限制時間結束‧３次力竭倒下
01421	風霜高潔的獵人	狩獵霜翼風漂龍	‧限制時間結束‧３次力竭倒下
01422	不畏嚴寒的暴徒	狩獵雷顎龍	‧限制時間結束‧３次力竭倒下
01423	舞蹈家的雙人舞	狩獵所有目標	‧限制時間結束‧３次力竭倒下
01424	重點就在水氣中	交貨２個湯華岩石	‧限制時間結束‧３次力竭倒下
01431	特殊鬥技場：蒼火龍Master篇	狩獵蒼火龍	‧限制時間結束‧３次力竭倒下
01432	特殊鬥技場：黑角龍Master篇	狩獵黑角龍	‧限制時間結束‧３次力竭倒下
01433	特殊鬥技場：硫斬龍Master篇	狩獵硫斬龍	‧限制時間結束‧３次力竭倒下
01434	特殊鬥技場：兇爪龍Master篇	狩獵兇爪龍	‧限制時間結束‧３次力竭倒下
01435	特殊鬥技場：雷顎龍Master篇	狩獵雷顎龍	‧限制時間結束‧３次力竭倒下
01451	天蒼恢恢！	狩獵蒼火龍	‧限制時間結束‧３次力竭倒下
01452	林中兇爪	狩獵兇爪龍	‧限制時間結束‧３次力竭倒下
01461	從沙地衝出奔馳吧少女！	狩獵黑角龍	‧限制時間結束‧３次力竭倒下
01462	黑光炯炯	狩獵黑角龍	‧限制時間結束‧３次力竭倒下
01471	黑色的罪人	狩獵兇爪龍	‧限制時間結束‧３次力竭倒下
01481	腐蝕之劍	狩獵硫斬龍	‧限制時間結束‧３次力竭倒下
01482	捕獲：理想房間喵！鐵明篇	捕獲硫斬龍	‧限制時間結束‧３次力竭倒下‧討伐硫斬龍
01483	理想房間喵！鐵暗篇	狩獵所有目標	‧限制時間結束‧３次力竭倒下
01491	再調查‧蒼火龍	狩獵蒼火龍	‧限制時間結束‧３次力竭倒下
01492	捕獲：捉拿雷之顎吧！	捕獲雷顎龍	‧限制時間結束‧３次力竭倒下‧討伐雷顎龍
01501	冰之龍	討伐冰呪龍	‧限制時間結束‧３次力竭倒下
01502	大災難，再次到來！	狩獵紅蓮爆鱗龍	‧限制時間結束‧３次力竭倒下
01503	霧瘴屍套龍	討伐霧瘴屍套龍	‧限制時間結束‧３次力竭倒下
01504	直至點亮溟海指標	討伐溟波龍	‧限制時間結束‧３次力竭倒下
01521	冰冠的交戰	討伐冰呪龍	‧限制時間結束‧３次力竭倒下
01551	召喚晴天的魔龍	討伐鋼龍	‧限制時間結束‧３次力竭倒下
01552	死亡之神降臨	討伐霧瘴屍套龍	‧限制時間結束‧３次力竭倒下
01561	沙漠中的晉見	討伐炎王龍	‧限制時間結束‧３次力竭倒下
01562	恐暴的饗宴	狩獵惶怒恐暴龍	‧限制時間結束‧３次力竭倒下
01571	雷電閃光	討伐麒麟	‧限制時間結束‧３次力竭倒下
01572	海神迷惘的記憶	討伐溟波龍	‧限制時間結束‧３次力竭倒下
01581	吞食生命無返黃泉	討伐霧瘴屍套龍	‧限制時間結束‧３次力竭倒下
01591	翔風之龍	討伐鋼龍	‧限制時間結束‧３次力竭倒下
01592	太陽的證明	討伐炎王龍	‧限制時間結束‧３次力竭倒下
01593	爆裂滾滾爆鱗龍	狩獵紅蓮爆鱗龍	‧限制時間結束‧３次力竭倒下
01594	捕獲：理想房間喵！銀篇	捕獲紅蓮爆鱗龍	‧限制時間結束‧３次力竭倒下‧討伐紅蓮爆鱗龍
01601	引導者之歌	達成任務	‧限制時間結束‧３次力竭倒下
01602	引導之歌	達成任務	‧限制時間結束‧３次力竭倒下
01603	惰眠與火酒的日子	狩獵所有目標	‧限制時間結束‧３次力竭倒下
01604	貫徹武道家魂！！	狩獵所有目標	‧限制時間結束‧３次力竭倒下
01605	與心愛的你行至世界盡頭	討伐殲世滅盡龍	‧限制時間結束‧３次力竭倒下
01606	目中無人的傢伙來了！	狩獵黑狼鳥	‧限制時間結束‧３次力竭倒下
01631	榮冠的獵人們	狩獵所有目標	‧限制時間結束‧３次力竭倒下
01632	特殊鬥技場：雷狼龍Master篇	狩獵雷狼龍	‧限制時間結束‧３次力竭倒下
01633	特殊鬥技場：黑狼鳥Master篇	狩獵黑狼鳥	‧限制時間結束‧３次力竭倒下
01634	特殊鬥技場：黑轟龍Master篇	狩獵黑轟龍	‧限制時間結束‧３次力竭倒下
01635	特殊鬥技場：金火龍Master篇	狩獵金火龍	‧限制時間結束‧３次力竭倒下
01636	特殊鬥技場：銀火龍Master篇	狩獵銀火龍	‧限制時間結束‧３次力竭倒下
01641	遠方的蘿蕾萊	討伐天地煌啼龍	‧限制時間結束‧３次力竭倒下
01642	陰陽讚歌	狩獵所有目標	‧限制時間結束‧３次力竭倒下
01651	突從天降的別離與風暴	討伐所有目標	‧限制時間結束‧３次力竭倒下
01661	與你的相遇是炎妃蒼火	討伐炎妃龍	‧限制時間結束‧３次力竭倒下
01671	神賜的台地	討伐所有目標	‧限制時間結束‧３次力竭倒下
01691	皇妃鎮座的炎之宮殿	討伐炎妃龍	‧限制時間結束‧３次力竭倒下
01692	新大陸的獵人們啊	討伐所有目標	‧限制時間結束‧３次力竭倒下
