吊坠ID	吊坠代码	吊坠名称	模型地址
182	CHARM_182_NAME	機械結構的銀時鐘	charm076
183	CHARM_183_NAME	迷你超級８‧１Ｐ	charm064
184	CHARM_184_NAME	迷你超級８‧２Ｐ	charm063
185	CHARM_185_NAME	水晶小刀‧紅玉	charm078
186	CHARM_186_NAME	水晶小刀‧琥珀	charm078
187	CHARM_187_NAME	水晶小刀‧琉璃	charm078
188	CHARM_188_NAME	超電雷光蟲	charm073
189	CHARM_189_NAME	蝕龍蟲	charm074
190	CHARM_190_NAME	雪花護身符【冰呪龍】	charm080
191	CHARM_191_NAME	赤熱的燭台【斬龍】	charm077
192	CHARM_192_NAME	驚嚇搔鳥	charm079
193	DUMMY000009	Unavailable	charm001
194	CHARM_194_NAME	公會獎章‧救世的獵人	charm081
195	CHARM_195_NAME	引導的結晶‧羈絆	charm082
196	CHARM_196_NAME	MH Riders 麒麟	charm083
