Achieve ID	Achieve Name	Achieve Desc
068	Mistero sommerso	Medaglia ricevuta per aver catturatouna creatura schiva nascosta sottola superficie dell'acqua.
069	Illusione celestiale	Medaglia ricevuta per aver catturatouna creatura fantastica che fluttuanei cieli.
070	Scavatore lesto	Medaglia ricevuta per aver catturatouna creatura che ama scavare buchenel terreno.
071	Creature della terra	Medaglia ricevuta per aver catturato,in ogni regione, una creatura che amascavare buche nel terreno.
072	Difesa agguerrita	Medaglia ricevuta per averottenuto cinque pezzi di armaturaestremamente rari.
073	Offensiva spietata	Medaglia ricevuta per aver ottenutocinque armi estremamente rare.
074	Tesoro personale	Medaglia ricevuta per aver equipaggiatoil tuo primo pendente.
075	In sella	Medaglia ricevuta per aver usatola tua prima cavalcatura.
076	Esperto cavallerizzo	Medaglia ricevuta per aver usatola cavalcatura molte volte.
077	Collezionista in erba	Medaglia ricevuta per avertrovato il tuo primo tesoro.
078	Collezionista veterano	Medaglia ricevuta per aver trovatotutti i tesori di una singola regione.
079	Collezionista supremo	Medaglia ricevuta per avertrovato tutti i tesori.
080	Arredatore	Medaglia ricevuta per aver modificatol'arredamento dei tuoi alloggi perla prima volta.
081	Decoratore d'interni	Medaglia ricevuta per aver sbloccato50 pezzi di arredamento diversi.
082	Artista del mobilio	Medaglia ricevuta per aver sbloccato120 pezzi di arredamento diversi.
083	Ingegnere ambizioso	Medaglia ricevuta per aver aiutatola Centrale a vapore 20 volte.
084	Mago del vapore	Medaglia ricevuta per aver raggiuntolo stato di Ultravapore nellaCentrale a vapore.
085	Un'altra mini corona	Medaglia ricevuta per aver ottenutouna mini corona catturando faunaendemica di grado maestro.
086	Un'altra grande corona	Medaglia ricevuta per aver ottenutouna grande corona (oro) catturandofauna endemica di grado maestro.
087	Osservatore dilettante	Medaglia ricevuta per aver completatoil tuo primo incarico per l'esperto di Lynian.
088	Osservatore provetto	Medaglia ricevuta per aver completatomolti incarichi per l'esperto di Lynian.
089	Cacciatore alla mano	Medaglia ricevuta per aver aiutato,dal grado maestro, cacciatori dibasso/alto grado per 10 missioni.
090	Maestro dei maestri	Medaglia ricevuta per averraggiunto il grado maestro 200.
091	Esperto di mostri	Medaglia ricevuta per aver raggiuntoil massimo livello di ricerca perquasi tutti i mostri grandi.
092	Gran collezionista di mini corone	Medaglia ricevuta per aver ottenutouna mini corona per quasi tuttii mostri nel tuo diario di caccia.
093	Gran collezionista di grandi corone	Medaglia ricevuta per aver ottenutouna grande corona (oro) per quasi tuttii mostri nel tuo diario di caccia.
094	La vera caccia ha inizio	Medaglia ricevuta per aver cacciatoil tuo primo mostro grande inuna missione di grado maestro.
095	Cacciatore prodigio	Medaglia ricevuta per aver cacciato100 mostri grandi in missionidi grado maestro.
096	Maestro di cattura	Medaglia ricevuta per aver catturato50 mostri grandi in missionidi grado maestro.
097	Maestro di morte	Medaglia ricevuta per aver ucciso50 draghi anziani in missionidi grado maestro.
098	Confronto con l'ignoto	Medaglia ricevuta per aver cacciatola tua prima variante di mostro.
099	Ho visto di tutto	Medaglia ricevuta per aver cacciato30 varianti di mostri.
