Achieve ID	Achieve Name	Achieve Desc
034	Colecionador de Coroas em Miniatura	Obtenha uma coroa em miniatura para 10ou mais monstros que aparecem em ranquebaixo ou elevado.
035	Mestre das Coroas em Miniatura	Obtenha uma coroa em miniatura paramuitos monstros no registro de caçada.
036	Coroa Gigante	Registre sua primeira coroa de prataou maior para monstros que aparecemem ranque baixo ou elevado.
037	Colecionador de Coroas Gigantes	Obtenha uma coroa de ouro para 10 oumais monstros que aparecem em ranquebaixo ou elevado.
038	Mestre das Coroas Gigantes	Obtenha uma coroa de ouro para muitosmonstros no registro de caçada.
039	Principiante na Captura	Capture seu primeiro monstro.
040	Profissional da Captura	Capture 50 monstros.
041	Matador de Anciões	Mate 50 dragões anciões.
042	Matador de Monstros	Cace 100 monstros grandes.
043	Caça-monstros	Cace 500 monstros grandes.
044	SOCORRO!	Dispare um sinalizador SOSpela primeira vez.
045	Eu Sou os Reforços	Responda a um sinalizador SOSe ajude a concluir 10 missões.
046	Caçadores Unidos	Conclua uma missão via multijogador.
047	Caçadores Unidos para Sempre	Conclua 100 missões via multijogador.
048	Espalhando as Notícias	Colete mais de 50 Cartões de Guilda.
049	Caçador Estabelecido	Alcance o ranque de caçador 100.
000doc3	Conjunto de troféus Monster Hunter: World.	Invalid Message
050	Conquistador do Interior	Desbloqueie todas as medalhas deMonster Hunter World: Iceborne.
051	O Começo de Uma Nova Expedição	Conquiste o direito de assumirserviços de ranque mestre 1<ICON STAR_1>.
052	Agora a Coisa Fica Séria	Conquiste o direito de assumirserviços de ranque mestre 2<ICON STAR_1>.
053	O Dragão Ancião Evasivo	Conquiste o direito de assumirserviços de ranque mestre 3<ICON STAR_1>.
054	Espírito Indomável	Conquiste o direito de assumirserviços de ranque mestre 4<ICON STAR_1>.
055	O Dragoeterno Antigo	Conquiste o direito de assumirserviços de ranque mestre 5<ICON STAR_1>.
056	Um Fim e um Começo	Resolva o mistério do Dragoeterno Antigo.
057	Para a Terra das Descobertas	Chegue às Terras-Guias.
058	Ecologia em Evolução	Desenvolva qualquer região ao nível 7.
059	Em Busca de Materiais Raros	Reúna materiais em afloramentos epilhas de ossos raros.
060	Investigador Insaciável	Analise 50 rastros especiais.
061	Conclusão do Destino	Mate o Nergigante Ferrenho nasTerras-Guias, removendo o limite deranque mestre máximo.
062	Mestre da Exploração	Estabeleça todos os acampamentos naFronteira Glacial.
063	Fonte de Relaxamento	Passe um tempo em uma fonte termal.
064	Prendedor Iniciante	Aprenda sobre a prendedora.
065	Brilho Dourado	Capture uma criatura com um brilhodourado na Fronteira Glacial.
066	Indicador Amigável	Capture uma criatura que parece apontarpara alguma coisa.
067	Doce Melodia	Capture uma criatura que cria umalinda melodia.
068	Mistério Submerso	Capture uma misteriosa criatura queespreita abaixo da superfície da água.
069	Ilusão Celestial	Capture uma fantástica criatura queflutua pelo céu.
070	Cavador Capaz	Capture uma criatura que adoracavar buracos no chão.
071	Criaturas da Terra	Capture uma criatura cavadora de buracosde cada região.
072	Defesa Inabalável	Obtenha cinco peças de armadurararíssimas.
073	Ofensiva Devastadora	Obtenha cinco armas raríssimas.
074	Tesouro Pessoal	Equipe seu primeiro pingente.
075	Primeira Cavalgada	Faça sua primeira Cavalgada.
076	Cavaleiro Experiente	Use a Cavalgada várias vezes.
077	Colecionador Inexperiente	Encontre seu primeiro tesouro.
078	Colecionador Veterano	Encontre todos os tesouros dentro de umamesma localidade.
079	Colecionador Supremo	Encontre todos os tesouros.
080	Remodelador	Mude o interior do seu quarto pelaprimeira vez.
081	Decorador de Interiores	Tenha 50 tipos diferentes de decoraçõespara escolher.
082	Artista Arquitetônico	Tenha 120 tipos diferentes de decoraçõespara escolher.
083	Engenheiro Entusiasmado	Ajude no Vaporizador 20 vezes.
084	Vitória no Vaporizador	Leve o Vaporizador à supercarga.
085	Outra Coroa em Miniatura	Obtenha sua primeira coroa emminiatura por capturar vida nativano ranque mestre.
086	Outra Coroa Gigante	Obtenha sua primeira coroa deouro por capturar vida nativano ranque mestre.
087	Observador Inexperiente	Complete seu primeiro pedido para oPesquisador Lyniano.
088	Ótimo Observador	Complete muitos pedidos para oPesquisador Lyniano.
089	Caçador Prestativo	Ajude um caçador de ranque baixo ouelevado em 10 missões como caçadorde ranque mestre.
090	Mestre dos Mestres	Alcance o ranque mestre 200.
091	Mestre Monstro	Maximize o nível de pesquisa dequase todos os monstros grandes.
092	Colec. Genuíno de Coroas Miniatura	Obtenha uma coroa em miniatura paraquase todos os monstros no registrode caçada.
093	Colec. Genuíno de Coroas Grandes	Obtenha uma coroa de ouro para quasetodos os monstros no registro de caçada.
094	A Verdadeira Caçada Começa	Cace seu primeiro monstro grande em umamissão de ranque mestre.
095	Caçador Prodígio	Cace 100 monstros grandes em missões deranque mestre.
096	Mestre da Captura	Capture 50 monstros grandes em missõesde ranque mestre.
097	Mestre Matador	Mate 50 dragões anciões em missões deranque mestre.
098	Enfrentando o Desconhecido	Cace sua primeira variante de monstro.
099	Viu de Tudo	Cace 30 variantes de monstros.
