Music Code	Music Level	Music Name
HUD_HUE_46_W	1	Pestwiderstand hoch (L)
HUD_HUE_47	-	Pest negiert
HUD_HUE_47_W	1	Pest negiert Zeitbonus
HUD_HUE_48	-	Ohrstöpsel (S) / Winddruck negiert
HUD_HUE_48_S	0	Ohrstöpsel (S) / Winddruck negiert
HUD_HUE_48_W	1	Ohrstöpsel (S) / Winddruck negiert Zeitbonus
HUD_HUE_49	-	Gesundheitserholung (M)
HUD_HUE_23_W	1	Ohrstöpsel (S) Zeitbonus
HUD_HUE_07_W	1	Winddruck negiert Zeitbonus
HUD_HUE_41_W	1	Rückschläge negiert Zeitbonus
HUD_HUE_50	-	Einschlagsecho-Welle
HUD_HUE_51	-	"Echo-Welle ""Drachen"""
HUD_HUE_52	-	Max. Ausdauer hoch + Erholung
HUD_HUE_53	-	Verbesserte Gesundheitserholung
HUD_HUE_54	-	Geschw-Boost + Unverwundbarkeit hoch
HUD_HUE_55	-	Elementeffektivität hoch
HUD_HUE_56	-	Unverwundbarkeit hoch
HUD_HUE_21_G	-	Schlamm/Wasser/Schnee-Widerstand
HUD_HUE_21_W_G	-	Schlamm/Wasser/Schnee-Widerstand-Zeitbonus
