Achieve ID	Achieve Name	Achieve Desc
028	Erste Freunde	Freunde dich mit einem Schnurrtruppleran.
029	Werkzeugmeister	Erhöhe die Erfahrungsstufe einesbeliebigen Palico-Gadgets auf 10.
030	Doktor der Monsterologie	Erreiche die maximale Forschungsstufe(bis hochrangig) für viele Monster.
031	Hart, aber herzlich	Erjage dein erstes Gehärtetes Monster.
032	Unbezwingbar	Erjage 50 Gehärtete Monster.
033	Kleine Krone	Erhalte deine erste kleine Krone fürMonster, die bereits im niedrigenoder hohen Rang erscheinen.
034	Ein Sammler kleiner Kronen	Erhalte eine kleine Krone fürmindestens 10 Monster, die imniedrigen oder hohen Rang erscheinen.
035	Der Meister kleiner Kronen	Erhalte eine kleine Krone fürviele Monster im Jagdprotokoll.
036	Große Krone	Erhalte deine 1. silberne Kroneoder besser für Monster, die imniedrigen / hohen Rang erscheinen.
037	Ein Sammler großer Kronen	Erhalte eine goldene Krone fürmindestens 10 Monster, die imniedrigen oder hohen Rang erscheinen.
038	Der Meister großer Kronen	Erhalte eine goldene Krone fürviele Monster im Jagdprotokoll.
039	Fanganfänger	Fange ein Monster.
040	Fangexperte	Fange 50 Monster.
041	Kein Respekt	Töte 50 Drachenälteste.
042	Monstertöter	Erjage 100 große Monster.
043	Monsterjäger	Erjage 500 große Monster.
044	HILFE!	Feuere zum ersten Mal einNot-Leuchtzeichen ab.
045	Ich bin die Verstärkung	Hilf 10 Mal, eine Quest abzuschließen,nachdem du auf ein Not-Leuchtzeichenreagiert hast.
046	Jagdgemeinschaft	Schließe eine Mehrspieler-Quest ab.
047	Ewige Jagdgemeinschaft	Schließe 100 Mehrspieler-Quests ab.
048	Zartes, gebrochenes Weiß	Sammle mindestens 50 Gildenkarten.
049	Etablierter Jäger	Erreiche Jägerrang 100.
000doc3	Monster Hunter: World Trophäenset.	Invalid Message
050	Eroberer der Hinterlande	Schalte alle Medaillen fürMonster Hunter World: Iceborne frei.
051	Der Beginn einer neuen Expedition	Erhalte das Recht,1-<ICON STAR_1>-Meisterrangaufgabenanzunehmen.
052	Jetzt wird's ernst	Erhalte das Recht,2-<ICON STAR_1>-Meisterrangaufgabenanzunehmen.
053	Der trügerische Drachenälteste	Erhalte das Recht,3-<ICON STAR_1>-Meisterrangaufgabenanzunehmen.
054	Unbezwingbarer Geist	Erhalte das Recht,4-<ICON STAR_1>-Meisterrangaufgabenanzunehmen.
055	Der Alte Allwyrm	Erhalte das Recht,5-<ICON STAR_1>-Meisterrangaufgabenanzunehmen.
056	Ein Ende und ein Anfang	Lüfte das Geheimnis desAlten Allwyrms.
057	Zum Land der Entdeckungen	Erreiche die Leitlande.
058	Sich entwickelnde Ökologie	Bringe ein beliebigesBiom auf Stufe 7.
059	Die Suche nach seltenen Materialien	Sammle Materialien an seltenenFörderplätzen und Knochenhaufen.
060	Unersättlicher Untersucher	Analysiere 50 Pheromone.
061	Ergebnis des Schicksals	Töte einen Ruinen-Nergigante inden Leitlanden und hebe so dieMeisterrang-Begrenzung auf.
062	Meisterhafter Erkunder	Errichte alle Lagerin der Raureif-Weite.
063	Das ist Wonne...	Verbringe Zeit in einernatürlichen heißen Quelle.
064	Klammerklauen-Anfänger	Studiere die Verwendungder Klammerklaue.
065	Goldener Glanz	Fange in der Raureif-Weiteeine Kreatur, die golden glänzt.
066	Freundlicher Hinweis	Fange eine Kreatur, die aufetwas zu zeigen scheint.
067	Süße Melodie	Fange eine Kreatur, die eineschöne Melodie erklingen lässt.
068	Geheimnis unter Wasser	Fange eine geheimnisvolle Kreatur,die unter der Wasseroberfläche lauert.
069	Himmlische Illusion	Fange eine fantastische Kreatur,die durch die Lüfte schwebt.
070	Geschickter Gräber	Fange eine Kreatur, die es liebt,Löcher in den Boden zu graben.
071	Kreaturen der Erde	Fange eine löchergrabendeKreatur aus jeder Region.
072	Unerschütterliche Verteidigung	Erhalte fünf extremseltene Rüstungsteile.
073	Vernichtende Offensive	Erhalte fünf extrem seltene Waffen.
074	Persönlicher Schatz	Rüste deinen ersten Anhänger aus.
075	Erster Ritt	Nutze Trupplerritt zum ersten Mal.
076	Erfahrener Reiter	Nutze Trupplerritt viele Male.
077	Angehender Sammler	Finde deinen ersten Schatz.
078	Erfahrener Sammler	Finde alle Schätze an einem Ort.
079	Ultimativer Sammler	Finde alle Schätze.
080	Renovierer	Verändere zum ersten Mal dieEinrichtung deines Raums.
081	Innenarchitekt	Erreiche eine Auswahlvon 50 verschiedenenEinrichtungselementen.
082	Meisterhafter Innenarchitekt	Erreiche eine Auswahlvon 120 verschiedenenEinrichtungselementen.
083	Eifriger Ingenieur	Hilf dem Dampfwerk 20 Mal.
084	Erfahrener Arbeiter	Erreiche im Dampfwerkdie Grenzbelastung.
085	Eine weitere kleine Krone	Erhalte deine erste kleine Krone fürdas Fangen eines einheimischenLebewesens im Meisterrang.
086	Eine weitere große Krone	Erhalte deine erste goldene Krone fürdas Fangen eines einheimischenLebewesens im Meisterrang.
087	Angehender Beobachter	Schließe deine erste Anfragefür den Lynianer-Forscher ab.
088	Erstklassiger Beobachter	Schließe viele Anfragenfür den Lynianer-Forscher ab.
089	Hilfreicher Jäger	Unterstütze einen niedrigrangigenoder hochrangigen Jäger bei10 Quests als Meisterrang-Jäger.
090	Meister der Meister	Erreiche Meisterrang 200.
091	Meisterforscher	Erreiche für fast alle großen Monsterdie maximale Forschungsstufe.
092	Wahrer Sammler kleiner Kronen	Erhalte eine kleine Krone für fastalle Monster im Jagdprotokoll.
093	Wahrer Sammler großer Kronen	Erhalte eine goldene Krone für fastalle Monster im Jagdprotokoll.
094	Die wahre Jagd beginnt	Erjage dein erstes großes Monsterin einer Meisterrang-Quest.
095	Jäger-Wunderkind	Erjage 100 große Monsterin Meisterrang-Quests.
096	Meisterfänger	Fange 50 große Monsterin Meisterrang-Quests.
097	Monstermeister	Töte 50 Drachenältestein Meisterrang-Quests.
098	Kampf gegen das Unbekannte	Erjage dein erstes Varianten-Monster.
099	Alles gesehen	Erjage 30 Varianten-Monster.
