Meal Code	Meal Name	Meal Effect
DUMMY000000	Unavailable	Unavailable
CatSkill038_CAT_SKILL	Felyne entraîneur	Accélère le développementdes Palicos.
CatSkill039_CAT_SKILL	Felyne booster	Augmente temporairement l'attaqueet la défense au début des quêtes.
CatSkill040_CAT_SKILL	Felyne immuable	Vous empêche de tomber survotre arrière-train.
CatSkill041_CAT_SKILL	Felyne pêcheur	Augmente la probabilité que despoissons mordent à l'hameçon.
CatSkill042_CAT_SKILL	Felyne détendu	Augmente temporairement l'attaquesi l'émote Repos est utiliséependant un certain temps.
CatSkill043_CAT_SKILL	Felyne assureur	Votre groupe n'est pas pénaliséla première fois que l'un de sesmembres s'évanouit.
CatSkill044_CAT_SKILL	Felyne provocateur	Attire l'attention des monstres,augmentant ainsi la probabilitéd'être pris pour cible.
CatSkill045_CAT_SKILL	Felyne cadeau surprise	Restaure de la vie aux alliésprésents dans la zone lorsqu'ilssont sur le point de s'évanouir.
CatSkill046_CAT_SKILL	Feylne chercheur	Obtient plus facilement desrapports d'investigation durantles Expéditions.
CatSkill047_CAT_SKILL	Felyne météorologiste	Le mauvais temps apparaîtplus souvent durant les quêtes.
CatSkill048_CAT_SKILL	Felyne à crampons	Permet une vitesse de mouvementnormale sur terrain spécial.
CatSkill049_CAT_SKILL	Felyne tailleur	Diminue le temps de rechargedes outils de survie.
CatSkill050_CAT_SKILL	Felyne gardien	Votre groupe n'est pas pénaliséla première fois que l'un de sesmembres s'évanouit.
CatSkill051_CAT_SKILL	Felyne botaniste	Accélère la réapparition decertaines espèces animales.
CatSkill052_CAT_SKILL	Felyne charognard	Provoque la production demunitions de fronde par certainescréatures lors de leur capture.
CatSkill053_CAT_SKILL	Felyne zoologue	Augmente la probabilitéd'apparition d'animauxrares.
CatSkill054_CAT_SKILL	Felyne biologiste	Augmente légèrement laprobabilité d'apparitiond'animaux rares.
CatSkill055_CAT_SKILL	Felyne macrozoologue	Augmente légèrement laprobabilité d'apparition degros animaux.
CatSkill056_CAT_SKILL	Felyne microzoologue	Augmente légèrement laprobabilité d'apparition depetits animaux.
