Achieve ID	Achieve Name	Achieve Desc
089	Helpful Hunter	Aid a low rank or high rank hunteron 10 quests as a master rank hunter.
090	Master of Masters	Reach master rank 200.
091	Monster Master	Maximize the research level foralmost all large monsters.
092	True Miniature Crown Collector	Obtain a miniature crown for almostevery monster in your hunting log.
093	True Large Crown Collector	Obtain a gold crown for almost everymonster in your hunting log.
094	The True Hunt Begins	Hunt your first large monster ina master rank quest.
095	Hunter Prodigy	Hunt 100 large monsters in masterrank quests.
096	Master Capturer	Capture 50 large monsters in masterrank quests.
097	Master Slayer	Slay 50 elder dragons in masterrank quests.
098	Confronting the Unknown	Hunt your first variant monster.
099	Seen It All	Hunt 30 variant monsters.
